Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",1756679530.8459196,30587303.991089158,0.0,18590939.474942368,2803660.531230088
"Week 2, 2018",1756679530.8459196,30587303.991089158,0.0,18590939.474942368,2803660.531230088
"Week 3, 2018",1756679530.8459196,30587303.991089158,0.0,18590939.474942368,2803660.531230088
"Week 4, 2018",1756679530.8459196,30587303.991089158,0.0,18590939.474942368,2803660.531230088
"Week 5, 2018",1756679530.8459196,30587303.991089158,0.0,18590939.474942368,2803660.531230088
"Week 6, 2018",1756679530.8459196,30587303.991089158,0.0,18590939.474942368,2803660.531230088
"Week 7, 2018",1756679530.8459196,30587303.991089158,0.0,18590939.474942368,2803660.531230088
"Week 8, 2018",1756679530.8459196,30587303.991089158,0.0,18590939.474942368,2803660.531230088
"Week 9, 2018",1756679530.8459196,30587303.991089158,0.0,18590939.474942368,2803660.531230088
"Week 10, 2018",1756679530.8459196,30587303.991089158,0.0,18590939.474942368,2803660.531230088
"Week 11, 2018",1756679530.8459196,30587303.991089158,0.0,18590939.474942368,2803660.531230088
"Week 12, 2018",1756679530.8459196,30587303.991089158,0.0,18590939.474942368,2803660.531230088
"Week 13, 2018",1756679530.8459196,30587303.991089158,0.0,18590939.474942368,2803660.531230088
"Week 14, 2018",1756679530.8459196,30587303.991089158,0.0,18590939.474942368,2803660.531230088
"Week 15, 2018",1756679530.8459196,30587303.991089158,0.0,18590939.474942368,2803660.531230088
"Week 16, 2018",1756679530.8459196,30587303.991089158,0.0,18590939.474942368,2803660.531230088
"Week 17, 2018",1756679530.8459196,30587303.991089158,0.0,18590939.474942368,2803660.531230088
"Week 18, 2018",1756679530.8459196,30587303.991089158,0.0,18590939.474942368,2803660.531230088
"Week 19, 2018",1756679530.8459196,30587303.991089158,0.0,18590939.474942368,2803660.531230088
"Week 20, 2018",1756679530.8459196,30587303.991089158,0.0,18590939.474942368,2803660.531230088
"Week 21, 2018",1756679530.8459196,30587303.991089158,0.0,18590939.474942368,2803660.531230088
"Week 22, 2018",1756679530.8459196,30587303.991089158,0.0,18590939.474942368,2803660.531230088
"Week 23, 2018",1756679530.8459196,30587303.991089158,0.0,18590939.474942368,2803660.531230088
"Week 24, 2018",1756679530.8459196,30587303.991089158,0.0,18590939.474942368,2803660.531230088
"Week 25, 2018",1756679530.8459196,30587303.991089158,0.0,18590939.474942368,2803660.531230088
"Week 26, 2018",1756679530.8459196,30587303.991089158,0.0,18590939.474942368,2803660.531230088
"Week 27, 2018",1756679530.8459196,30587303.991089158,0.0,18590939.474942368,2803660.531230088
"Week 28, 2018",1756679530.8459196,30587303.991089158,0.0,18590939.474942368,2803660.531230088
"Week 29, 2018",1756679530.8459196,30587303.991089158,0.0,18590939.474942368,2803660.531230088
"Week 30, 2018",1756679530.8459196,30587303.991089158,0.0,18590939.474942368,2803660.531230088
"Week 31, 2018",1756679530.8459196,30587303.991089158,0.0,18590939.474942368,2803660.531230088
"Week 32, 2018",1756679530.8459196,30587303.991089158,0.0,18590939.474942368,2803660.531230088
"Week 33, 2018",1756679530.8459196,30587303.991089158,0.0,18590939.474942368,2803660.531230088
"Week 34, 2018",1756679530.8459196,30587303.991089158,0.0,18590939.474942368,2803660.531230088
"Week 35, 2018",1756679530.8459196,30587303.991089158,0.0,18590939.474942368,2803660.531230088
"Week 36, 2018",1756679530.8459196,30587303.991089158,0.0,18590939.474942368,2803660.531230088
"Week 37, 2018",1756679530.8459196,30587303.991089158,0.0,18590939.474942368,2803660.531230088
"Week 38, 2018",1756679530.8459196,30587303.991089158,0.0,18590939.474942368,2803660.531230088
"Week 39, 2018",1756679530.8459196,30587303.991089158,0.0,18590939.474942368,2803660.531230088
"Week 40, 2018",1756679530.8459196,30587303.991089158,0.0,18590939.474942368,2803660.531230088
"Week 41, 2018",1756679530.8459196,30587303.991089158,0.0,18590939.474942368,2803660.531230088
"Week 42, 2018",1756679530.8459196,30587303.991089158,0.0,18590939.474942368,2803660.531230088
"Week 43, 2018",1756679530.8459196,30587303.991089158,0.0,18590939.474942368,2803660.531230088
"Week 44, 2018",1756679530.8459196,30587303.991089158,0.0,18590939.474942368,2803660.531230088
"Week 45, 2018",1756679530.8459196,30587303.991089158,0.0,18590939.474942368,2803660.531230088
"Week 46, 2018",1756679530.8459196,30587303.991089158,0.0,18590939.474942368,2803660.531230088
"Week 47, 2018",1756679530.8459196,30587303.991089158,0.0,18590939.474942368,2803660.531230088
"Week 48, 2018",1756679530.8459196,30587303.991089158,0.0,18590939.474942368,2803660.531230088
"Week 49, 2018",1756679530.8459196,30587303.991089158,0.0,18590939.474942368,2803660.531230088
"Week 50, 2018",1756679530.8459196,30587303.991089158,0.0,18590939.474942368,2803660.531230088
"Week 51, 2018",1756679530.8459196,30587303.991089158,0.0,18590939.474942368,2803660.531230088
"Week 52, 2018",1756679530.8459196,30587303.991089158,0.0,18590939.474942368,2803660.531230088
"Week 1, 2019",250954218.6922742,4369614.85586988,0.0,2655848.4964203383,400522.93303286965
