Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",1537123.1429421965,84753.89585554683,0.0,26541.505309182907,1985.9631006813179
"Week 2, 2018",1537123.1429421965,84753.89585554683,0.0,26541.505309182907,1985.9631006813179
"Week 3, 2018",1537123.1429421965,84753.89585554683,0.0,26541.505309182907,1985.9631006813179
"Week 4, 2018",1537123.1429421965,84753.89585554683,0.0,26541.505309182907,1985.9631006813179
"Week 5, 2018",1537123.1429421965,84753.89585554683,0.0,26541.505309182907,1985.9631006813179
"Week 6, 2018",1537123.1429421965,84753.89585554683,0.0,26541.505309182907,1985.9631006813179
"Week 7, 2018",1537123.1429421965,84753.89585554683,0.0,26541.505309182907,1985.9631006813179
"Week 8, 2018",1537123.1429421965,84753.89585554683,0.0,26541.505309182907,1985.9631006813179
"Week 9, 2018",1537123.1429421965,84753.89585554683,0.0,26541.505309182907,1985.9631006813179
"Week 10, 2018",1537123.1429421965,84753.89585554683,0.0,26541.505309182907,1985.9631006813179
"Week 11, 2018",1537123.1429421965,84753.89585554683,0.0,26541.505309182907,1985.9631006813179
"Week 12, 2018",1537123.1429421965,84753.89585554683,0.0,26541.505309182907,1985.9631006813179
"Week 13, 2018",1537123.1429421965,84753.89585554683,0.0,26541.505309182907,1985.9631006813179
"Week 14, 2018",1537123.1429421965,84753.89585554683,0.0,26541.505309182907,1985.9631006813179
"Week 15, 2018",1537123.1429421965,84753.89585554683,0.0,26541.505309182907,1985.9631006813179
"Week 16, 2018",1537123.1429421965,84753.89585554683,0.0,26541.505309182907,1985.9631006813179
"Week 17, 2018",1537123.1429421965,84753.89585554683,0.0,26541.505309182907,1985.9631006813179
"Week 18, 2018",1537123.1429421965,84753.89585554683,0.0,26541.505309182907,1985.9631006813179
"Week 19, 2018",1537123.1429421965,84753.89585554683,0.0,26541.505309182907,1985.9631006813179
"Week 20, 2018",1537123.1429421965,84753.89585554683,0.0,26541.505309182907,1985.9631006813179
"Week 21, 2018",1537123.1429421965,84753.89585554683,0.0,26541.505309182907,1985.9631006813179
"Week 22, 2018",1537123.1429421965,84753.89585554683,0.0,26541.505309182907,1985.9631006813179
"Week 23, 2018",1537123.1429421965,84753.89585554683,0.0,26541.505309182907,1985.9631006813179
"Week 24, 2018",1537123.1429421965,84753.89585554683,0.0,26541.505309182907,1985.9631006813179
"Week 25, 2018",1537123.1429421965,84753.89585554683,0.0,26541.505309182907,1985.9631006813179
"Week 26, 2018",1537123.1429421965,84753.89585554683,0.0,26541.505309182907,1985.9631006813179
"Week 27, 2018",1537123.1429421965,84753.89585554683,0.0,26541.505309182907,1985.9631006813179
"Week 28, 2018",1537123.1429421965,84753.89585554683,0.0,26541.505309182907,1985.9631006813179
"Week 29, 2018",1537123.1429421965,84753.89585554683,0.0,26541.505309182907,1985.9631006813179
"Week 30, 2018",1537123.1429421965,84753.89585554683,0.0,26541.505309182907,1985.9631006813179
"Week 31, 2018",1537123.1429421965,84753.89585554683,0.0,26541.505309182907,1985.9631006813179
"Week 32, 2018",1537123.1429421965,84753.89585554683,0.0,26541.505309182907,1985.9631006813179
"Week 33, 2018",1537123.1429421965,84753.89585554683,0.0,26541.505309182907,1985.9631006813179
"Week 34, 2018",1537123.1429421965,84753.89585554683,0.0,26541.505309182907,1985.9631006813179
"Week 35, 2018",1537123.1429421965,84753.89585554683,0.0,26541.505309182907,1985.9631006813179
"Week 36, 2018",1537123.1429421965,84753.89585554683,0.0,26541.505309182907,1985.9631006813179
"Week 37, 2018",1537123.1429421965,84753.89585554683,0.0,26541.505309182907,1985.9631006813179
"Week 38, 2018",1537123.1429421965,84753.89585554683,0.0,26541.505309182907,1985.9631006813179
"Week 39, 2018",1537123.1429421965,84753.89585554683,0.0,26541.505309182907,1985.9631006813179
"Week 40, 2018",1537123.1429421965,84753.89585554683,0.0,26541.505309182907,1985.9631006813179
"Week 41, 2018",1537123.1429421965,84753.89585554683,0.0,26541.505309182907,1985.9631006813179
"Week 42, 2018",1537123.1429421965,84753.89585554683,0.0,26541.505309182907,1985.9631006813179
"Week 43, 2018",1537123.1429421965,84753.89585554683,0.0,26541.505309182907,1985.9631006813179
"Week 44, 2018",1537123.1429421965,84753.89585554683,0.0,26541.505309182907,1985.9631006813179
"Week 45, 2018",1537123.1429421965,84753.89585554683,0.0,26541.505309182907,1985.9631006813179
"Week 46, 2018",1537123.1429421965,84753.89585554683,0.0,26541.505309182907,1985.9631006813179
"Week 47, 2018",1537123.1429421965,84753.89585554683,0.0,26541.505309182907,1985.9631006813179
"Week 48, 2018",1537123.1429421965,84753.89585554683,0.0,26541.505309182907,1985.9631006813179
"Week 49, 2018",1537123.1429421965,84753.89585554683,0.0,26541.505309182907,1985.9631006813179
"Week 50, 2018",1537123.1429421965,84753.89585554683,0.0,26541.505309182907,1985.9631006813179
"Week 51, 2018",1537123.1429421965,84753.89585554683,0.0,26541.505309182907,1985.9631006813179
"Week 52, 2018",1537123.1429421965,84753.89585554683,0.0,26541.505309182907,1985.9631006813179
"Week 1, 2019",232897.4459003328,12841.49937205255,0.0,4021.4401983610464,300.90350010323
