Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",9609282.444033822,1285500.959834433,7616.564475463219,1546214.982923038,54499.045381337826
"Week 2, 2018",10365377.629189122,1386649.1040277383,8215.864970673263,1667877.1060432666,58787.239223946104
"Week 3, 2018",10365377.629189122,1386649.1040277383,8215.864970673263,1667877.1060432666,58787.239223946104
"Week 4, 2018",10365377.629189122,1386649.1040277383,8215.864970673263,1667877.1060432666,58787.239223946104
"Week 5, 2018",10365377.629189122,1386649.1040277383,8215.864970673263,1667877.1060432666,58787.239223946104
"Week 6, 2018",10365377.629189122,1386649.1040277383,8215.864970673263,1667877.1060432666,58787.239223946104
"Week 7, 2018",10365377.629189122,1386649.1040277383,8215.864970673263,1667877.1060432666,58787.239223946104
"Week 8, 2018",9609282.444033822,1285500.959834433,7616.564475463219,1546214.982923038,54499.045381337826
"Week 9, 2018",10365377.629189122,1386649.1040277383,8215.864970673263,1667877.1060432666,58787.239223946104
"Week 10, 2018",10365377.629189122,1386649.1040277383,8215.864970673263,1667877.1060432666,58787.239223946104
"Week 11, 2018",10365377.629189122,1386649.1040277383,8215.864970673263,1667877.1060432666,58787.239223946104
"Week 12, 2018",10365377.629189122,1386649.1040277383,8215.864970673263,1667877.1060432666,58787.239223946104
"Week 13, 2018",10365377.629189122,1386649.1040277383,8215.864970673263,1667877.1060432666,58787.239223946104
"Week 14, 2018",10365377.629189122,1386649.1040277383,8215.864970673263,1667877.1060432666,58787.239223946104
"Week 15, 2018",10365377.629189122,1386649.1040277383,8215.864970673263,1667877.1060432666,58787.239223946104
"Week 16, 2018",10365377.629189122,1386649.1040277383,8215.864970673263,1667877.1060432666,58787.239223946104
"Week 17, 2018",10365377.629189122,1386649.1040277383,8215.864970673263,1667877.1060432666,58787.239223946104
"Week 18, 2018",9609282.444033822,1285500.959834433,7616.564475463219,1546214.982923038,54499.045381337826
"Week 19, 2018",10365377.629189122,1386649.1040277383,8215.864970673263,1667877.1060432666,58787.239223946104
"Week 20, 2018",10365377.629189122,1386649.1040277383,8215.864970673263,1667877.1060432666,58787.239223946104
"Week 21, 2018",10365377.629189122,1386649.1040277383,8215.864970673263,1667877.1060432666,58787.239223946104
"Week 22, 2018",10365377.629189122,1386649.1040277383,8215.864970673263,1667877.1060432666,58787.239223946104
"Week 23, 2018",10365377.629189122,1386649.1040277383,8215.864970673263,1667877.1060432666,58787.239223946104
"Week 24, 2018",10365377.629189122,1386649.1040277383,8215.864970673263,1667877.1060432666,58787.239223946104
"Week 25, 2018",10365377.629189122,1386649.1040277383,8215.864970673263,1667877.1060432666,58787.239223946104
"Week 26, 2018",10365377.629189122,1386649.1040277383,8215.864970673263,1667877.1060432666,58787.239223946104
"Week 27, 2018",10365377.629189122,1386649.1040277383,8215.864970673263,1667877.1060432666,58787.239223946104
"Week 28, 2018",9609282.444033822,1285500.959834433,7616.564475463219,1546214.982923038,54499.045381337826
"Week 29, 2018",9609282.444033822,1285500.959834433,7616.564475463219,1546214.982923038,54499.045381337826
"Week 30, 2018",9609282.444033822,1285500.959834433,7616.564475463219,1546214.982923038,54499.045381337826
"Week 31, 2018",9609282.444033822,1285500.959834433,7616.564475463219,1546214.982923038,54499.045381337826
"Week 32, 2018",9609282.444033822,1285500.959834433,7616.564475463219,1546214.982923038,54499.045381337826
"Week 33, 2018",9609282.444033822,1285500.959834433,7616.564475463219,1546214.982923038,54499.045381337826
"Week 34, 2018",10365377.629189122,1386649.1040277383,8215.864970673263,1667877.1060432666,58787.239223946104
"Week 35, 2018",10365377.629189122,1386649.1040277383,8215.864970673263,1667877.1060432666,58787.239223946104
"Week 36, 2018",10365377.629189122,1386649.1040277383,8215.864970673263,1667877.1060432666,58787.239223946104
"Week 37, 2018",10365377.629189122,1386649.1040277383,8215.864970673263,1667877.1060432666,58787.239223946104
"Week 38, 2018",10365377.629189122,1386649.1040277383,8215.864970673263,1667877.1060432666,58787.239223946104
"Week 39, 2018",10365377.629189122,1386649.1040277383,8215.864970673263,1667877.1060432666,58787.239223946104
"Week 40, 2018",10365377.629189122,1386649.1040277383,8215.864970673263,1667877.1060432666,58787.239223946104
"Week 41, 2018",10365377.629189122,1386649.1040277383,8215.864970673263,1667877.1060432666,58787.239223946104
"Week 42, 2018",9609282.444033822,1285500.959834433,7616.564475463219,1546214.982923038,54499.045381337826
"Week 43, 2018",10365377.629189122,1386649.1040277383,8215.864970673263,1667877.1060432666,58787.239223946104
"Week 44, 2018",10365377.629189122,1386649.1040277383,8215.864970673263,1667877.1060432666,58787.239223946104
"Week 45, 2018",10365377.629189122,1386649.1040277383,8215.864970673263,1667877.1060432666,58787.239223946104
"Week 46, 2018",10365377.629189122,1386649.1040277383,8215.864970673263,1667877.1060432666,58787.239223946104
"Week 47, 2018",10365377.629189122,1386649.1040277383,8215.864970673263,1667877.1060432666,58787.239223946104
"Week 48, 2018",10365377.629189122,1386649.1040277383,8215.864970673263,1667877.1060432666,58787.239223946104
"Week 49, 2018",10365377.629189122,1386649.1040277383,8215.864970673263,1667877.1060432666,58787.239223946104
"Week 50, 2018",10365377.629189122,1386649.1040277383,8215.864970673263,1667877.1060432666,58787.239223946104
"Week 51, 2018",9609282.444033822,1285500.959834433,7616.564475463219,1546214.982923038,54499.045381337826
"Week 52, 2018",9609282.444033822,1285500.959834433,7616.564475463219,1546214.982923038,54499.045381337826
"Week 1, 2019",1415960.0740137058,189422.888215965,1122.3263819353194,227839.97602444707,8030.617559768734
