Week number,Kilometers,electricity consumption kWh,gasoline consumption litres,diesel consumption litres,hydrogen consumption kg,CNG consumption kg,LNG consumption kg
"Week 1, 2018",1190.888888838,905.07555551688,404.7831333160362,347.3822888740446,47.3973777757524,287.599666654377,287.599666654377
"Week 2, 2018",1284.592592538,976.2903703288799,436.6330222036662,374.71565924333464,51.1267851830124,310.229111097927,310.229111097927
"Week 3, 2018",1284.592592538,976.2903703288799,436.6330222036662,374.71565924333464,51.1267851830124,310.229111097927,310.229111097927
"Week 4, 2018",1284.592592538,976.2903703288799,436.6330222036662,374.71565924333464,51.1267851830124,310.229111097927,310.229111097927
"Week 5, 2018",1284.592592538,976.2903703288799,436.6330222036662,374.71565924333464,51.1267851830124,310.229111097927,310.229111097927
"Week 6, 2018",1284.592592538,976.2903703288799,436.6330222036662,374.71565924333464,51.1267851830124,310.229111097927,310.229111097927
"Week 7, 2018",1284.592592538,976.2903703288799,436.6330222036662,374.71565924333464,51.1267851830124,310.229111097927,310.229111097927
"Week 8, 2018",1190.888888838,905.07555551688,404.7831333160362,347.3822888740446,47.3973777757524,287.599666654377,287.599666654377
"Week 9, 2018",1284.592592538,976.2903703288799,436.6330222036662,374.71565924333464,51.1267851830124,310.229111097927,310.229111097927
"Week 10, 2018",1284.592592538,976.2903703288799,436.6330222036662,374.71565924333464,51.1267851830124,310.229111097927,310.229111097927
"Week 11, 2018",1284.592592538,976.2903703288799,436.6330222036662,374.71565924333464,51.1267851830124,310.229111097927,310.229111097927
"Week 12, 2018",1284.592592538,976.2903703288799,436.6330222036662,374.71565924333464,51.1267851830124,310.229111097927,310.229111097927
"Week 13, 2018",1284.592592538,976.2903703288799,436.6330222036662,374.71565924333464,51.1267851830124,310.229111097927,310.229111097927
"Week 14, 2018",1284.592592538,976.2903703288799,436.6330222036662,374.71565924333464,51.1267851830124,310.229111097927,310.229111097927
"Week 15, 2018",1284.592592538,976.2903703288799,436.6330222036662,374.71565924333464,51.1267851830124,310.229111097927,310.229111097927
"Week 16, 2018",1284.592592538,976.2903703288799,436.6330222036662,374.71565924333464,51.1267851830124,310.229111097927,310.229111097927
