Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",371494368.0151755,7211563.041789841,8978545.714217009,8757243.156543074,289332.7046647889
"Week 2, 2018",429100122.8739783,8329823.6898683,10370803.438513413,10115184.611241363,334198.0654685181
"Week 3, 2018",430739017.576396,8361638.418388916,10410413.436062135,10153818.304381106,335474.4935324072
"Week 4, 2018",430739017.576396,8361638.418388916,10410413.436062135,10153818.304381106,335474.4935324072
"Week 5, 2018",430739017.576396,8361638.418388916,10410413.436062135,10153818.304381106,335474.4935324072
"Week 6, 2018",430739017.576396,8361638.418388916,10410413.436062135,10153818.304381106,335474.4935324072
"Week 7, 2018",438142031.2842421,8505347.99960977,10589334.848394709,10328329.674438221,341240.2174926534
"Week 8, 2018",370228061.1471373,7186981.103016717,8947940.690071814,8727392.482861372,288346.4609351124
"Week 9, 2018",429100122.8739783,8329823.6898683,10370803.438513413,10115184.611241363,334198.0654685181
"Week 10, 2018",430739017.576396,8361638.418388916,10410413.436062135,10153818.304381106,335474.4935324072
"Week 11, 2018",430739017.576396,8361638.418388916,10410413.436062135,10153818.304381106,335474.4935324072
"Week 12, 2018",430739017.576396,8361638.418388916,10410413.436062135,10153818.304381106,335474.4935324072
"Week 13, 2018",430739017.576396,8361638.418388916,10410413.436062135,10153818.304381106,335474.4935324072
"Week 14, 2018",430739017.576396,8361638.418388916,10410413.436062135,10153818.304381106,335474.4935324072
"Week 15, 2018",430739017.576396,8361638.418388916,10410413.436062135,10153818.304381106,335474.4935324072
"Week 16, 2018",430739017.576396,8361638.418388916,10410413.436062135,10153818.304381106,335474.4935324072
"Week 17, 2018",438142031.2842421,8505347.99960977,10589334.848394709,10328329.674438221,341240.2174926534
"Week 18, 2018",370228061.1471373,7186981.103016717,8947940.690071814,8727392.482861372,288346.4609351124
"Week 19, 2018",429100122.8739783,8329823.6898683,10370803.438513413,10115184.611241363,334198.0654685181
"Week 20, 2018",430739017.576396,8361638.418388916,10410413.436062135,10153818.304381106,335474.4935324072
"Week 21, 2018",430739017.576396,8361638.418388916,10410413.436062135,10153818.304381106,335474.4935324072
"Week 22, 2018",430739017.576396,8361638.418388916,10410413.436062135,10153818.304381106,335474.4935324072
"Week 23, 2018",430739017.576396,8361638.418388916,10410413.436062135,10153818.304381106,335474.4935324072
"Week 24, 2018",430739017.576396,8361638.418388916,10410413.436062135,10153818.304381106,335474.4935324072
"Week 25, 2018",430739017.576396,8361638.418388916,10410413.436062135,10153818.304381106,335474.4935324072
"Week 26, 2018",430739017.576396,8361638.418388916,10410413.436062135,10153818.304381106,335474.4935324072
"Week 27, 2018",438142031.2842421,8505347.99960977,10589334.848394709,10328329.674438221,341240.2174926534
"Week 28, 2018",346389526.9638228,6724220.138414929,8371793.681253444,8165446.304634731,269780.18331601087
"Week 29, 2018",347655833.8318611,6748802.077188052,8402398.70539864,8195296.978316435,270766.4270456874
"Week 30, 2018",462045795.25829947,8969375.224991387,11167058.378174197,10891813.515649196,359857.2983362592
"Week 31, 2018",346986159.2676816,6735802.1483792635,8386213.524125883,8179510.728243237,270244.86125739705
"Week 32, 2018",347655833.8318611,6748802.077188052,8402398.70539864,8195296.978316435,270766.4270456874
"Week 33, 2018",371494368.0151755,7211563.041789841,8978545.714217009,8757243.156543074,289332.7046647889
"Week 34, 2018",429100122.8739783,8329823.6898683,10370803.438513413,10115184.611241363,334198.0654685181
"Week 35, 2018",430739017.576396,8361638.418388916,10410413.436062135,10153818.304381106,335474.4935324072
"Week 36, 2018",430739017.576396,8361638.418388916,10410413.436062135,10153818.304381106,335474.4935324072
"Week 37, 2018",430739017.576396,8361638.418388916,10410413.436062135,10153818.304381106,335474.4935324072
"Week 38, 2018",430739017.576396,8361638.418388916,10410413.436062135,10153818.304381106,335474.4935324072
"Week 39, 2018",430739017.576396,8361638.418388916,10410413.436062135,10153818.304381106,335474.4935324072
"Week 40, 2018",430739017.576396,8361638.418388916,10410413.436062135,10153818.304381106,335474.4935324072
"Week 41, 2018",438142031.2842421,8505347.99960977,10589334.848394709,10328329.674438221,341240.2174926534
"Week 42, 2018",370228061.1471373,7186981.103016717,8947940.690071814,8727392.482861372,288346.4609351124
"Week 43, 2018",429100122.8739783,8329823.6898683,10370803.438513413,10115184.611241363,334198.0654685181
"Week 44, 2018",430739017.576396,8361638.418388916,10410413.436062135,10153818.304381106,335474.4935324072
"Week 45, 2018",430739017.576396,8361638.418388916,10410413.436062135,10153818.304381106,335474.4935324072
"Week 46, 2018",430739017.576396,8361638.418388916,10410413.436062135,10153818.304381106,335474.4935324072
"Week 47, 2018",430739017.576396,8361638.418388916,10410413.436062135,10153818.304381106,335474.4935324072
"Week 48, 2018",430739017.576396,8361638.418388916,10410413.436062135,10153818.304381106,335474.4935324072
"Week 49, 2018",430739017.576396,8361638.418388916,10410413.436062135,10153818.304381106,335474.4935324072
"Week 50, 2018",438142031.2842421,8505347.99960977,10589334.848394709,10328329.674438221,341240.2174926534
"Week 51, 2018",346389526.9638228,6724220.138414929,8371793.681253444,8165446.304634731,269780.18331601087
"Week 52, 2018",347655833.8318611,6748802.077188052,8402398.70539864,8195296.978316435,270766.4270456874
"Week 1, 2019",54585997.62842147,1059640.1910466421,1319274.0382080374,1286756.6653259282,42513.469087132355
