Week number,Kilometers,electricity consumption kWh,gasoline consumption litres,diesel consumption litres,hydrogen consumption kg,LPG consumption litres,CNG consumption kg
"Week 1, 2018",225.09571591531156,35.232439975037884,15.75868613357333,13.524789203825152,1.8453932039598624,22.3389695225775,11.193766173808108
"Week 2, 2018",260.0001713988855,40.695756447702706,18.20230597943424,15.622009938435879,2.131549005172628,25.802960669983797,12.929526943480953
"Week 3, 2018",260.99320980838155,40.85118884237627,18.271827429676847,15.68167626795762,2.1396901922436626,25.9015118781855,12.978909668124592
"Week 4, 2018",260.99320980838155,40.85118884237627,18.271827429676847,15.68167626795762,2.1396901922436626,25.9015118781855,12.978909668124592
"Week 5, 2018",260.99320980838155,40.85118884237627,18.271827429676847,15.68167626795762,2.1396901922436626,25.9015118781855,12.978909668124592
"Week 6, 2018",260.99320980838155,40.85118884237627,18.271827429676847,15.68167626795762,2.1396901922436626,25.9015118781855,12.978909668124592
"Week 7, 2018",265.478840854154,41.55328895089101,18.585861179603636,15.951193677889274,2.176464561820977,26.34667528262247,13.201975242092434
"Week 8, 2018",224.32843577442418,35.11234372443655,15.70496975399853,13.47868747273007,1.839102841872031,22.26282303701306,11.15561016336617
"Week 9, 2018",260.0001713988855,40.695756447702706,18.20230597943424,15.622009938435879,2.131549005172628,25.802960669983797,12.929526943480953
"Week 10, 2018",260.99320980838155,40.85118884237627,18.271827429676847,15.68167626795762,2.1396901922436626,25.9015118781855,12.978909668124592
"Week 11, 2018",260.99320980838155,40.85118884237627,18.271827429676847,15.68167626795762,2.1396901922436626,25.9015118781855,12.978909668124592
"Week 12, 2018",260.99320980838155,40.85118884237627,18.271827429676847,15.68167626795762,2.1396901922436626,25.9015118781855,12.978909668124592
"Week 13, 2018",260.99320980838155,40.85118884237627,18.271827429676847,15.68167626795762,2.1396901922436626,25.9015118781855,12.978909668124592
"Week 14, 2018",260.99320980838155,40.85118884237627,18.271827429676847,15.68167626795762,2.1396901922436626,25.9015118781855,12.978909668124592
"Week 15, 2018",260.99320980838155,40.85118884237627,18.271827429676847,15.68167626795762,2.1396901922436626,25.9015118781855,12.978909668124592
"Week 16, 2018",260.99320980838155,40.85118884237627,18.271827429676847,15.68167626795762,2.1396901922436626,25.9015118781855,12.978909668124592
"Week 17, 2018",265.478840854154,41.55328895089101,18.585861179603636,15.951193677889274,2.176464561820977,26.34667528262247,13.201975242092434
"Week 18, 2018",224.32843577442418,35.11234372443655,15.70496975399853,13.47868747273007,1.839102841872031,22.26282303701306,11.15561016336617
"Week 19, 2018",260.0001713988855,40.695756447702706,18.20230597943424,15.622009938435879,2.131549005172628,25.802960669983797,12.929526943480953
"Week 20, 2018",260.99320980838155,40.85118884237627,18.271827429676847,15.68167626795762,2.1396901922436626,25.9015118781855,12.978909668124592
"Week 21, 2018",260.99320980838155,40.85118884237627,18.271827429676847,15.68167626795762,2.1396901922436626,25.9015118781855,12.978909668124592
"Week 22, 2018",260.99320980838155,40.85118884237627,18.271827429676847,15.68167626795762,2.1396901922436626,25.9015118781855,12.978909668124592
