Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",109723217.34014843,398020.97090138856,16950.033002952292,4676041.585588618,129253.95002669486
"Week 2, 2018",109723217.34014843,398020.97090138856,16950.033002952292,4676041.585588618,129253.95002669486
"Week 3, 2018",109723217.34014843,398020.97090138856,16950.033002952292,4676041.585588618,129253.95002669486
"Week 4, 2018",109723217.34014843,398020.97090138856,16950.033002952292,4676041.585588618,129253.95002669486
"Week 5, 2018",109723217.34014843,398020.97090138856,16950.033002952292,4676041.585588618,129253.95002669486
"Week 6, 2018",109723217.34014843,398020.97090138856,16950.033002952292,4676041.585588618,129253.95002669486
"Week 7, 2018",109723217.34014843,398020.97090138856,16950.033002952292,4676041.585588618,129253.95002669486
"Week 8, 2018",109723217.34014843,398020.97090138856,16950.033002952292,4676041.585588618,129253.95002669486
"Week 9, 2018",109723217.34014843,398020.97090138856,16950.033002952292,4676041.585588618,129253.95002669486
"Week 10, 2018",109723217.34014843,398020.97090138856,16950.033002952292,4676041.585588618,129253.95002669486
"Week 11, 2018",109723217.34014843,398020.97090138856,16950.033002952292,4676041.585588618,129253.95002669486
"Week 12, 2018",109723217.34014843,398020.97090138856,16950.033002952292,4676041.585588618,129253.95002669486
"Week 13, 2018",109723217.34014843,398020.97090138856,16950.033002952292,4676041.585588618,129253.95002669486
"Week 14, 2018",109723217.34014843,398020.97090138856,16950.033002952292,4676041.585588618,129253.95002669486
"Week 15, 2018",109723217.34014843,398020.97090138856,16950.033002952292,4676041.585588618,129253.95002669486
"Week 16, 2018",109723217.34014843,398020.97090138856,16950.033002952292,4676041.585588618,129253.95002669486
"Week 17, 2018",109723217.34014843,398020.97090138856,16950.033002952292,4676041.585588618,129253.95002669486
"Week 18, 2018",109723217.34014843,398020.97090138856,16950.033002952292,4676041.585588618,129253.95002669486
"Week 19, 2018",109723217.34014843,398020.97090138856,16950.033002952292,4676041.585588618,129253.95002669486
"Week 20, 2018",109723217.34014843,398020.97090138856,16950.033002952292,4676041.585588618,129253.95002669486
"Week 21, 2018",109723217.34014843,398020.97090138856,16950.033002952292,4676041.585588618,129253.95002669486
"Week 22, 2018",109723217.34014843,398020.97090138856,16950.033002952292,4676041.585588618,129253.95002669486
"Week 23, 2018",109723217.34014843,398020.97090138856,16950.033002952292,4676041.585588618,129253.95002669486
"Week 24, 2018",109723217.34014843,398020.97090138856,16950.033002952292,4676041.585588618,129253.95002669486
"Week 25, 2018",109723217.34014843,398020.97090138856,16950.033002952292,4676041.585588618,129253.95002669486
"Week 26, 2018",109723217.34014843,398020.97090138856,16950.033002952292,4676041.585588618,129253.95002669486
"Week 27, 2018",109723217.34014843,398020.97090138856,16950.033002952292,4676041.585588618,129253.95002669486
"Week 28, 2018",109723217.34014843,398020.97090138856,16950.033002952292,4676041.585588618,129253.95002669486
"Week 29, 2018",109723217.34014843,398020.97090138856,16950.033002952292,4676041.585588618,129253.95002669486
"Week 30, 2018",109723217.34014843,398020.97090138856,16950.033002952292,4676041.585588618,129253.95002669486
"Week 31, 2018",109723217.34014843,398020.97090138856,16950.033002952292,4676041.585588618,129253.95002669486
"Week 32, 2018",109723217.34014843,398020.97090138856,16950.033002952292,4676041.585588618,129253.95002669486
"Week 33, 2018",109723217.34014843,398020.97090138856,16950.033002952292,4676041.585588618,129253.95002669486
"Week 34, 2018",109723217.34014843,398020.97090138856,16950.033002952292,4676041.585588618,129253.95002669486
"Week 35, 2018",109723217.34014843,398020.97090138856,16950.033002952292,4676041.585588618,129253.95002669486
"Week 36, 2018",109723217.34014843,398020.97090138856,16950.033002952292,4676041.585588618,129253.95002669486
"Week 37, 2018",109723217.34014843,398020.97090138856,16950.033002952292,4676041.585588618,129253.95002669486
"Week 38, 2018",109723217.34014843,398020.97090138856,16950.033002952292,4676041.585588618,129253.95002669486
"Week 39, 2018",109723217.34014843,398020.97090138856,16950.033002952292,4676041.585588618,129253.95002669486
"Week 40, 2018",109723217.34014843,398020.97090138856,16950.033002952292,4676041.585588618,129253.95002669486
"Week 41, 2018",109723217.34014843,398020.97090138856,16950.033002952292,4676041.585588618,129253.95002669486
"Week 42, 2018",109723217.34014843,398020.97090138856,16950.033002952292,4676041.585588618,129253.95002669486
"Week 43, 2018",109723217.34014843,398020.97090138856,16950.033002952292,4676041.585588618,129253.95002669486
"Week 44, 2018",109723217.34014843,398020.97090138856,16950.033002952292,4676041.585588618,129253.95002669486
"Week 45, 2018",109723217.34014843,398020.97090138856,16950.033002952292,4676041.585588618,129253.95002669486
"Week 46, 2018",109723217.34014843,398020.97090138856,16950.033002952292,4676041.585588618,129253.95002669486
"Week 47, 2018",109723217.34014843,398020.97090138856,16950.033002952292,4676041.585588618,129253.95002669486
"Week 48, 2018",109723217.34014843,398020.97090138856,16950.033002952292,4676041.585588618,129253.95002669486
"Week 49, 2018",109723217.34014843,398020.97090138856,16950.033002952292,4676041.585588618,129253.95002669486
"Week 50, 2018",109723217.34014843,398020.97090138856,16950.033002952292,4676041.585588618,129253.95002669486
"Week 51, 2018",109723217.34014843,398020.97090138856,16950.033002952292,4676041.585588618,129253.95002669486
"Week 52, 2018",109723217.34014843,398020.97090138856,16950.033002952292,4676041.585588618,129253.95002669486
"Week 1, 2019",15674745.33430692,56860.13870019835,2421.433286136042,668005.940798374,18464.85000381355
