Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",3328948.6653551883,2403500.936386446,0.0,19421.086513682167,3974.7647064340945
"Week 2, 2018",3590883.109692888,2592617.605198265,0.0,20949.21206194831,4287.514432973308
"Week 3, 2018",3590883.109692888,2592617.605198265,0.0,20949.21206194831,4287.514432973308
"Week 4, 2018",3590883.109692888,2592617.605198265,0.0,20949.21206194831,4287.514432973308
"Week 5, 2018",3590883.109692888,2592617.605198265,0.0,20949.21206194831,4287.514432973308
"Week 6, 2018",3590883.109692888,2592617.605198265,0.0,20949.21206194831,4287.514432973308
"Week 7, 2018",3590883.109692888,2592617.605198265,0.0,20949.21206194831,4287.514432973308
"Week 8, 2018",3328948.6653551883,2403500.936386446,0.0,19421.086513682167,3974.7647064340945
"Week 9, 2018",3590883.109692888,2592617.605198265,0.0,20949.21206194831,4287.514432973308
"Week 10, 2018",3590883.109692888,2592617.605198265,0.0,20949.21206194831,4287.514432973308
"Week 11, 2018",3590883.109692888,2592617.605198265,0.0,20949.21206194831,4287.514432973308
"Week 12, 2018",3590883.109692888,2592617.605198265,0.0,20949.21206194831,4287.514432973308
"Week 13, 2018",3590883.109692888,2592617.605198265,0.0,20949.21206194831,4287.514432973308
"Week 14, 2018",3590883.109692888,2592617.605198265,0.0,20949.21206194831,4287.514432973308
"Week 15, 2018",3590883.109692888,2592617.605198265,0.0,20949.21206194831,4287.514432973308
"Week 16, 2018",3590883.109692888,2592617.605198265,0.0,20949.21206194831,4287.514432973308
"Week 17, 2018",3590883.109692888,2592617.605198265,0.0,20949.21206194831,4287.514432973308
"Week 18, 2018",3328948.6653551883,2403500.936386446,0.0,19421.086513682167,3974.7647064340945
"Week 19, 2018",3590883.109692888,2592617.605198265,0.0,20949.21206194831,4287.514432973308
"Week 20, 2018",3590883.109692888,2592617.605198265,0.0,20949.21206194831,4287.514432973308
"Week 21, 2018",3590883.109692888,2592617.605198265,0.0,20949.21206194831,4287.514432973308
"Week 22, 2018",3590883.109692888,2592617.605198265,0.0,20949.21206194831,4287.514432973308
"Week 23, 2018",3590883.109692888,2592617.605198265,0.0,20949.21206194831,4287.514432973308
"Week 24, 2018",3590883.109692888,2592617.605198265,0.0,20949.21206194831,4287.514432973308
"Week 25, 2018",3590883.109692888,2592617.605198265,0.0,20949.21206194831,4287.514432973308
"Week 26, 2018",3590883.109692888,2592617.605198265,0.0,20949.21206194831,4287.514432973308
"Week 27, 2018",3590883.109692888,2592617.605198265,0.0,20949.21206194831,4287.514432973308
"Week 28, 2018",3328948.6653551883,2403500.936386446,0.0,19421.086513682167,3974.7647064340945
"Week 29, 2018",3328948.6653551883,2403500.936386446,0.0,19421.086513682167,3974.7647064340945
"Week 30, 2018",3328948.6653551883,2403500.936386446,0.0,19421.086513682167,3974.7647064340945
"Week 31, 2018",3328948.6653551883,2403500.936386446,0.0,19421.086513682167,3974.7647064340945
"Week 32, 2018",3328948.6653551883,2403500.936386446,0.0,19421.086513682167,3974.7647064340945
"Week 33, 2018",3328948.6653551883,2403500.936386446,0.0,19421.086513682167,3974.7647064340945
"Week 34, 2018",3590883.109692888,2592617.605198265,0.0,20949.21206194831,4287.514432973308
"Week 35, 2018",3590883.109692888,2592617.605198265,0.0,20949.21206194831,4287.514432973308
"Week 36, 2018",3590883.109692888,2592617.605198265,0.0,20949.21206194831,4287.514432973308
"Week 37, 2018",3590883.109692888,2592617.605198265,0.0,20949.21206194831,4287.514432973308
"Week 38, 2018",3590883.109692888,2592617.605198265,0.0,20949.21206194831,4287.514432973308
"Week 39, 2018",3590883.109692888,2592617.605198265,0.0,20949.21206194831,4287.514432973308
"Week 40, 2018",3590883.109692888,2592617.605198265,0.0,20949.21206194831,4287.514432973308
"Week 41, 2018",3590883.109692888,2592617.605198265,0.0,20949.21206194831,4287.514432973308
"Week 42, 2018",3328948.6653551883,2403500.936386446,0.0,19421.086513682167,3974.7647064340945
"Week 43, 2018",3590883.109692888,2592617.605198265,0.0,20949.21206194831,4287.514432973308
"Week 44, 2018",3590883.109692888,2592617.605198265,0.0,20949.21206194831,4287.514432973308
"Week 45, 2018",3590883.109692888,2592617.605198265,0.0,20949.21206194831,4287.514432973308
"Week 46, 2018",3590883.109692888,2592617.605198265,0.0,20949.21206194831,4287.514432973308
"Week 47, 2018",3590883.109692888,2592617.605198265,0.0,20949.21206194831,4287.514432973308
"Week 48, 2018",3590883.109692888,2592617.605198265,0.0,20949.21206194831,4287.514432973308
"Week 49, 2018",3590883.109692888,2592617.605198265,0.0,20949.21206194831,4287.514432973308
"Week 50, 2018",3590883.109692888,2592617.605198265,0.0,20949.21206194831,4287.514432973308
"Week 51, 2018",3328948.6653551883,2403500.936386446,0.0,19421.086513682167,3974.7647064340945
"Week 52, 2018",3328948.6653551883,2403500.936386446,0.0,19421.086513682167,3974.7647064340945
"Week 1, 2019",490531.77758432395,354163.94341588195,0.0,2861.7623904269467,585.6949424356828
