Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",119574628.50034891,18054703.694498125,458833.35482409794,78758.14473877406,64477.04552891356
"Week 2, 2018",138235827.4450953,20872378.49522305,530440.3556088248,91049.3926892965,74539.53946324358
"Week 3, 2018",138496830.05078286,20911787.563587137,531441.8782787037,91221.30274457947,74680.27731960271
"Week 4, 2018",138496830.05078286,20911787.563587137,531441.8782787037,91221.30274457947,74680.27731960271
"Week 5, 2018",138496830.05078286,20911787.563587137,531441.8782787037,91221.30274457947,74680.27731960271
"Week 6, 2018",138496830.05078286,20911787.563587137,531441.8782787037,91221.30274457947,74680.27731960271
"Week 7, 2018",140716679.36030167,21246965.03419648,539959.9135731852,92683.41235269624,75877.26473066339
"Week 8, 2018",119547594.33206755,18050621.775916662,458729.61895401427,78740.33861246535,64462.46816144877
"Week 9, 2018",138235827.4450953,20872378.49522305,530440.3556088248,91049.3926892965,74539.53946324358
"Week 10, 2018",138496830.05078286,20911787.563587137,531441.8782787037,91221.30274457947,74680.27731960271
"Week 11, 2018",138496830.05078286,20911787.563587137,531441.8782787037,91221.30274457947,74680.27731960271
"Week 12, 2018",138496830.05078286,20911787.563587137,531441.8782787037,91221.30274457947,74680.27731960271
"Week 13, 2018",138496830.05078286,20911787.563587137,531441.8782787037,91221.30274457947,74680.27731960271
"Week 14, 2018",138496830.05078286,20911787.563587137,531441.8782787037,91221.30274457947,74680.27731960271
"Week 15, 2018",138496830.05078286,20911787.563587137,531441.8782787037,91221.30274457947,74680.27731960271
"Week 16, 2018",138496830.05078286,20911787.563587137,531441.8782787037,91221.30274457947,74680.27731960271
"Week 17, 2018",140716679.36030167,21246965.03419648,539959.9135731852,92683.41235269624,75877.26473066339
"Week 18, 2018",119547594.33206755,18050621.775916662,458729.61895401427,78740.33861246535,64462.46816144877
"Week 19, 2018",138235827.4450953,20872378.49522305,530440.3556088248,91049.3926892965,74539.53946324358
"Week 20, 2018",138496830.05078286,20911787.563587137,531441.8782787037,91221.30274457947,74680.27731960271
"Week 21, 2018",138496830.05078286,20911787.563587137,531441.8782787037,91221.30274457947,74680.27731960271
"Week 22, 2018",138496830.05078286,20911787.563587137,531441.8782787037,91221.30274457947,74680.27731960271
"Week 23, 2018",138496830.05078286,20911787.563587137,531441.8782787037,91221.30274457947,74680.27731960271
"Week 24, 2018",138496830.05078286,20911787.563587137,531441.8782787037,91221.30274457947,74680.27731960271
"Week 25, 2018",138496830.05078286,20911787.563587137,531441.8782787037,91221.30274457947,74680.27731960271
"Week 26, 2018",138496830.05078286,20911787.563587137,531441.8782787037,91221.30274457947,74680.27731960271
"Week 27, 2018",140716679.36030167,21246965.03419648,539959.9135731852,92683.41235269624,75877.26473066339
"Week 28, 2018",111849737.79857107,16888314.014328007,429191.3014821897,73670.12508433664,60311.62903771402
"Week 29, 2018",111876771.96685244,16892395.932909474,429295.0373522734,73687.93121064536,60326.206405178804
"Week 30, 2018",149407078.86305514,22559137.942252554,573306.8301274643,98407.3669278395,80563.30299338605
"Week 31, 2018",112992545.81732057,17060867.844659653,433576.4996110819,74422.83860289917,60927.85411472108
"Week 32, 2018",111876771.96685244,16892395.932909474,429295.0373522734,73687.93121064536,60326.206405178804
"Week 33, 2018",119574628.50034891,18054703.694498125,458833.35482409794,78758.14473877406,64477.04552891356
"Week 34, 2018",138235827.4450953,20872378.49522305,530440.3556088248,91049.3926892965,74539.53946324358
"Week 35, 2018",138496830.05078286,20911787.563587137,531441.8782787037,91221.30274457947,74680.27731960271
"Week 36, 2018",138496830.05078286,20911787.563587137,531441.8782787037,91221.30274457947,74680.27731960271
"Week 37, 2018",138496830.05078286,20911787.563587137,531441.8782787037,91221.30274457947,74680.27731960271
"Week 38, 2018",138496830.05078286,20911787.563587137,531441.8782787037,91221.30274457947,74680.27731960271
"Week 39, 2018",138496830.05078286,20911787.563587137,531441.8782787037,91221.30274457947,74680.27731960271
"Week 40, 2018",138496830.05078286,20911787.563587137,531441.8782787037,91221.30274457947,74680.27731960271
"Week 41, 2018",140716679.36030167,21246965.03419648,539959.9135731852,92683.41235269624,75877.26473066339
"Week 42, 2018",119547594.33206755,18050621.775916662,458729.61895401427,78740.33861246535,64462.46816144877
"Week 43, 2018",138235827.4450953,20872378.49522305,530440.3556088248,91049.3926892965,74539.53946324358
"Week 44, 2018",138496830.05078286,20911787.563587137,531441.8782787037,91221.30274457947,74680.27731960271
"Week 45, 2018",138496830.05078286,20911787.563587137,531441.8782787037,91221.30274457947,74680.27731960271
"Week 46, 2018",138496830.05078286,20911787.563587137,531441.8782787037,91221.30274457947,74680.27731960271
"Week 47, 2018",138496830.05078286,20911787.563587137,531441.8782787037,91221.30274457947,74680.27731960271
"Week 48, 2018",138496830.05078286,20911787.563587137,531441.8782787037,91221.30274457947,74680.27731960271
"Week 49, 2018",138496830.05078286,20911787.563587137,531441.8782787037,91221.30274457947,74680.27731960271
"Week 50, 2018",140716679.36030167,21246965.03419648,539959.9135731852,92683.41235269624,75877.26473066339
"Week 51, 2018",111849737.79857107,16888314.014328007,429191.3014821897,73670.12508433664,60311.62903771402
"Week 52, 2018",111876771.96685244,16892395.932909474,429295.0373522734,73687.93121064536,60326.206405178804
"Week 1, 2019",17599072.676394045,2657303.195964397,67531.39574152583,11591.675679858807,9489.774080453917
