Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",26460914.66601492,3057362.681745097,0.0,0.0,40965.41609808324
"Week 2, 2018",26460914.66601492,3057362.681745097,0.0,0.0,40965.41609808324
"Week 3, 2018",26460914.66601492,3057362.681745097,0.0,0.0,40965.41609808324
"Week 4, 2018",26460914.66601492,3057362.681745097,0.0,0.0,40965.41609808324
"Week 5, 2018",26460914.66601492,3057362.681745097,0.0,0.0,40965.41609808324
"Week 6, 2018",26460914.66601492,3057362.681745097,0.0,0.0,40965.41609808324
"Week 7, 2018",26460914.66601492,3057362.681745097,0.0,0.0,40965.41609808324
"Week 8, 2018",26460914.66601492,3057362.681745097,0.0,0.0,40965.41609808324
"Week 9, 2018",26460914.66601492,3057362.681745097,0.0,0.0,40965.41609808324
"Week 10, 2018",26460914.66601492,3057362.681745097,0.0,0.0,40965.41609808324
"Week 11, 2018",26460914.66601492,3057362.681745097,0.0,0.0,40965.41609808324
"Week 12, 2018",26460914.66601492,3057362.681745097,0.0,0.0,40965.41609808324
"Week 13, 2018",26460914.66601492,3057362.681745097,0.0,0.0,40965.41609808324
"Week 14, 2018",26460914.66601492,3057362.681745097,0.0,0.0,40965.41609808324
"Week 15, 2018",26460914.66601492,3057362.681745097,0.0,0.0,40965.41609808324
"Week 16, 2018",26460914.66601492,3057362.681745097,0.0,0.0,40965.41609808324
"Week 17, 2018",26460914.66601492,3057362.681745097,0.0,0.0,40965.41609808324
"Week 18, 2018",26460914.66601492,3057362.681745097,0.0,0.0,40965.41609808324
"Week 19, 2018",26460914.66601492,3057362.681745097,0.0,0.0,40965.41609808324
"Week 20, 2018",26460914.66601492,3057362.681745097,0.0,0.0,40965.41609808324
"Week 21, 2018",26460914.66601492,3057362.681745097,0.0,0.0,40965.41609808324
"Week 22, 2018",26460914.66601492,3057362.681745097,0.0,0.0,40965.41609808324
"Week 23, 2018",26460914.66601492,3057362.681745097,0.0,0.0,40965.41609808324
"Week 24, 2018",26460914.66601492,3057362.681745097,0.0,0.0,40965.41609808324
"Week 25, 2018",26460914.66601492,3057362.681745097,0.0,0.0,40965.41609808324
"Week 26, 2018",26460914.66601492,3057362.681745097,0.0,0.0,40965.41609808324
"Week 27, 2018",26460914.66601492,3057362.681745097,0.0,0.0,40965.41609808324
"Week 28, 2018",26460914.66601492,3057362.681745097,0.0,0.0,40965.41609808324
"Week 29, 2018",26460914.66601492,3057362.681745097,0.0,0.0,40965.41609808324
"Week 30, 2018",26460914.66601492,3057362.681745097,0.0,0.0,40965.41609808324
"Week 31, 2018",26460914.66601492,3057362.681745097,0.0,0.0,40965.41609808324
"Week 32, 2018",26460914.66601492,3057362.681745097,0.0,0.0,40965.41609808324
"Week 33, 2018",26460914.66601492,3057362.681745097,0.0,0.0,40965.41609808324
"Week 34, 2018",26460914.66601492,3057362.681745097,0.0,0.0,40965.41609808324
"Week 35, 2018",26460914.66601492,3057362.681745097,0.0,0.0,40965.41609808324
"Week 36, 2018",26460914.66601492,3057362.681745097,0.0,0.0,40965.41609808324
"Week 37, 2018",26460914.66601492,3057362.681745097,0.0,0.0,40965.41609808324
"Week 38, 2018",26460914.66601492,3057362.681745097,0.0,0.0,40965.41609808324
"Week 39, 2018",26460914.66601492,3057362.681745097,0.0,0.0,40965.41609808324
"Week 40, 2018",26460914.66601492,3057362.681745097,0.0,0.0,40965.41609808324
"Week 41, 2018",26460914.66601492,3057362.681745097,0.0,0.0,40965.41609808324
"Week 42, 2018",26460914.66601492,3057362.681745097,0.0,0.0,40965.41609808324
"Week 43, 2018",26460914.66601492,3057362.681745097,0.0,0.0,40965.41609808324
"Week 44, 2018",26460914.66601492,3057362.681745097,0.0,0.0,40965.41609808324
"Week 45, 2018",26460914.66601492,3057362.681745097,0.0,0.0,40965.41609808324
"Week 46, 2018",26460914.66601492,3057362.681745097,0.0,0.0,40965.41609808324
"Week 47, 2018",26460914.66601492,3057362.681745097,0.0,0.0,40965.41609808324
"Week 48, 2018",26460914.66601492,3057362.681745097,0.0,0.0,40965.41609808324
"Week 49, 2018",26460914.66601492,3057362.681745097,0.0,0.0,40965.41609808324
"Week 50, 2018",26460914.66601492,3057362.681745097,0.0,0.0,40965.41609808324
"Week 51, 2018",26460914.66601492,3057362.681745097,0.0,0.0,40965.41609808324
"Week 52, 2018",26460914.66601492,3057362.681745097,0.0,0.0,40965.41609808324
"Week 1, 2019",3780130.6665735603,436766.0973921567,0.0,0.0,5852.202299726177
