Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",6393.830664643492,1035.0333079924885,0.0,843.016343004181,72.52522122905113
"Week 2, 2018",6896.921775588292,1116.4736970322328,0.0,909.3481010364753,78.23178370049799
"Week 3, 2018",6896.921775588292,1116.4736970322328,0.0,909.3481010364753,78.23178370049799
"Week 4, 2018",6896.921775588292,1116.4736970322328,0.0,909.3481010364753,78.23178370049799
"Week 5, 2018",6896.921775588292,1116.4736970322328,0.0,909.3481010364753,78.23178370049799
"Week 6, 2018",6896.921775588292,1116.4736970322328,0.0,909.3481010364753,78.23178370049799
"Week 7, 2018",6896.921775588292,1116.4736970322328,0.0,909.3481010364753,78.23178370049799
"Week 8, 2018",6393.830664643492,1035.0333079924885,0.0,843.016343004181,72.52522122905113
"Week 9, 2018",6896.921775588292,1116.4736970322328,0.0,909.3481010364753,78.23178370049799
"Week 10, 2018",6896.921775588292,1116.4736970322328,0.0,909.3481010364753,78.23178370049799
"Week 11, 2018",6896.921775588292,1116.4736970322328,0.0,909.3481010364753,78.23178370049799
"Week 12, 2018",6896.921775588292,1116.4736970322328,0.0,909.3481010364753,78.23178370049799
"Week 13, 2018",6896.921775588292,1116.4736970322328,0.0,909.3481010364753,78.23178370049799
"Week 14, 2018",6896.921775588292,1116.4736970322328,0.0,909.3481010364753,78.23178370049799
"Week 15, 2018",6896.921775588292,1116.4736970322328,0.0,909.3481010364753,78.23178370049799
"Week 16, 2018",6896.921775588292,1116.4736970322328,0.0,909.3481010364753,78.23178370049799
"Week 17, 2018",6896.921775588292,1116.4736970322328,0.0,909.3481010364753,78.23178370049799
"Week 18, 2018",6393.830664643492,1035.0333079924885,0.0,843.016343004181,72.52522122905113
"Week 19, 2018",6896.921775588292,1116.4736970322328,0.0,909.3481010364753,78.23178370049799
"Week 20, 2018",6896.921775588292,1116.4736970322328,0.0,909.3481010364753,78.23178370049799
"Week 21, 2018",6896.921775588292,1116.4736970322328,0.0,909.3481010364753,78.23178370049799
"Week 22, 2018",6896.921775588292,1116.4736970322328,0.0,909.3481010364753,78.23178370049799
"Week 23, 2018",6896.921775588292,1116.4736970322328,0.0,909.3481010364753,78.23178370049799
"Week 24, 2018",6896.921775588292,1116.4736970322328,0.0,909.3481010364753,78.23178370049799
"Week 25, 2018",6896.921775588292,1116.4736970322328,0.0,909.3481010364753,78.23178370049799
"Week 26, 2018",6896.921775588292,1116.4736970322328,0.0,909.3481010364753,78.23178370049799
"Week 27, 2018",6896.921775588292,1116.4736970322328,0.0,909.3481010364753,78.23178370049799
"Week 28, 2018",6393.830664643492,1035.0333079924885,0.0,843.016343004181,72.52522122905113
"Week 29, 2018",6393.830664643492,1035.0333079924885,0.0,843.016343004181,72.52522122905113
"Week 30, 2018",6393.830664643492,1035.0333079924885,0.0,843.016343004181,72.52522122905113
"Week 31, 2018",6393.830664643492,1035.0333079924885,0.0,843.016343004181,72.52522122905113
"Week 32, 2018",6393.830664643492,1035.0333079924885,0.0,843.016343004181,72.52522122905113
"Week 33, 2018",6393.830664643492,1035.0333079924885,0.0,843.016343004181,72.52522122905113
"Week 34, 2018",6896.921775588292,1116.4736970322328,0.0,909.3481010364753,78.23178370049799
"Week 35, 2018",6896.921775588292,1116.4736970322328,0.0,909.3481010364753,78.23178370049799
"Week 36, 2018",6896.921775588292,1116.4736970322328,0.0,909.3481010364753,78.23178370049799
"Week 37, 2018",6896.921775588292,1116.4736970322328,0.0,909.3481010364753,78.23178370049799
"Week 38, 2018",6896.921775588292,1116.4736970322328,0.0,909.3481010364753,78.23178370049799
"Week 39, 2018",6896.921775588292,1116.4736970322328,0.0,909.3481010364753,78.23178370049799
"Week 40, 2018",6896.921775588292,1116.4736970322328,0.0,909.3481010364753,78.23178370049799
"Week 41, 2018",6896.921775588292,1116.4736970322328,0.0,909.3481010364753,78.23178370049799
"Week 42, 2018",6393.830664643492,1035.0333079924885,0.0,843.016343004181,72.52522122905113
"Week 43, 2018",6896.921775588292,1116.4736970322328,0.0,909.3481010364753,78.23178370049799
"Week 44, 2018",6896.921775588292,1116.4736970322328,0.0,909.3481010364753,78.23178370049799
"Week 45, 2018",6896.921775588292,1116.4736970322328,0.0,909.3481010364753,78.23178370049799
"Week 46, 2018",6896.921775588292,1116.4736970322328,0.0,909.3481010364753,78.23178370049799
"Week 47, 2018",6896.921775588292,1116.4736970322328,0.0,909.3481010364753,78.23178370049799
"Week 48, 2018",6896.921775588292,1116.4736970322328,0.0,909.3481010364753,78.23178370049799
"Week 49, 2018",6896.921775588292,1116.4736970322328,0.0,909.3481010364753,78.23178370049799
"Week 50, 2018",6896.921775588292,1116.4736970322328,0.0,909.3481010364753,78.23178370049799
"Week 51, 2018",6393.830664643492,1035.0333079924885,0.0,843.016343004181,72.52522122905113
"Week 52, 2018",6393.830664643492,1035.0333079924885,0.0,843.016343004181,72.52522122905113
"Week 1, 2019",942.152444145916,152.5156376583409,0.0,124.2212923167284,10.686835173947124
