Week number,Kilometers,electricity consumption kWh,gasoline consumption litres,diesel consumption litres,hydrogen consumption kg,CNG consumption kg,LNG consumption kg
"Week 1, 2018",1708.666666126,1298.58666625576,580.7757998162274,498.4180665089542,68.00493331181481,412.642999869429,412.642999869429
"Week 2, 2018",1843.111110526,1400.76444399976,626.4734664677874,537.6355109404342,73.3558221989348,445.11133319202895,445.11133319202895
"Week 3, 2018",1843.111110526,1400.76444399976,626.4734664677874,537.6355109404342,73.3558221989348,445.11133319202895,445.11133319202895
"Week 4, 2018",1843.111110526,1400.76444399976,626.4734664677874,537.6355109404342,73.3558221989348,445.11133319202895,445.11133319202895
"Week 5, 2018",1843.111110526,1400.76444399976,626.4734664677874,537.6355109404342,73.3558221989348,445.11133319202895,445.11133319202895
"Week 6, 2018",1843.111110526,1400.76444399976,626.4734664677874,537.6355109404342,73.3558221989348,445.11133319202895,445.11133319202895
"Week 7, 2018",1843.111110526,1400.76444399976,626.4734664677874,537.6355109404342,73.3558221989348,445.11133319202895,445.11133319202895
"Week 8, 2018",1708.666666126,1298.58666625576,580.7757998162274,498.4180665089542,68.00493331181481,412.642999869429,412.642999869429
"Week 9, 2018",1843.111110526,1400.76444399976,626.4734664677874,537.6355109404342,73.3558221989348,445.11133319202895,445.11133319202895
"Week 10, 2018",1843.111110526,1400.76444399976,626.4734664677874,537.6355109404342,73.3558221989348,445.11133319202895,445.11133319202895
"Week 11, 2018",1843.111110526,1400.76444399976,626.4734664677874,537.6355109404342,73.3558221989348,445.11133319202895,445.11133319202895
"Week 12, 2018",1843.111110526,1400.76444399976,626.4734664677874,537.6355109404342,73.3558221989348,445.11133319202895,445.11133319202895
"Week 13, 2018",1843.111110526,1400.76444399976,626.4734664677874,537.6355109404342,73.3558221989348,445.11133319202895,445.11133319202895
"Week 14, 2018",1843.111110526,1400.76444399976,626.4734664677874,537.6355109404342,73.3558221989348,445.11133319202895,445.11133319202895
"Week 15, 2018",1843.111110526,1400.76444399976,626.4734664677874,537.6355109404342,73.3558221989348,445.11133319202895,445.11133319202895
"Week 16, 2018",1843.111110526,1400.76444399976,626.4734664677874,537.6355109404342,73.3558221989348,445.11133319202895,445.11133319202895
"Week 17, 2018",1843.111110526,1400.76444399976,626.4734664677874,537.6355109404342,73.3558221989348,445.11133319202895,445.11133319202895
"Week 18, 2018",1708.666666126,1298.58666625576,580.7757998162274,498.4180665089542,68.00493331181481,412.642999869429,412.642999869429
"Week 19, 2018",1843.111110526,1400.76444399976,626.4734664677874,537.6355109404342,73.3558221989348,445.11133319202895,445.11133319202895
"Week 20, 2018",1843.111110526,1400.76444399976,626.4734664677874,537.6355109404342,73.3558221989348,445.11133319202895,445.11133319202895
"Week 21, 2018",1843.111110526,1400.76444399976,626.4734664677874,537.6355109404342,73.3558221989348,445.11133319202895,445.11133319202895
"Week 22, 2018",1843.111110526,1400.76444399976,626.4734664677874,537.6355109404342,73.3558221989348,445.11133319202895,445.11133319202895
"Week 23, 2018",1843.111110526,1400.76444399976,626.4734664677874,537.6355109404342,73.3558221989348,445.11133319202895,445.11133319202895
"Week 24, 2018",1843.111110526,1400.76444399976,626.4734664677874,537.6355109404342,73.3558221989348,445.11133319202895,445.11133319202895
"Week 25, 2018",1843.111110526,1400.76444399976,626.4734664677874,537.6355109404342,73.3558221989348,445.11133319202895,445.11133319202895
"Week 26, 2018",1843.111110526,1400.76444399976,626.4734664677874,537.6355109404342,73.3558221989348,445.11133319202895,445.11133319202895
"Week 27, 2018",1843.111110526,1400.76444399976,626.4734664677874,537.6355109404342,73.3558221989348,445.11133319202895,445.11133319202895
"Week 28, 2018",1708.666666126,1298.58666625576,580.7757998162274,498.4180665089542,68.00493331181481,412.642999869429,412.642999869429
"Week 29, 2018",1708.666666126,1298.58666625576,580.7757998162274,498.4180665089542,68.00493331181481,412.642999869429,412.642999869429
"Week 30, 2018",1708.666666126,1298.58666625576,580.7757998162274,498.4180665089542,68.00493331181481,412.642999869429,412.642999869429
"Week 31, 2018",1708.666666126,1298.58666625576,580.7757998162274,498.4180665089542,68.00493331181481,412.642999869429,412.642999869429
"Week 32, 2018",1708.666666126,1298.58666625576,580.7757998162274,498.4180665089542,68.00493331181481,412.642999869429,412.642999869429
"Week 33, 2018",1708.666666126,1298.58666625576,580.7757998162274,498.4180665089542,68.00493331181481,412.642999869429,412.642999869429
"Week 34, 2018",1843.111110526,1400.76444399976,626.4734664677874,537.6355109404342,73.3558221989348,445.11133319202895,445.11133319202895
"Week 35, 2018",1843.111110526,1400.76444399976,626.4734664677874,537.6355109404342,73.3558221989348,445.11133319202895,445.11133319202895
"Week 36, 2018",1843.111110526,1400.76444399976,626.4734664677874,537.6355109404342,73.3558221989348,445.11133319202895,445.11133319202895
"Week 37, 2018",1843.111110526,1400.76444399976,626.4734664677874,537.6355109404342,73.3558221989348,445.11133319202895,445.11133319202895
"Week 38, 2018",1843.111110526,1400.76444399976,626.4734664677874,537.6355109404342,73.3558221989348,445.11133319202895,445.11133319202895
"Week 39, 2018",1843.111110526,1400.76444399976,626.4734664677874,537.6355109404342,73.3558221989348,445.11133319202895,445.11133319202895
"Week 40, 2018",1843.111110526,1400.76444399976,626.4734664677874,537.6355109404342,73.3558221989348,445.11133319202895,445.11133319202895
"Week 41, 2018",1843.111110526,1400.76444399976,626.4734664677874,537.6355109404342,73.3558221989348,445.11133319202895,445.11133319202895
"Week 42, 2018",1708.666666126,1298.58666625576,580.7757998162274,498.4180665089542,68.00493331181481,412.642999869429,412.642999869429
"Week 43, 2018",1843.111110526,1400.76444399976,626.4734664677874,537.6355109404342,73.3558221989348,445.11133319202895,445.11133319202895
"Week 44, 2018",1843.111110526,1400.76444399976,626.4734664677874,537.6355109404342,73.3558221989348,445.11133319202895,445.11133319202895
"Week 45, 2018",1843.111110526,1400.76444399976,626.4734664677874,537.6355109404342,73.3558221989348,445.11133319202895,445.11133319202895
"Week 46, 2018",1843.111110526,1400.76444399976,626.4734664677874,537.6355109404342,73.3558221989348,445.11133319202895,445.11133319202895
"Week 47, 2018",1843.111110526,1400.76444399976,626.4734664677874,537.6355109404342,73.3558221989348,445.11133319202895,445.11133319202895
"Week 48, 2018",1843.111110526,1400.76444399976,626.4734664677874,537.6355109404342,73.3558221989348,445.11133319202895,445.11133319202895
"Week 49, 2018",1843.111110526,1400.76444399976,626.4734664677874,537.6355109404342,73.3558221989348,445.11133319202895,445.11133319202895
"Week 50, 2018",1843.111110526,1400.76444399976,626.4734664677874,537.6355109404342,73.3558221989348,445.11133319202895,445.11133319202895
"Week 51, 2018",1708.666666126,1298.58666625576,580.7757998162274,498.4180665089542,68.00493331181481,412.642999869429,412.642999869429
"Week 52, 2018",1708.666666126,1298.58666625576,580.7757998162274,498.4180665089542,68.00493331181481,412.642999869429,412.642999869429
"Week 1, 2019",251.777777698,191.35111105048,85.5792666395502,73.4435777545066,10.0207555523804,60.804333314066994,60.804333314066994
