Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",248094026.8077795,27210731.90525604,881938.7382370173,0.0,475078.2662766426
"Week 2, 2018",288459158.2606671,31637943.57341903,1025431.0002652088,0.0,552373.9469321242
"Week 3, 2018",288754456.31189615,31670331.600682434,1026480.7425506471,0.0,552939.4167582941
"Week 4, 2018",288754456.31189615,31670331.600682434,1026480.7425506471,0.0,552939.4167582941
"Week 5, 2018",288754456.31189615,31670331.600682434,1026480.7425506471,0.0,552939.4167582941
"Week 6, 2018",288754456.31189615,31670331.600682434,1026480.7425506471,0.0,552939.4167582941
"Week 7, 2018",292906921.91152793,32125770.32942266,1041242.1631242641,0.0,560891.023587486
"Week 8, 2018",248156454.61705136,27217578.931778148,882160.6601593165,0.0,475197.8100471152
"Week 9, 2018",288459158.2606671,31637943.57341903,1025431.0002652088,0.0,552373.9469321242
"Week 10, 2018",288754456.31189615,31670331.600682434,1026480.7425506471,0.0,552939.4167582941
"Week 11, 2018",288754456.31189615,31670331.600682434,1026480.7425506471,0.0,552939.4167582941
"Week 12, 2018",288754456.31189615,31670331.600682434,1026480.7425506471,0.0,552939.4167582941
"Week 13, 2018",288754456.31189615,31670331.600682434,1026480.7425506471,0.0,552939.4167582941
"Week 14, 2018",288754456.31189615,31670331.600682434,1026480.7425506471,0.0,552939.4167582941
"Week 15, 2018",288754456.31189615,31670331.600682434,1026480.7425506471,0.0,552939.4167582941
"Week 16, 2018",288754456.31189615,31670331.600682434,1026480.7425506471,0.0,552939.4167582941
"Week 17, 2018",292906921.91152793,32125770.32942266,1041242.1631242641,0.0,560891.023587486
"Week 18, 2018",248156454.61705136,27217578.931778148,882160.6601593165,0.0,475197.8100471152
"Week 19, 2018",288459158.2606671,31637943.57341903,1025431.0002652088,0.0,552373.9469321242
"Week 20, 2018",288754456.31189615,31670331.600682434,1026480.7425506471,0.0,552939.4167582941
"Week 21, 2018",288754456.31189615,31670331.600682434,1026480.7425506471,0.0,552939.4167582941
"Week 22, 2018",288754456.31189615,31670331.600682434,1026480.7425506471,0.0,552939.4167582941
"Week 23, 2018",288754456.31189615,31670331.600682434,1026480.7425506471,0.0,552939.4167582941
"Week 24, 2018",288754456.31189615,31670331.600682434,1026480.7425506471,0.0,552939.4167582941
"Week 25, 2018",288754456.31189615,31670331.600682434,1026480.7425506471,0.0,552939.4167582941
"Week 26, 2018",288754456.31189615,31670331.600682434,1026480.7425506471,0.0,552939.4167582941
"Week 27, 2018",292906921.91152793,32125770.32942266,1041242.1631242641,0.0,560891.023587486
"Week 28, 2018",233114256.33786997,25567764.021249745,828687.7993196202,0.0,446393.3217996017
"Week 29, 2018",233051828.5285981,25560916.994727634,828465.877397321,0.0,446273.77802912914
"Week 30, 2018",307236390.38441676,33697413.66956119,1092181.3715654986,0.0,588330.6968692628
"Week 31, 2018",234965313.44964644,25770786.31669941,835268.0422806072,0.0,449937.93355328636
"Week 32, 2018",233051828.5285981,25560916.994727634,828465.877397321,0.0,446273.77802912914
"Week 33, 2018",248094026.8077795,27210731.90525604,881938.7382370173,0.0,475078.2662766426
"Week 34, 2018",288459158.2606671,31637943.57341903,1025431.0002652088,0.0,552373.9469321242
"Week 35, 2018",288754456.31189615,31670331.600682434,1026480.7425506471,0.0,552939.4167582941
"Week 36, 2018",288754456.31189615,31670331.600682434,1026480.7425506471,0.0,552939.4167582941
"Week 37, 2018",288754456.31189615,31670331.600682434,1026480.7425506471,0.0,552939.4167582941
"Week 38, 2018",288754456.31189615,31670331.600682434,1026480.7425506471,0.0,552939.4167582941
"Week 39, 2018",288754456.31189615,31670331.600682434,1026480.7425506471,0.0,552939.4167582941
"Week 40, 2018",288754456.31189615,31670331.600682434,1026480.7425506471,0.0,552939.4167582941
"Week 41, 2018",292906921.91152793,32125770.32942266,1041242.1631242641,0.0,560891.023587486
"Week 42, 2018",248156454.61705136,27217578.931778148,882160.6601593165,0.0,475197.8100471152
"Week 43, 2018",288459158.2606671,31637943.57341903,1025431.0002652088,0.0,552373.9469321242
"Week 44, 2018",288754456.31189615,31670331.600682434,1026480.7425506471,0.0,552939.4167582941
"Week 45, 2018",288754456.31189615,31670331.600682434,1026480.7425506471,0.0,552939.4167582941
"Week 46, 2018",288754456.31189615,31670331.600682434,1026480.7425506471,0.0,552939.4167582941
"Week 47, 2018",288754456.31189615,31670331.600682434,1026480.7425506471,0.0,552939.4167582941
"Week 48, 2018",288754456.31189615,31670331.600682434,1026480.7425506471,0.0,552939.4167582941
"Week 49, 2018",288754456.31189615,31670331.600682434,1026480.7425506471,0.0,552939.4167582941
"Week 50, 2018",292906921.91152793,32125770.32942266,1041242.1631242641,0.0,560891.023587486
"Week 51, 2018",233114256.33786997,25567764.021249745,828687.7993196202,0.0,446393.3217996017
"Week 52, 2018",233051828.5285981,25560916.994727634,828465.877397321,0.0,446273.77802912914
"Week 1, 2019",36996281.692987055,4057719.226828381,131516.48355103054,0.0,70844.62931872347
