Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",71458.46399535984,1036.8623125726715,0.0,1114.466204471632,249.81879012777802
"Week 2, 2018",71458.46399535984,1036.8623125726715,0.0,1114.466204471632,249.81879012777802
"Week 3, 2018",71458.46399535984,1036.8623125726715,0.0,1114.466204471632,249.81879012777802
"Week 4, 2018",71458.46399535984,1036.8623125726715,0.0,1114.466204471632,249.81879012777802
"Week 5, 2018",71458.46399535984,1036.8623125726715,0.0,1114.466204471632,249.81879012777802
"Week 6, 2018",71458.46399535984,1036.8623125726715,0.0,1114.466204471632,249.81879012777802
"Week 7, 2018",71458.46399535984,1036.8623125726715,0.0,1114.466204471632,249.81879012777802
"Week 8, 2018",71458.46399535984,1036.8623125726715,0.0,1114.466204471632,249.81879012777802
"Week 9, 2018",71458.46399535984,1036.8623125726715,0.0,1114.466204471632,249.81879012777802
"Week 10, 2018",71458.46399535984,1036.8623125726715,0.0,1114.466204471632,249.81879012777802
"Week 11, 2018",71458.46399535984,1036.8623125726715,0.0,1114.466204471632,249.81879012777802
"Week 12, 2018",71458.46399535984,1036.8623125726715,0.0,1114.466204471632,249.81879012777802
"Week 13, 2018",71458.46399535984,1036.8623125726715,0.0,1114.466204471632,249.81879012777802
"Week 14, 2018",71458.46399535984,1036.8623125726715,0.0,1114.466204471632,249.81879012777802
"Week 15, 2018",71458.46399535984,1036.8623125726715,0.0,1114.466204471632,249.81879012777802
"Week 16, 2018",71458.46399535984,1036.8623125726715,0.0,1114.466204471632,249.81879012777802
"Week 17, 2018",71458.46399535984,1036.8623125726715,0.0,1114.466204471632,249.81879012777802
"Week 18, 2018",71458.46399535984,1036.8623125726715,0.0,1114.466204471632,249.81879012777802
"Week 19, 2018",71458.46399535984,1036.8623125726715,0.0,1114.466204471632,249.81879012777802
"Week 20, 2018",71458.46399535984,1036.8623125726715,0.0,1114.466204471632,249.81879012777802
"Week 21, 2018",71458.46399535984,1036.8623125726715,0.0,1114.466204471632,249.81879012777802
"Week 22, 2018",71458.46399535984,1036.8623125726715,0.0,1114.466204471632,249.81879012777802
"Week 23, 2018",71458.46399535984,1036.8623125726715,0.0,1114.466204471632,249.81879012777802
"Week 24, 2018",71458.46399535984,1036.8623125726715,0.0,1114.466204471632,249.81879012777802
"Week 25, 2018",71458.46399535984,1036.8623125726715,0.0,1114.466204471632,249.81879012777802
"Week 26, 2018",71458.46399535984,1036.8623125726715,0.0,1114.466204471632,249.81879012777802
"Week 27, 2018",71458.46399535984,1036.8623125726715,0.0,1114.466204471632,249.81879012777802
"Week 28, 2018",71458.46399535984,1036.8623125726715,0.0,1114.466204471632,249.81879012777802
"Week 29, 2018",71458.46399535984,1036.8623125726715,0.0,1114.466204471632,249.81879012777802
"Week 30, 2018",71458.46399535984,1036.8623125726715,0.0,1114.466204471632,249.81879012777802
"Week 31, 2018",71458.46399535984,1036.8623125726715,0.0,1114.466204471632,249.81879012777802
"Week 32, 2018",71458.46399535984,1036.8623125726715,0.0,1114.466204471632,249.81879012777802
"Week 33, 2018",71458.46399535984,1036.8623125726715,0.0,1114.466204471632,249.81879012777802
"Week 34, 2018",71458.46399535984,1036.8623125726715,0.0,1114.466204471632,249.81879012777802
"Week 35, 2018",71458.46399535984,1036.8623125726715,0.0,1114.466204471632,249.81879012777802
"Week 36, 2018",71458.46399535984,1036.8623125726715,0.0,1114.466204471632,249.81879012777802
"Week 37, 2018",71458.46399535984,1036.8623125726715,0.0,1114.466204471632,249.81879012777802
"Week 38, 2018",71458.46399535984,1036.8623125726715,0.0,1114.466204471632,249.81879012777802
"Week 39, 2018",71458.46399535984,1036.8623125726715,0.0,1114.466204471632,249.81879012777802
"Week 40, 2018",71458.46399535984,1036.8623125726715,0.0,1114.466204471632,249.81879012777802
"Week 41, 2018",71458.46399535984,1036.8623125726715,0.0,1114.466204471632,249.81879012777802
"Week 42, 2018",71458.46399535984,1036.8623125726715,0.0,1114.466204471632,249.81879012777802
"Week 43, 2018",71458.46399535984,1036.8623125726715,0.0,1114.466204471632,249.81879012777802
"Week 44, 2018",71458.46399535984,1036.8623125726715,0.0,1114.466204471632,249.81879012777802
"Week 45, 2018",71458.46399535984,1036.8623125726715,0.0,1114.466204471632,249.81879012777802
"Week 46, 2018",71458.46399535984,1036.8623125726715,0.0,1114.466204471632,249.81879012777802
"Week 47, 2018",71458.46399535984,1036.8623125726715,0.0,1114.466204471632,249.81879012777802
"Week 48, 2018",71458.46399535984,1036.8623125726715,0.0,1114.466204471632,249.81879012777802
"Week 49, 2018",71458.46399535984,1036.8623125726715,0.0,1114.466204471632,249.81879012777802
"Week 50, 2018",71458.46399535984,1036.8623125726715,0.0,1114.466204471632,249.81879012777802
"Week 51, 2018",71458.46399535984,1036.8623125726715,0.0,1114.466204471632,249.81879012777802
"Week 52, 2018",71458.46399535984,1036.8623125726715,0.0,1114.466204471632,249.81879012777802
"Week 1, 2019",10208.351999337121,148.12318751038163,0.0,159.2094577816617,35.68839858968257
