Week number,Kilometers,electricity consumption kWh,gasoline consumption litres,diesel consumption litres,hydrogen consumption kg,LPG consumption litres,CNG consumption kg
"Week 1, 2018",419.466666696,60.864613337589596,27.2233866685704,23.364293334967197,3.1879466668895997,38.590933336031995,19.3374133346856
"Week 2, 2018",419.466666696,60.864613337589596,27.2233866685704,23.364293334967197,3.1879466668895997,38.590933336031995,19.3374133346856
"Week 3, 2018",419.466666696,60.864613337589596,27.2233866685704,23.364293334967197,3.1879466668895997,38.590933336031995,19.3374133346856
"Week 4, 2018",419.466666696,60.864613337589596,27.2233866685704,23.364293334967197,3.1879466668895997,38.590933336031995,19.3374133346856
"Week 5, 2018",419.466666696,60.864613337589596,27.2233866685704,23.364293334967197,3.1879466668895997,38.590933336031995,19.3374133346856
"Week 6, 2018",419.466666696,60.864613337589596,27.2233866685704,23.364293334967197,3.1879466668895997,38.590933336031995,19.3374133346856
"Week 7, 2018",419.466666696,60.864613337589596,27.2233866685704,23.364293334967197,3.1879466668895997,38.590933336031995,19.3374133346856
"Week 8, 2018",419.466666696,60.864613337589596,27.2233866685704,23.364293334967197,3.1879466668895997,38.590933336031995,19.3374133346856
"Week 9, 2018",419.466666696,60.864613337589596,27.2233866685704,23.364293334967197,3.1879466668895997,38.590933336031995,19.3374133346856
"Week 10, 2018",419.466666696,60.864613337589596,27.2233866685704,23.364293334967197,3.1879466668895997,38.590933336031995,19.3374133346856
"Week 11, 2018",419.466666696,60.864613337589596,27.2233866685704,23.364293334967197,3.1879466668895997,38.590933336031995,19.3374133346856
"Week 12, 2018",419.466666696,60.864613337589596,27.2233866685704,23.364293334967197,3.1879466668895997,38.590933336031995,19.3374133346856
"Week 13, 2018",419.466666696,60.864613337589596,27.2233866685704,23.364293334967197,3.1879466668895997,38.590933336031995,19.3374133346856
"Week 14, 2018",419.466666696,60.864613337589596,27.2233866685704,23.364293334967197,3.1879466668895997,38.590933336031995,19.3374133346856
"Week 15, 2018",419.466666696,60.864613337589596,27.2233866685704,23.364293334967197,3.1879466668895997,38.590933336031995,19.3374133346856
"Week 16, 2018",419.466666696,60.864613337589596,27.2233866685704,23.364293334967197,3.1879466668895997,38.590933336031995,19.3374133346856
"Week 17, 2018",419.466666696,60.864613337589596,27.2233866685704,23.364293334967197,3.1879466668895997,38.590933336031995,19.3374133346856
"Week 18, 2018",419.466666696,60.864613337589596,27.2233866685704,23.364293334967197,3.1879466668895997,38.590933336031995,19.3374133346856
"Week 19, 2018",419.466666696,60.864613337589596,27.2233866685704,23.364293334967197,3.1879466668895997,38.590933336031995,19.3374133346856
"Week 20, 2018",419.466666696,60.864613337589596,27.2233866685704,23.364293334967197,3.1879466668895997,38.590933336031995,19.3374133346856
"Week 21, 2018",419.466666696,60.864613337589596,27.2233866685704,23.364293334967197,3.1879466668895997,38.590933336031995,19.3374133346856
"Week 22, 2018",419.466666696,60.864613337589596,27.2233866685704,23.364293334967197,3.1879466668895997,38.590933336031995,19.3374133346856
"Week 23, 2018",419.466666696,60.864613337589596,27.2233866685704,23.364293334967197,3.1879466668895997,38.590933336031995,19.3374133346856
"Week 24, 2018",419.466666696,60.864613337589596,27.2233866685704,23.364293334967197,3.1879466668895997,38.590933336031995,19.3374133346856
"Week 25, 2018",419.466666696,60.864613337589596,27.2233866685704,23.364293334967197,3.1879466668895997,38.590933336031995,19.3374133346856
"Week 26, 2018",419.466666696,60.864613337589596,27.2233866685704,23.364293334967197,3.1879466668895997,38.590933336031995,19.3374133346856
"Week 27, 2018",419.466666696,60.864613337589596,27.2233866685704,23.364293334967197,3.1879466668895997,38.590933336031995,19.3374133346856
"Week 28, 2018",419.466666696,60.864613337589596,27.2233866685704,23.364293334967197,3.1879466668895997,38.590933336031995,19.3374133346856
"Week 29, 2018",419.466666696,60.864613337589596,27.2233866685704,23.364293334967197,3.1879466668895997,38.590933336031995,19.3374133346856
"Week 30, 2018",419.466666696,60.864613337589596,27.2233866685704,23.364293334967197,3.1879466668895997,38.590933336031995,19.3374133346856
"Week 31, 2018",419.466666696,60.864613337589596,27.2233866685704,23.364293334967197,3.1879466668895997,38.590933336031995,19.3374133346856
"Week 32, 2018",419.466666696,60.864613337589596,27.2233866685704,23.364293334967197,3.1879466668895997,38.590933336031995,19.3374133346856
"Week 33, 2018",419.466666696,60.864613337589596,27.2233866685704,23.364293334967197,3.1879466668895997,38.590933336031995,19.3374133346856
"Week 34, 2018",419.466666696,60.864613337589596,27.2233866685704,23.364293334967197,3.1879466668895997,38.590933336031995,19.3374133346856
"Week 35, 2018",419.466666696,60.864613337589596,27.2233866685704,23.364293334967197,3.1879466668895997,38.590933336031995,19.3374133346856
"Week 36, 2018",419.466666696,60.864613337589596,27.2233866685704,23.364293334967197,3.1879466668895997,38.590933336031995,19.3374133346856
"Week 37, 2018",419.466666696,60.864613337589596,27.2233866685704,23.364293334967197,3.1879466668895997,38.590933336031995,19.3374133346856
"Week 38, 2018",419.466666696,60.864613337589596,27.2233866685704,23.364293334967197,3.1879466668895997,38.590933336031995,19.3374133346856
"Week 39, 2018",419.466666696,60.864613337589596,27.2233866685704,23.364293334967197,3.1879466668895997,38.590933336031995,19.3374133346856
"Week 40, 2018",419.466666696,60.864613337589596,27.2233866685704,23.364293334967197,3.1879466668895997,38.590933336031995,19.3374133346856
"Week 41, 2018",419.466666696,60.864613337589596,27.2233866685704,23.364293334967197,3.1879466668895997,38.590933336031995,19.3374133346856
"Week 42, 2018",419.466666696,60.864613337589596,27.2233866685704,23.364293334967197,3.1879466668895997,38.590933336031995,19.3374133346856
"Week 43, 2018",419.466666696,60.864613337589596,27.2233866685704,23.364293334967197,3.1879466668895997,38.590933336031995,19.3374133346856
"Week 44, 2018",419.466666696,60.864613337589596,27.2233866685704,23.364293334967197,3.1879466668895997,38.590933336031995,19.3374133346856
"Week 45, 2018",419.466666696,60.864613337589596,27.2233866685704,23.364293334967197,3.1879466668895997,38.590933336031995,19.3374133346856
"Week 46, 2018",419.466666696,60.864613337589596,27.2233866685704,23.364293334967197,3.1879466668895997,38.590933336031995,19.3374133346856
"Week 47, 2018",419.466666696,60.864613337589596,27.2233866685704,23.364293334967197,3.1879466668895997,38.590933336031995,19.3374133346856
"Week 48, 2018",419.466666696,60.864613337589596,27.2233866685704,23.364293334967197,3.1879466668895997,38.590933336031995,19.3374133346856
"Week 49, 2018",419.466666696,60.864613337589596,27.2233866685704,23.364293334967197,3.1879466668895997,38.590933336031995,19.3374133346856
"Week 50, 2018",419.466666696,60.864613337589596,27.2233866685704,23.364293334967197,3.1879466668895997,38.590933336031995,19.3374133346856
"Week 51, 2018",419.466666696,60.864613337589596,27.2233866685704,23.364293334967197,3.1879466668895997,38.590933336031995,19.3374133346856
"Week 52, 2018",419.466666696,60.864613337589596,27.2233866685704,23.364293334967197,3.1879466668895997,38.590933336031995,19.3374133346856
"Week 1, 2019",63.555555559999995,9.221911111756,4.124755555844,3.5400444446919996,0.48302222225599994,5.847111111519999,2.9299111113159997
