Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",26500.645601853194,858.7710865433726,0.0,762.6444131706937,48.33717757778021
"Week 2, 2018",26500.645601853194,858.7710865433726,0.0,762.6444131706937,48.33717757778021
"Week 3, 2018",26500.645601853194,858.7710865433726,0.0,762.6444131706937,48.33717757778021
"Week 4, 2018",26500.645601853194,858.7710865433726,0.0,762.6444131706937,48.33717757778021
"Week 5, 2018",26500.645601853194,858.7710865433726,0.0,762.6444131706937,48.33717757778021
"Week 6, 2018",26500.645601853194,858.7710865433726,0.0,762.6444131706937,48.33717757778021
"Week 7, 2018",26500.645601853194,858.7710865433726,0.0,762.6444131706937,48.33717757778021
"Week 8, 2018",26500.645601853194,858.7710865433726,0.0,762.6444131706937,48.33717757778021
"Week 9, 2018",26500.645601853194,858.7710865433726,0.0,762.6444131706937,48.33717757778021
"Week 10, 2018",26500.645601853194,858.7710865433726,0.0,762.6444131706937,48.33717757778021
"Week 11, 2018",26500.645601853194,858.7710865433726,0.0,762.6444131706937,48.33717757778021
"Week 12, 2018",26500.645601853194,858.7710865433726,0.0,762.6444131706937,48.33717757778021
"Week 13, 2018",26500.645601853194,858.7710865433726,0.0,762.6444131706937,48.33717757778021
"Week 14, 2018",26500.645601853194,858.7710865433726,0.0,762.6444131706937,48.33717757778021
"Week 15, 2018",26500.645601853194,858.7710865433726,0.0,762.6444131706937,48.33717757778021
"Week 16, 2018",26500.645601853194,858.7710865433726,0.0,762.6444131706937,48.33717757778021
"Week 17, 2018",26500.645601853194,858.7710865433726,0.0,762.6444131706937,48.33717757778021
"Week 18, 2018",26500.645601853194,858.7710865433726,0.0,762.6444131706937,48.33717757778021
"Week 19, 2018",26500.645601853194,858.7710865433726,0.0,762.6444131706937,48.33717757778021
"Week 20, 2018",26500.645601853194,858.7710865433726,0.0,762.6444131706937,48.33717757778021
"Week 21, 2018",26500.645601853194,858.7710865433726,0.0,762.6444131706937,48.33717757778021
"Week 22, 2018",26500.645601853194,858.7710865433726,0.0,762.6444131706937,48.33717757778021
"Week 23, 2018",26500.645601853194,858.7710865433726,0.0,762.6444131706937,48.33717757778021
"Week 24, 2018",26500.645601853194,858.7710865433726,0.0,762.6444131706937,48.33717757778021
"Week 25, 2018",26500.645601853194,858.7710865433726,0.0,762.6444131706937,48.33717757778021
"Week 26, 2018",26500.645601853194,858.7710865433726,0.0,762.6444131706937,48.33717757778021
"Week 27, 2018",26500.645601853194,858.7710865433726,0.0,762.6444131706937,48.33717757778021
"Week 28, 2018",26500.645601853194,858.7710865433726,0.0,762.6444131706937,48.33717757778021
"Week 29, 2018",26500.645601853194,858.7710865433726,0.0,762.6444131706937,48.33717757778021
"Week 30, 2018",26500.645601853194,858.7710865433726,0.0,762.6444131706937,48.33717757778021
"Week 31, 2018",26500.645601853194,858.7710865433726,0.0,762.6444131706937,48.33717757778021
"Week 32, 2018",26500.645601853194,858.7710865433726,0.0,762.6444131706937,48.33717757778021
"Week 33, 2018",26500.645601853194,858.7710865433726,0.0,762.6444131706937,48.33717757778021
"Week 34, 2018",26500.645601853194,858.7710865433726,0.0,762.6444131706937,48.33717757778021
"Week 35, 2018",26500.645601853194,858.7710865433726,0.0,762.6444131706937,48.33717757778021
"Week 36, 2018",26500.645601853194,858.7710865433726,0.0,762.6444131706937,48.33717757778021
"Week 37, 2018",26500.645601853194,858.7710865433726,0.0,762.6444131706937,48.33717757778021
"Week 38, 2018",26500.645601853194,858.7710865433726,0.0,762.6444131706937,48.33717757778021
"Week 39, 2018",26500.645601853194,858.7710865433726,0.0,762.6444131706937,48.33717757778021
"Week 40, 2018",26500.645601853194,858.7710865433726,0.0,762.6444131706937,48.33717757778021
"Week 41, 2018",26500.645601853194,858.7710865433726,0.0,762.6444131706937,48.33717757778021
"Week 42, 2018",26500.645601853194,858.7710865433726,0.0,762.6444131706937,48.33717757778021
"Week 43, 2018",26500.645601853194,858.7710865433726,0.0,762.6444131706937,48.33717757778021
"Week 44, 2018",26500.645601853194,858.7710865433726,0.0,762.6444131706937,48.33717757778021
"Week 45, 2018",26500.645601853194,858.7710865433726,0.0,762.6444131706937,48.33717757778021
"Week 46, 2018",26500.645601853194,858.7710865433726,0.0,762.6444131706937,48.33717757778021
"Week 47, 2018",26500.645601853194,858.7710865433726,0.0,762.6444131706937,48.33717757778021
"Week 48, 2018",26500.645601853194,858.7710865433726,0.0,762.6444131706937,48.33717757778021
"Week 49, 2018",26500.645601853194,858.7710865433726,0.0,762.6444131706937,48.33717757778021
"Week 50, 2018",26500.645601853194,858.7710865433726,0.0,762.6444131706937,48.33717757778021
"Week 51, 2018",26500.645601853194,858.7710865433726,0.0,762.6444131706937,48.33717757778021
"Week 52, 2018",26500.645601853194,858.7710865433726,0.0,762.6444131706937,48.33717757778021
"Week 1, 2019",4015.2493336141197,130.1168312944504,0.0,115.55218381374146,7.3238147845121535
