Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",79216.79465201368,7906.666267384366,256.2663623859821,0.0,138.04424786564738
"Week 2, 2018",91670.26910718596,9149.653525565995,296.5533572298542,0.0,159.74583932778827
"Week 3, 2018",91915.22249345192,9174.102440531296,297.345781532406,0.0,160.17269838107075
"Week 4, 2018",91915.22249345192,9174.102440531296,297.345781532406,0.0,160.17269838107075
"Week 5, 2018",91915.22249345192,9174.102440531296,297.345781532406,0.0,160.17269838107075
"Week 6, 2018",91915.22249345192,9174.102440531296,297.345781532406,0.0,160.17269838107075
"Week 7, 2018",93412.66272850885,9323.562668579638,302.1900012917913,0.0,162.78215780038013
"Week 8, 2018",79110.88075522463,7896.094950548488,255.92373088750398,0.0,137.85968088985658
"Week 9, 2018",91670.26910718596,9149.653525565995,296.5533572298542,0.0,159.74583932778827
"Week 10, 2018",91915.22249345192,9174.102440531296,297.345781532406,0.0,160.17269838107075
"Week 11, 2018",91915.22249345192,9174.102440531296,297.345781532406,0.0,160.17269838107075
"Week 12, 2018",91915.22249345192,9174.102440531296,297.345781532406,0.0,160.17269838107075
"Week 13, 2018",91915.22249345192,9174.102440531296,297.345781532406,0.0,160.17269838107075
"Week 14, 2018",91915.22249345192,9174.102440531296,297.345781532406,0.0,160.17269838107075
"Week 15, 2018",91915.22249345192,9174.102440531296,297.345781532406,0.0,160.17269838107075
"Week 16, 2018",91915.22249345192,9174.102440531296,297.345781532406,0.0,160.17269838107075
"Week 17, 2018",93412.66272850885,9323.562668579638,302.1900012917913,0.0,162.78215780038013
"Week 18, 2018",79110.88075522463,7896.094950548488,255.92373088750398,0.0,137.85968088985658
"Week 19, 2018",91670.26910718596,9149.653525565995,296.5533572298542,0.0,159.74583932778827
"Week 20, 2018",91915.22249345192,9174.102440531296,297.345781532406,0.0,160.17269838107075
"Week 21, 2018",91915.22249345192,9174.102440531296,297.345781532406,0.0,160.17269838107075
"Week 22, 2018",91915.22249345192,9174.102440531296,297.345781532406,0.0,160.17269838107075
"Week 23, 2018",91915.22249345192,9174.102440531296,297.345781532406,0.0,160.17269838107075
"Week 24, 2018",91915.22249345192,9174.102440531296,297.345781532406,0.0,160.17269838107075
"Week 25, 2018",91915.22249345192,9174.102440531296,297.345781532406,0.0,160.17269838107075
"Week 26, 2018",91915.22249345192,9174.102440531296,297.345781532406,0.0,160.17269838107075
"Week 27, 2018",93412.66272850885,9323.562668579638,302.1900012917913,0.0,162.78215780038013
"Week 28, 2018",74100.24199504941,7395.980692742943,239.71431249408164,0.0,129.12807464381584
"Week 29, 2018",74206.15589183845,7406.5520095788215,240.05694399255975,0.0,129.31264161960664
"Week 30, 2018",98433.09552249292,9824.654473596962,318.43110338850283,0.0,171.53083126097619
"Week 31, 2018",74689.52554564505,7454.797366554179,241.62064501597195,0.0,130.15496805548338
"Week 32, 2018",74206.15589183845,7406.5520095788215,240.05694399255975,0.0,129.31264161960664
"Week 33, 2018",79216.79465201368,7906.666267384366,256.2663623859821,0.0,138.04424786564738
"Week 34, 2018",91670.26910718596,9149.653525565995,296.5533572298542,0.0,159.74583932778827
"Week 35, 2018",91915.22249345192,9174.102440531296,297.345781532406,0.0,160.17269838107075
"Week 36, 2018",91915.22249345192,9174.102440531296,297.345781532406,0.0,160.17269838107075
"Week 37, 2018",91915.22249345192,9174.102440531296,297.345781532406,0.0,160.17269838107075
"Week 38, 2018",91915.22249345192,9174.102440531296,297.345781532406,0.0,160.17269838107075
"Week 39, 2018",91915.22249345192,9174.102440531296,297.345781532406,0.0,160.17269838107075
"Week 40, 2018",91915.22249345192,9174.102440531296,297.345781532406,0.0,160.17269838107075
"Week 41, 2018",93412.66272850885,9323.562668579638,302.1900012917913,0.0,162.78215780038013
"Week 42, 2018",79110.88075522463,7896.094950548488,255.92373088750398,0.0,137.85968088985658
"Week 43, 2018",91670.26910718596,9149.653525565995,296.5533572298542,0.0,159.74583932778827
"Week 44, 2018",91915.22249345192,9174.102440531296,297.345781532406,0.0,160.17269838107075
"Week 45, 2018",91915.22249345192,9174.102440531296,297.345781532406,0.0,160.17269838107075
"Week 46, 2018",91915.22249345192,9174.102440531296,297.345781532406,0.0,160.17269838107075
"Week 47, 2018",91915.22249345192,9174.102440531296,297.345781532406,0.0,160.17269838107075
"Week 48, 2018",91915.22249345192,9174.102440531296,297.345781532406,0.0,160.17269838107075
"Week 49, 2018",91915.22249345192,9174.102440531296,297.345781532406,0.0,160.17269838107075
"Week 50, 2018",93412.66272850885,9323.562668579638,302.1900012917913,0.0,162.78215780038013
"Week 51, 2018",74100.24199504941,7395.980692742943,239.71431249408164,0.0,129.12807464381584
"Week 52, 2018",74206.15589183845,7406.5520095788215,240.05694399255975,0.0,129.31264161960664
"Week 1, 2019",11742.256400542194,1172.0002430417082,37.98620415265656,0.0,20.462213349820598
