Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",11609520.345390895,909652.3571427582,0.0,58198.52549144455,25587.382841241528
"Week 2, 2018",11609520.345390895,909652.3571427582,0.0,58198.52549144455,25587.382841241528
"Week 3, 2018",11609520.345390895,909652.3571427582,0.0,58198.52549144455,25587.382841241528
"Week 4, 2018",11609520.345390895,909652.3571427582,0.0,58198.52549144455,25587.382841241528
"Week 5, 2018",11609520.345390895,909652.3571427582,0.0,58198.52549144455,25587.382841241528
"Week 6, 2018",11609520.345390895,909652.3571427582,0.0,58198.52549144455,25587.382841241528
"Week 7, 2018",11609520.345390895,909652.3571427582,0.0,58198.52549144455,25587.382841241528
"Week 8, 2018",11609520.345390895,909652.3571427582,0.0,58198.52549144455,25587.382841241528
"Week 9, 2018",11609520.345390895,909652.3571427582,0.0,58198.52549144455,25587.382841241528
"Week 10, 2018",11609520.345390895,909652.3571427582,0.0,58198.52549144455,25587.382841241528
"Week 11, 2018",11609520.345390895,909652.3571427582,0.0,58198.52549144455,25587.382841241528
"Week 12, 2018",11609520.345390895,909652.3571427582,0.0,58198.52549144455,25587.382841241528
"Week 13, 2018",11609520.345390895,909652.3571427582,0.0,58198.52549144455,25587.382841241528
"Week 14, 2018",11609520.345390895,909652.3571427582,0.0,58198.52549144455,25587.382841241528
"Week 15, 2018",11609520.345390895,909652.3571427582,0.0,58198.52549144455,25587.382841241528
"Week 16, 2018",11609520.345390895,909652.3571427582,0.0,58198.52549144455,25587.382841241528
"Week 17, 2018",11609520.345390895,909652.3571427582,0.0,58198.52549144455,25587.382841241528
"Week 18, 2018",11609520.345390895,909652.3571427582,0.0,58198.52549144455,25587.382841241528
"Week 19, 2018",11609520.345390895,909652.3571427582,0.0,58198.52549144455,25587.382841241528
"Week 20, 2018",11609520.345390895,909652.3571427582,0.0,58198.52549144455,25587.382841241528
"Week 21, 2018",11609520.345390895,909652.3571427582,0.0,58198.52549144455,25587.382841241528
"Week 22, 2018",11609520.345390895,909652.3571427582,0.0,58198.52549144455,25587.382841241528
"Week 23, 2018",11609520.345390895,909652.3571427582,0.0,58198.52549144455,25587.382841241528
"Week 24, 2018",11609520.345390895,909652.3571427582,0.0,58198.52549144455,25587.382841241528
"Week 25, 2018",11609520.345390895,909652.3571427582,0.0,58198.52549144455,25587.382841241528
"Week 26, 2018",11609520.345390895,909652.3571427582,0.0,58198.52549144455,25587.382841241528
"Week 27, 2018",11609520.345390895,909652.3571427582,0.0,58198.52549144455,25587.382841241528
"Week 28, 2018",11609520.345390895,909652.3571427582,0.0,58198.52549144455,25587.382841241528
"Week 29, 2018",11609520.345390895,909652.3571427582,0.0,58198.52549144455,25587.382841241528
"Week 30, 2018",11609520.345390895,909652.3571427582,0.0,58198.52549144455,25587.382841241528
"Week 31, 2018",11609520.345390895,909652.3571427582,0.0,58198.52549144455,25587.382841241528
"Week 32, 2018",11609520.345390895,909652.3571427582,0.0,58198.52549144455,25587.382841241528
"Week 33, 2018",11609520.345390895,909652.3571427582,0.0,58198.52549144455,25587.382841241528
"Week 34, 2018",11609520.345390895,909652.3571427582,0.0,58198.52549144455,25587.382841241528
"Week 35, 2018",11609520.345390895,909652.3571427582,0.0,58198.52549144455,25587.382841241528
"Week 36, 2018",11609520.345390895,909652.3571427582,0.0,58198.52549144455,25587.382841241528
"Week 37, 2018",11609520.345390895,909652.3571427582,0.0,58198.52549144455,25587.382841241528
"Week 38, 2018",11609520.345390895,909652.3571427582,0.0,58198.52549144455,25587.382841241528
"Week 39, 2018",11609520.345390895,909652.3571427582,0.0,58198.52549144455,25587.382841241528
"Week 40, 2018",11609520.345390895,909652.3571427582,0.0,58198.52549144455,25587.382841241528
"Week 41, 2018",11609520.345390895,909652.3571427582,0.0,58198.52549144455,25587.382841241528
"Week 42, 2018",11609520.345390895,909652.3571427582,0.0,58198.52549144455,25587.382841241528
"Week 43, 2018",11609520.345390895,909652.3571427582,0.0,58198.52549144455,25587.382841241528
"Week 44, 2018",11609520.345390895,909652.3571427582,0.0,58198.52549144455,25587.382841241528
"Week 45, 2018",11609520.345390895,909652.3571427582,0.0,58198.52549144455,25587.382841241528
"Week 46, 2018",11609520.345390895,909652.3571427582,0.0,58198.52549144455,25587.382841241528
"Week 47, 2018",11609520.345390895,909652.3571427582,0.0,58198.52549144455,25587.382841241528
"Week 48, 2018",11609520.345390895,909652.3571427582,0.0,58198.52549144455,25587.382841241528
"Week 49, 2018",11609520.345390895,909652.3571427582,0.0,58198.52549144455,25587.382841241528
"Week 50, 2018",11609520.345390895,909652.3571427582,0.0,58198.52549144455,25587.382841241528
"Week 51, 2018",11609520.345390895,909652.3571427582,0.0,58198.52549144455,25587.382841241528
"Week 52, 2018",11609520.345390895,909652.3571427582,0.0,58198.52549144455,25587.382841241528
"Week 1, 2019",1658502.9064844134,129950.33673467975,0.0,8314.075070206365,3655.3404058916467
