Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",15116069.351122217,891958.9436225663,0.0,196458.51438609674,37911.101932614525
"Week 2, 2018",15116069.351122217,891958.9436225663,0.0,196458.51438609674,37911.101932614525
"Week 3, 2018",15116069.351122217,891958.9436225663,0.0,196458.51438609674,37911.101932614525
"Week 4, 2018",15116069.351122217,891958.9436225663,0.0,196458.51438609674,37911.101932614525
"Week 5, 2018",15116069.351122217,891958.9436225663,0.0,196458.51438609674,37911.101932614525
"Week 6, 2018",15116069.351122217,891958.9436225663,0.0,196458.51438609674,37911.101932614525
"Week 7, 2018",15116069.351122217,891958.9436225663,0.0,196458.51438609674,37911.101932614525
"Week 8, 2018",15116069.351122217,891958.9436225663,0.0,196458.51438609674,37911.101932614525
"Week 9, 2018",15116069.351122217,891958.9436225663,0.0,196458.51438609674,37911.101932614525
"Week 10, 2018",15116069.351122217,891958.9436225663,0.0,196458.51438609674,37911.101932614525
"Week 11, 2018",15116069.351122217,891958.9436225663,0.0,196458.51438609674,37911.101932614525
"Week 12, 2018",15116069.351122217,891958.9436225663,0.0,196458.51438609674,37911.101932614525
"Week 13, 2018",15116069.351122217,891958.9436225663,0.0,196458.51438609674,37911.101932614525
"Week 14, 2018",15116069.351122217,891958.9436225663,0.0,196458.51438609674,37911.101932614525
"Week 15, 2018",15116069.351122217,891958.9436225663,0.0,196458.51438609674,37911.101932614525
"Week 16, 2018",15116069.351122217,891958.9436225663,0.0,196458.51438609674,37911.101932614525
"Week 17, 2018",15116069.351122217,891958.9436225663,0.0,196458.51438609674,37911.101932614525
"Week 18, 2018",15116069.351122217,891958.9436225663,0.0,196458.51438609674,37911.101932614525
"Week 19, 2018",15116069.351122217,891958.9436225663,0.0,196458.51438609674,37911.101932614525
"Week 20, 2018",15116069.351122217,891958.9436225663,0.0,196458.51438609674,37911.101932614525
"Week 21, 2018",15116069.351122217,891958.9436225663,0.0,196458.51438609674,37911.101932614525
"Week 22, 2018",15116069.351122217,891958.9436225663,0.0,196458.51438609674,37911.101932614525
"Week 23, 2018",15116069.351122217,891958.9436225663,0.0,196458.51438609674,37911.101932614525
"Week 24, 2018",15116069.351122217,891958.9436225663,0.0,196458.51438609674,37911.101932614525
"Week 25, 2018",15116069.351122217,891958.9436225663,0.0,196458.51438609674,37911.101932614525
"Week 26, 2018",15116069.351122217,891958.9436225663,0.0,196458.51438609674,37911.101932614525
"Week 27, 2018",15116069.351122217,891958.9436225663,0.0,196458.51438609674,37911.101932614525
"Week 28, 2018",15116069.351122217,891958.9436225663,0.0,196458.51438609674,37911.101932614525
"Week 29, 2018",15116069.351122217,891958.9436225663,0.0,196458.51438609674,37911.101932614525
"Week 30, 2018",15116069.351122217,891958.9436225663,0.0,196458.51438609674,37911.101932614525
"Week 31, 2018",15116069.351122217,891958.9436225663,0.0,196458.51438609674,37911.101932614525
"Week 32, 2018",15116069.351122217,891958.9436225663,0.0,196458.51438609674,37911.101932614525
"Week 33, 2018",15116069.351122217,891958.9436225663,0.0,196458.51438609674,37911.101932614525
"Week 34, 2018",15116069.351122217,891958.9436225663,0.0,196458.51438609674,37911.101932614525
"Week 35, 2018",15116069.351122217,891958.9436225663,0.0,196458.51438609674,37911.101932614525
"Week 36, 2018",15116069.351122217,891958.9436225663,0.0,196458.51438609674,37911.101932614525
"Week 37, 2018",15116069.351122217,891958.9436225663,0.0,196458.51438609674,37911.101932614525
"Week 38, 2018",15116069.351122217,891958.9436225663,0.0,196458.51438609674,37911.101932614525
"Week 39, 2018",15116069.351122217,891958.9436225663,0.0,196458.51438609674,37911.101932614525
"Week 40, 2018",15116069.351122217,891958.9436225663,0.0,196458.51438609674,37911.101932614525
"Week 41, 2018",15116069.351122217,891958.9436225663,0.0,196458.51438609674,37911.101932614525
"Week 42, 2018",15116069.351122217,891958.9436225663,0.0,196458.51438609674,37911.101932614525
"Week 43, 2018",15116069.351122217,891958.9436225663,0.0,196458.51438609674,37911.101932614525
"Week 44, 2018",15116069.351122217,891958.9436225663,0.0,196458.51438609674,37911.101932614525
"Week 45, 2018",15116069.351122217,891958.9436225663,0.0,196458.51438609674,37911.101932614525
"Week 46, 2018",15116069.351122217,891958.9436225663,0.0,196458.51438609674,37911.101932614525
"Week 47, 2018",15116069.351122217,891958.9436225663,0.0,196458.51438609674,37911.101932614525
"Week 48, 2018",15116069.351122217,891958.9436225663,0.0,196458.51438609674,37911.101932614525
"Week 49, 2018",15116069.351122217,891958.9436225663,0.0,196458.51438609674,37911.101932614525
"Week 50, 2018",15116069.351122217,891958.9436225663,0.0,196458.51438609674,37911.101932614525
"Week 51, 2018",15116069.351122217,891958.9436225663,0.0,196458.51438609674,37911.101932614525
"Week 52, 2018",15116069.351122217,891958.9436225663,0.0,196458.51438609674,37911.101932614525
"Week 1, 2019",2290313.5380488206,135145.29448826762,0.0,29766.44157365102,5744.106353426443
