Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",13023.768000000002,4269.732401527657,78.28941918667043,1166.5831317073248,61.864591089840005
"Week 2, 2018",14048.528,4605.691317241565,84.4495308537189,1258.374365246528,66.73233430864
"Week 3, 2018",14048.528,4605.691317241565,84.4495308537189,1258.374365246528,66.73233430864
"Week 4, 2018",14048.528,4605.691317241565,84.4495308537189,1258.374365246528,66.73233430864
"Week 5, 2018",14048.528,4605.691317241565,84.4495308537189,1258.374365246528,66.73233430864
"Week 6, 2018",14048.528,4605.691317241565,84.4495308537189,1258.374365246528,66.73233430864
"Week 7, 2018",14048.528,4605.691317241565,84.4495308537189,1258.374365246528,66.73233430864
"Week 8, 2018",13023.768000000002,4269.732401527657,78.28941918667043,1166.5831317073248,61.864591089840005
"Week 9, 2018",14048.528,4605.691317241565,84.4495308537189,1258.374365246528,66.73233430864
"Week 10, 2018",14048.528,4605.691317241565,84.4495308537189,1258.374365246528,66.73233430864
"Week 11, 2018",14048.528,4605.691317241565,84.4495308537189,1258.374365246528,66.73233430864
"Week 12, 2018",14048.528,4605.691317241565,84.4495308537189,1258.374365246528,66.73233430864
"Week 13, 2018",14048.528,4605.691317241565,84.4495308537189,1258.374365246528,66.73233430864
"Week 14, 2018",14048.528,4605.691317241565,84.4495308537189,1258.374365246528,66.73233430864
"Week 15, 2018",14048.528,4605.691317241565,84.4495308537189,1258.374365246528,66.73233430864
"Week 16, 2018",14048.528,4605.691317241565,84.4495308537189,1258.374365246528,66.73233430864
"Week 17, 2018",14048.528,4605.691317241565,84.4495308537189,1258.374365246528,66.73233430864
"Week 18, 2018",13023.768000000002,4269.732401527657,78.28941918667043,1166.5831317073248,61.864591089840005
"Week 19, 2018",14048.528,4605.691317241565,84.4495308537189,1258.374365246528,66.73233430864
"Week 20, 2018",14048.528,4605.691317241565,84.4495308537189,1258.374365246528,66.73233430864
"Week 21, 2018",14048.528,4605.691317241565,84.4495308537189,1258.374365246528,66.73233430864
"Week 22, 2018",14048.528,4605.691317241565,84.4495308537189,1258.374365246528,66.73233430864
"Week 23, 2018",14048.528,4605.691317241565,84.4495308537189,1258.374365246528,66.73233430864
"Week 24, 2018",14048.528,4605.691317241565,84.4495308537189,1258.374365246528,66.73233430864
"Week 25, 2018",14048.528,4605.691317241565,84.4495308537189,1258.374365246528,66.73233430864
"Week 26, 2018",14048.528,4605.691317241565,84.4495308537189,1258.374365246528,66.73233430864
"Week 27, 2018",14048.528,4605.691317241565,84.4495308537189,1258.374365246528,66.73233430864
"Week 28, 2018",13023.768000000002,4269.732401527657,78.28941918667043,1166.5831317073248,61.864591089840005
"Week 29, 2018",13023.768000000002,4269.732401527657,78.28941918667043,1166.5831317073248,61.864591089840005
"Week 30, 2018",13023.768000000002,4269.732401527657,78.28941918667043,1166.5831317073248,61.864591089840005
"Week 31, 2018",13023.768000000002,4269.732401527657,78.28941918667043,1166.5831317073248,61.864591089840005
"Week 32, 2018",13023.768000000002,4269.732401527657,78.28941918667043,1166.5831317073248,61.864591089840005
"Week 33, 2018",13023.768000000002,4269.732401527657,78.28941918667043,1166.5831317073248,61.864591089840005
"Week 34, 2018",14048.528,4605.691317241565,84.4495308537189,1258.374365246528,66.73233430864
"Week 35, 2018",14048.528,4605.691317241565,84.4495308537189,1258.374365246528,66.73233430864
"Week 36, 2018",14048.528,4605.691317241565,84.4495308537189,1258.374365246528,66.73233430864
"Week 37, 2018",14048.528,4605.691317241565,84.4495308537189,1258.374365246528,66.73233430864
"Week 38, 2018",14048.528,4605.691317241565,84.4495308537189,1258.374365246528,66.73233430864
"Week 39, 2018",14048.528,4605.691317241565,84.4495308537189,1258.374365246528,66.73233430864
"Week 40, 2018",14048.528,4605.691317241565,84.4495308537189,1258.374365246528,66.73233430864
"Week 41, 2018",14048.528,4605.691317241565,84.4495308537189,1258.374365246528,66.73233430864
"Week 42, 2018",13023.768000000002,4269.732401527657,78.28941918667043,1166.5831317073248,61.864591089840005
"Week 43, 2018",14048.528,4605.691317241565,84.4495308537189,1258.374365246528,66.73233430864
"Week 44, 2018",14048.528,4605.691317241565,84.4495308537189,1258.374365246528,66.73233430864
"Week 45, 2018",14048.528,4605.691317241565,84.4495308537189,1258.374365246528,66.73233430864
"Week 46, 2018",14048.528,4605.691317241565,84.4495308537189,1258.374365246528,66.73233430864
"Week 47, 2018",14048.528,4605.691317241565,84.4495308537189,1258.374365246528,66.73233430864
"Week 48, 2018",14048.528,4605.691317241565,84.4495308537189,1258.374365246528,66.73233430864
"Week 49, 2018",14048.528,4605.691317241565,84.4495308537189,1258.374365246528,66.73233430864
"Week 50, 2018",14048.528,4605.691317241565,84.4495308537189,1258.374365246528,66.73233430864
"Week 51, 2018",13023.768000000002,4269.732401527657,78.28941918667043,1166.5831317073248,61.864591089840005
"Week 52, 2018",13023.768000000002,4269.732401527657,78.28941918667043,1166.5831317073248,61.864591089840005
"Week 1, 2019",1919.0960000000002,629.1594239733172,11.536209121927115,171.89994644614373,9.11595548248
