Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",2112579.806283646,66753.65714260002,70558.07308443185,20184.580690390812,1257.9567714496598
"Week 2, 2018",2426493.432406016,76672.75345708476,81042.47727510949,23183.859059630995,1444.8797792604864
"Week 3, 2018",2432884.025756016,76874.68451604633,81255.91676331297,23244.917793009434,1448.6851219766775
"Week 4, 2018",2432884.025756016,76874.68451604633,81255.91676331297,23244.917793009434,1448.6851219766775
"Week 5, 2018",2432884.025756016,76874.68451604633,81255.91676331297,23244.917793009434,1448.6851219766775
"Week 6, 2018",2432884.025756016,76874.68451604633,81255.91676331297,23244.917793009434,1448.6851219766775
"Week 7, 2018",2475834.7583639296,78231.84909274266,82690.42869103522,23655.28928546487,1474.2605652153854
"Week 8, 2018",2110350.5295336456,66683.2160755204,70483.61744901203,20163.28113223554,1256.6293263161047
"Week 9, 2018",2426493.432406016,76672.75345708476,81042.47727510949,23183.859059630995,1444.8797792604864
"Week 10, 2018",2432884.025756016,76874.68451604633,81255.91676331297,23244.917793009434,1448.6851219766775
"Week 11, 2018",2432884.025756016,76874.68451604633,81255.91676331297,23244.917793009434,1448.6851219766775
"Week 12, 2018",2432884.025756016,76874.68451604633,81255.91676331297,23244.917793009434,1448.6851219766775
"Week 13, 2018",2432884.025756016,76874.68451604633,81255.91676331297,23244.917793009434,1448.6851219766775
"Week 14, 2018",2432884.025756016,76874.68451604633,81255.91676331297,23244.917793009434,1448.6851219766775
"Week 15, 2018",2432884.025756016,76874.68451604633,81255.91676331297,23244.917793009434,1448.6851219766775
"Week 16, 2018",2432884.025756016,76874.68451604633,81255.91676331297,23244.917793009434,1448.6851219766775
"Week 17, 2018",2475834.7583639296,78231.84909274266,82690.42869103522,23655.28928546487,1474.2605652153854
"Week 18, 2018",2110350.5295336456,66683.2160755204,70483.61744901203,20163.28113223554,1256.6293263161047
"Week 19, 2018",2426493.432406016,76672.75345708476,81042.47727510949,23183.859059630995,1444.8797792604864
"Week 20, 2018",2432884.025756016,76874.68451604633,81255.91676331297,23244.917793009434,1448.6851219766775
"Week 21, 2018",2432884.025756016,76874.68451604633,81255.91676331297,23244.917793009434,1448.6851219766775
"Week 22, 2018",2432884.025756016,76874.68451604633,81255.91676331297,23244.917793009434,1448.6851219766775
"Week 23, 2018",2432884.025756016,76874.68451604633,81255.91676331297,23244.917793009434,1448.6851219766775
"Week 24, 2018",2432884.025756016,76874.68451604633,81255.91676331297,23244.917793009434,1448.6851219766775
"Week 25, 2018",2432884.025756016,76874.68451604633,81255.91676331297,23244.917793009434,1448.6851219766775
"Week 26, 2018",2432884.025756016,76874.68451604633,81255.91676331297,23244.917793009434,1448.6851219766775
"Week 27, 2018",2475834.7583639296,78231.84909274266,82690.42869103522,23655.28928546487,1474.2605652153854
"Week 28, 2018",1964952.1454990075,62088.893130622775,65627.45543489077,18774.07661268541,1170.050404558839
"Week 29, 2018",1967181.4222490075,62159.334197702396,65701.9110703106,18795.37617084068,1171.3778496923942
"Week 30, 2018",2672128.2705499935,84434.36498010032,89246.43757535216,25530.76978751974,1591.1454999816992
"Week 31, 2018",1983529.4517490077,62675.90202295291,66247.91906338926,18951.572930645994,1181.112447338464
"Week 32, 2018",1967181.4222490075,62159.334197702396,65701.9110703106,18795.37617084068,1171.3778496923942
"Week 33, 2018",2112579.806283646,66753.65714260002,70558.07308443185,20184.580690390812,1257.9567714496598
"Week 34, 2018",2426493.432406016,76672.75345708476,81042.47727510949,23183.859059630995,1444.8797792604864
"Week 35, 2018",2432884.025756016,76874.68451604633,81255.91676331297,23244.917793009434,1448.6851219766775
"Week 36, 2018",2432884.025756016,76874.68451604633,81255.91676331297,23244.917793009434,1448.6851219766775
"Week 37, 2018",2432884.025756016,76874.68451604633,81255.91676331297,23244.917793009434,1448.6851219766775
"Week 38, 2018",2432884.025756016,76874.68451604633,81255.91676331297,23244.917793009434,1448.6851219766775
"Week 39, 2018",2432884.025756016,76874.68451604633,81255.91676331297,23244.917793009434,1448.6851219766775
"Week 40, 2018",2432884.025756016,76874.68451604633,81255.91676331297,23244.917793009434,1448.6851219766775
"Week 41, 2018",2475834.7583639296,78231.84909274266,82690.42869103522,23655.28928546487,1474.2605652153854
"Week 42, 2018",2110350.5295336456,66683.2160755204,70483.61744901203,20163.28113223554,1256.6293263161047
"Week 43, 2018",2426493.432406016,76672.75345708476,81042.47727510949,23183.859059630995,1444.8797792604864
"Week 44, 2018",2432884.025756016,76874.68451604633,81255.91676331297,23244.917793009434,1448.6851219766775
"Week 45, 2018",2432884.025756016,76874.68451604633,81255.91676331297,23244.917793009434,1448.6851219766775
"Week 46, 2018",2432884.025756016,76874.68451604633,81255.91676331297,23244.917793009434,1448.6851219766775
"Week 47, 2018",2432884.025756016,76874.68451604633,81255.91676331297,23244.917793009434,1448.6851219766775
"Week 48, 2018",2432884.025756016,76874.68451604633,81255.91676331297,23244.917793009434,1448.6851219766775
"Week 49, 2018",2432884.025756016,76874.68451604633,81255.91676331297,23244.917793009434,1448.6851219766775
"Week 50, 2018",2475834.7583639296,78231.84909274266,82690.42869103522,23655.28928546487,1474.2605652153854
"Week 51, 2018",1964952.1454990075,62088.893130622775,65627.45543489077,18774.07661268541,1170.050404558839
"Week 52, 2018",1967181.4222490075,62159.334197702396,65701.9110703106,18795.37617084068,1171.3778496923942
"Week 1, 2019",304658.22994924965,9626.642727159086,10175.283125681182,2910.8479628137748,181.41178960558025
