Week number,Kilometers,electricity consumption kWh,gasoline consumption litres,diesel consumption litres,hydrogen consumption kg,LPG consumption litres,CNG consumption kg
"Week 1, 2018",343.2,49.798320000000004,22.273680000000002,19.11624,2.60832,31.5744,15.821520000000001
"Week 2, 2018",343.2,49.798320000000004,22.273680000000002,19.11624,2.60832,31.5744,15.821520000000001
"Week 3, 2018",343.2,49.798320000000004,22.273680000000002,19.11624,2.60832,31.5744,15.821520000000001
"Week 4, 2018",343.2,49.798320000000004,22.273680000000002,19.11624,2.60832,31.5744,15.821520000000001
"Week 5, 2018",343.2,49.798320000000004,22.273680000000002,19.11624,2.60832,31.5744,15.821520000000001
"Week 6, 2018",343.2,49.798320000000004,22.273680000000002,19.11624,2.60832,31.5744,15.821520000000001
"Week 7, 2018",343.2,49.798320000000004,22.273680000000002,19.11624,2.60832,31.5744,15.821520000000001
"Week 8, 2018",343.2,49.798320000000004,22.273680000000002,19.11624,2.60832,31.5744,15.821520000000001
"Week 9, 2018",343.2,49.798320000000004,22.273680000000002,19.11624,2.60832,31.5744,15.821520000000001
"Week 10, 2018",343.2,49.798320000000004,22.273680000000002,19.11624,2.60832,31.5744,15.821520000000001
"Week 11, 2018",343.2,49.798320000000004,22.273680000000002,19.11624,2.60832,31.5744,15.821520000000001
"Week 12, 2018",343.2,49.798320000000004,22.273680000000002,19.11624,2.60832,31.5744,15.821520000000001
"Week 13, 2018",343.2,49.798320000000004,22.273680000000002,19.11624,2.60832,31.5744,15.821520000000001
"Week 14, 2018",343.2,49.798320000000004,22.273680000000002,19.11624,2.60832,31.5744,15.821520000000001
"Week 15, 2018",343.2,49.798320000000004,22.273680000000002,19.11624,2.60832,31.5744,15.821520000000001
"Week 16, 2018",343.2,49.798320000000004,22.273680000000002,19.11624,2.60832,31.5744,15.821520000000001
"Week 17, 2018",343.2,49.798320000000004,22.273680000000002,19.11624,2.60832,31.5744,15.821520000000001
"Week 18, 2018",343.2,49.798320000000004,22.273680000000002,19.11624,2.60832,31.5744,15.821520000000001
"Week 19, 2018",343.2,49.798320000000004,22.273680000000002,19.11624,2.60832,31.5744,15.821520000000001
"Week 20, 2018",343.2,49.798320000000004,22.273680000000002,19.11624,2.60832,31.5744,15.821520000000001
"Week 21, 2018",343.2,49.798320000000004,22.273680000000002,19.11624,2.60832,31.5744,15.821520000000001
"Week 22, 2018",343.2,49.798320000000004,22.273680000000002,19.11624,2.60832,31.5744,15.821520000000001
"Week 23, 2018",343.2,49.798320000000004,22.273680000000002,19.11624,2.60832,31.5744,15.821520000000001
"Week 24, 2018",343.2,49.798320000000004,22.273680000000002,19.11624,2.60832,31.5744,15.821520000000001
"Week 25, 2018",343.2,49.798320000000004,22.273680000000002,19.11624,2.60832,31.5744,15.821520000000001
"Week 26, 2018",343.2,49.798320000000004,22.273680000000002,19.11624,2.60832,31.5744,15.821520000000001
"Week 27, 2018",343.2,49.798320000000004,22.273680000000002,19.11624,2.60832,31.5744,15.821520000000001
"Week 28, 2018",343.2,49.798320000000004,22.273680000000002,19.11624,2.60832,31.5744,15.821520000000001
"Week 29, 2018",343.2,49.798320000000004,22.273680000000002,19.11624,2.60832,31.5744,15.821520000000001
"Week 30, 2018",343.2,49.798320000000004,22.273680000000002,19.11624,2.60832,31.5744,15.821520000000001
"Week 31, 2018",343.2,49.798320000000004,22.273680000000002,19.11624,2.60832,31.5744,15.821520000000001
"Week 32, 2018",343.2,49.798320000000004,22.273680000000002,19.11624,2.60832,31.5744,15.821520000000001
"Week 33, 2018",343.2,49.798320000000004,22.273680000000002,19.11624,2.60832,31.5744,15.821520000000001
"Week 34, 2018",343.2,49.798320000000004,22.273680000000002,19.11624,2.60832,31.5744,15.821520000000001
"Week 35, 2018",343.2,49.798320000000004,22.273680000000002,19.11624,2.60832,31.5744,15.821520000000001
"Week 36, 2018",343.2,49.798320000000004,22.273680000000002,19.11624,2.60832,31.5744,15.821520000000001
"Week 37, 2018",343.2,49.798320000000004,22.273680000000002,19.11624,2.60832,31.5744,15.821520000000001
"Week 38, 2018",343.2,49.798320000000004,22.273680000000002,19.11624,2.60832,31.5744,15.821520000000001
"Week 39, 2018",343.2,49.798320000000004,22.273680000000002,19.11624,2.60832,31.5744,15.821520000000001
"Week 40, 2018",343.2,49.798320000000004,22.273680000000002,19.11624,2.60832,31.5744,15.821520000000001
"Week 41, 2018",343.2,49.798320000000004,22.273680000000002,19.11624,2.60832,31.5744,15.821520000000001
"Week 42, 2018",343.2,49.798320000000004,22.273680000000002,19.11624,2.60832,31.5744,15.821520000000001
"Week 43, 2018",343.2,49.798320000000004,22.273680000000002,19.11624,2.60832,31.5744,15.821520000000001
"Week 44, 2018",343.2,49.798320000000004,22.273680000000002,19.11624,2.60832,31.5744,15.821520000000001
"Week 45, 2018",343.2,49.798320000000004,22.273680000000002,19.11624,2.60832,31.5744,15.821520000000001
"Week 46, 2018",343.2,49.798320000000004,22.273680000000002,19.11624,2.60832,31.5744,15.821520000000001
"Week 47, 2018",343.2,49.798320000000004,22.273680000000002,19.11624,2.60832,31.5744,15.821520000000001
"Week 48, 2018",343.2,49.798320000000004,22.273680000000002,19.11624,2.60832,31.5744,15.821520000000001
