Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",155473.668,1466.3498997420002,141.658639757577,6459.625482634224,177.23998152
"Week 2, 2018",155473.668,1466.3498997420002,141.658639757577,6459.625482634224,177.23998152
"Week 3, 2018",155473.668,1466.3498997420002,141.658639757577,6459.625482634224,177.23998152
"Week 4, 2018",155473.668,1466.3498997420002,141.658639757577,6459.625482634224,177.23998152
"Week 5, 2018",155473.668,1466.3498997420002,141.658639757577,6459.625482634224,177.23998152
"Week 6, 2018",155473.668,1466.3498997420002,141.658639757577,6459.625482634224,177.23998152
"Week 7, 2018",155473.668,1466.3498997420002,141.658639757577,6459.625482634224,177.23998152
"Week 8, 2018",155473.668,1466.3498997420002,141.658639757577,6459.625482634224,177.23998152
"Week 9, 2018",155473.668,1466.3498997420002,141.658639757577,6459.625482634224,177.23998152
"Week 10, 2018",155473.668,1466.3498997420002,141.658639757577,6459.625482634224,177.23998152
"Week 11, 2018",155473.668,1466.3498997420002,141.658639757577,6459.625482634224,177.23998152
"Week 12, 2018",155473.668,1466.3498997420002,141.658639757577,6459.625482634224,177.23998152
"Week 13, 2018",155473.668,1466.3498997420002,141.658639757577,6459.625482634224,177.23998152
"Week 14, 2018",155473.668,1466.3498997420002,141.658639757577,6459.625482634224,177.23998152
"Week 15, 2018",155473.668,1466.3498997420002,141.658639757577,6459.625482634224,177.23998152
"Week 16, 2018",155473.668,1466.3498997420002,141.658639757577,6459.625482634224,177.23998152
"Week 17, 2018",155473.668,1466.3498997420002,141.658639757577,6459.625482634224,177.23998152
"Week 18, 2018",155473.668,1466.3498997420002,141.658639757577,6459.625482634224,177.23998152
"Week 19, 2018",155473.668,1466.3498997420002,141.658639757577,6459.625482634224,177.23998152
"Week 20, 2018",155473.668,1466.3498997420002,141.658639757577,6459.625482634224,177.23998152
"Week 21, 2018",155473.668,1466.3498997420002,141.658639757577,6459.625482634224,177.23998152
"Week 22, 2018",155473.668,1466.3498997420002,141.658639757577,6459.625482634224,177.23998152
"Week 23, 2018",155473.668,1466.3498997420002,141.658639757577,6459.625482634224,177.23998152
"Week 24, 2018",155473.668,1466.3498997420002,141.658639757577,6459.625482634224,177.23998152
"Week 25, 2018",155473.668,1466.3498997420002,141.658639757577,6459.625482634224,177.23998152
"Week 26, 2018",155473.668,1466.3498997420002,141.658639757577,6459.625482634224,177.23998152
"Week 27, 2018",155473.668,1466.3498997420002,141.658639757577,6459.625482634224,177.23998152
"Week 28, 2018",155473.668,1466.3498997420002,141.658639757577,6459.625482634224,177.23998152
"Week 29, 2018",155473.668,1466.3498997420002,141.658639757577,6459.625482634224,177.23998152
"Week 30, 2018",155473.668,1466.3498997420002,141.658639757577,6459.625482634224,177.23998152
"Week 31, 2018",155473.668,1466.3498997420002,141.658639757577,6459.625482634224,177.23998152
"Week 32, 2018",155473.668,1466.3498997420002,141.658639757577,6459.625482634224,177.23998152
"Week 33, 2018",155473.668,1466.3498997420002,141.658639757577,6459.625482634224,177.23998152
"Week 34, 2018",155473.668,1466.3498997420002,141.658639757577,6459.625482634224,177.23998152
"Week 35, 2018",155473.668,1466.3498997420002,141.658639757577,6459.625482634224,177.23998152
"Week 36, 2018",155473.668,1466.3498997420002,141.658639757577,6459.625482634224,177.23998152
"Week 37, 2018",155473.668,1466.3498997420002,141.658639757577,6459.625482634224,177.23998152
"Week 38, 2018",155473.668,1466.3498997420002,141.658639757577,6459.625482634224,177.23998152
"Week 39, 2018",155473.668,1466.3498997420002,141.658639757577,6459.625482634224,177.23998152
"Week 40, 2018",155473.668,1466.3498997420002,141.658639757577,6459.625482634224,177.23998152
"Week 41, 2018",155473.668,1466.3498997420002,141.658639757577,6459.625482634224,177.23998152
"Week 42, 2018",155473.668,1466.3498997420002,141.658639757577,6459.625482634224,177.23998152
"Week 43, 2018",155473.668,1466.3498997420002,141.658639757577,6459.625482634224,177.23998152
"Week 44, 2018",155473.668,1466.3498997420002,141.658639757577,6459.625482634224,177.23998152
"Week 45, 2018",155473.668,1466.3498997420002,141.658639757577,6459.625482634224,177.23998152
"Week 46, 2018",155473.668,1466.3498997420002,141.658639757577,6459.625482634224,177.23998152
"Week 47, 2018",155473.668,1466.3498997420002,141.658639757577,6459.625482634224,177.23998152
"Week 48, 2018",155473.668,1466.3498997420002,141.658639757577,6459.625482634224,177.23998152
"Week 49, 2018",155473.668,1466.3498997420002,141.658639757577,6459.625482634224,177.23998152
"Week 50, 2018",155473.668,1466.3498997420002,141.658639757577,6459.625482634224,177.23998152
"Week 51, 2018",155473.668,1466.3498997420002,141.658639757577,6459.625482634224,177.23998152
"Week 52, 2018",155473.668,1466.3498997420002,141.658639757577,6459.625482634224,177.23998152
"Week 1, 2019",22210.524,209.47855710600004,20.236948536796714,922.8036403763177,25.31999736
