Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",157255.73867088492,46610.60094205029,0.0,10091.72977346537,1439.5190317932806
"Week 2, 2018",169629.22311561057,50278.10173146697,0.0,10885.785764221193,1552.7859084002994
"Week 3, 2018",169629.22311561057,50278.10173146697,0.0,10885.785764221193,1552.7859084002994
"Week 4, 2018",169629.22311561057,50278.10173146697,0.0,10885.785764221193,1552.7859084002994
"Week 5, 2018",169629.22311561057,50278.10173146697,0.0,10885.785764221193,1552.7859084002994
"Week 6, 2018",169629.22311561057,50278.10173146697,0.0,10885.785764221193,1552.7859084002994
"Week 7, 2018",169629.22311561057,50278.10173146697,0.0,10885.785764221193,1552.7859084002994
"Week 8, 2018",157255.73867088492,46610.60094205029,0.0,10091.72977346537,1439.5190317932806
"Week 9, 2018",169629.22311561057,50278.10173146697,0.0,10885.785764221193,1552.7859084002994
"Week 10, 2018",169629.22311561057,50278.10173146697,0.0,10885.785764221193,1552.7859084002994
"Week 11, 2018",169629.22311561057,50278.10173146697,0.0,10885.785764221193,1552.7859084002994
"Week 12, 2018",169629.22311561057,50278.10173146697,0.0,10885.785764221193,1552.7859084002994
"Week 13, 2018",169629.22311561057,50278.10173146697,0.0,10885.785764221193,1552.7859084002994
"Week 14, 2018",169629.22311561057,50278.10173146697,0.0,10885.785764221193,1552.7859084002994
"Week 15, 2018",169629.22311561057,50278.10173146697,0.0,10885.785764221193,1552.7859084002994
"Week 16, 2018",169629.22311561057,50278.10173146697,0.0,10885.785764221193,1552.7859084002994
"Week 17, 2018",169629.22311561057,50278.10173146697,0.0,10885.785764221193,1552.7859084002994
"Week 18, 2018",157255.73867088492,46610.60094205029,0.0,10091.72977346537,1439.5190317932806
"Week 19, 2018",169629.22311561057,50278.10173146697,0.0,10885.785764221193,1552.7859084002994
"Week 20, 2018",169629.22311561057,50278.10173146697,0.0,10885.785764221193,1552.7859084002994
"Week 21, 2018",169629.22311561057,50278.10173146697,0.0,10885.785764221193,1552.7859084002994
"Week 22, 2018",169629.22311561057,50278.10173146697,0.0,10885.785764221193,1552.7859084002994
"Week 23, 2018",169629.22311561057,50278.10173146697,0.0,10885.785764221193,1552.7859084002994
"Week 24, 2018",169629.22311561057,50278.10173146697,0.0,10885.785764221193,1552.7859084002994
"Week 25, 2018",169629.22311561057,50278.10173146697,0.0,10885.785764221193,1552.7859084002994
"Week 26, 2018",169629.22311561057,50278.10173146697,0.0,10885.785764221193,1552.7859084002994
"Week 27, 2018",169629.22311561057,50278.10173146697,0.0,10885.785764221193,1552.7859084002994
"Week 28, 2018",157255.73867088492,46610.60094205029,0.0,10091.72977346537,1439.5190317932806
"Week 29, 2018",157255.73867088492,46610.60094205029,0.0,10091.72977346537,1439.5190317932806
"Week 30, 2018",157255.73867088492,46610.60094205029,0.0,10091.72977346537,1439.5190317932806
"Week 31, 2018",157255.73867088492,46610.60094205029,0.0,10091.72977346537,1439.5190317932806
"Week 32, 2018",157255.73867088492,46610.60094205029,0.0,10091.72977346537,1439.5190317932806
"Week 33, 2018",157255.73867088492,46610.60094205029,0.0,10091.72977346537,1439.5190317932806
"Week 34, 2018",169629.22311561057,50278.10173146697,0.0,10885.785764221193,1552.7859084002994
"Week 35, 2018",169629.22311561057,50278.10173146697,0.0,10885.785764221193,1552.7859084002994
"Week 36, 2018",169629.22311561057,50278.10173146697,0.0,10885.785764221193,1552.7859084002994
"Week 37, 2018",169629.22311561057,50278.10173146697,0.0,10885.785764221193,1552.7859084002994
"Week 38, 2018",169629.22311561057,50278.10173146697,0.0,10885.785764221193,1552.7859084002994
"Week 39, 2018",169629.22311561057,50278.10173146697,0.0,10885.785764221193,1552.7859084002994
"Week 40, 2018",169629.22311561057,50278.10173146697,0.0,10885.785764221193,1552.7859084002994
"Week 41, 2018",169629.22311561057,50278.10173146697,0.0,10885.785764221193,1552.7859084002994
"Week 42, 2018",157255.73867088492,46610.60094205029,0.0,10091.72977346537,1439.5190317932806
"Week 43, 2018",169629.22311561057,50278.10173146697,0.0,10885.785764221193,1552.7859084002994
"Week 44, 2018",169629.22311561057,50278.10173146697,0.0,10885.785764221193,1552.7859084002994
"Week 45, 2018",169629.22311561057,50278.10173146697,0.0,10885.785764221193,1552.7859084002994
"Week 46, 2018",169629.22311561057,50278.10173146697,0.0,10885.785764221193,1552.7859084002994
"Week 47, 2018",169629.22311561057,50278.10173146697,0.0,10885.785764221193,1552.7859084002994
"Week 48, 2018",169629.22311561057,50278.10173146697,0.0,10885.785764221193,1552.7859084002994
"Week 49, 2018",169629.22311561057,50278.10173146697,0.0,10885.785764221193,1552.7859084002994
"Week 50, 2018",169629.22311561057,50278.10173146697,0.0,10885.785764221193,1552.7859084002994
"Week 51, 2018",157255.73867088492,46610.60094205029,0.0,10091.72977346537,1439.5190317932806
"Week 52, 2018",157255.73867088492,46610.60094205029,0.0,10091.72977346537,1439.5190317932806
"Week 1, 2019",23172.161778396454,6868.22875111671,0.0,1487.0503099668142,212.11796891944115
