Week number,Kilometers,electricity consumption kWh,gasoline consumption litres,diesel consumption litres,hydrogen consumption kg,LPG consumption litres,CNG consumption kg
"Week 1, 2018",238.68416503560456,38.262295866289875,17.11387326774802,14.687869751697923,2.0040898714624356,24.260036115237632,12.156387645487785
"Week 2, 2018",276.2691357803762,44.28735944999172,19.80875009798135,17.00073015799356,2.319668658088573,28.08020050495446,14.070622190329109
"Week 3, 2018",277.2296296072637,44.441331536814616,19.877618385181528,17.059835914860706,2.327733357101095,28.17782581212671,14.119540958312735
"Week 4, 2018",277.2296296072637,44.441331536814616,19.877618385181528,17.059835914860706,2.327733357101095,28.17782581212671,14.119540958312735
"Week 5, 2018",277.2296296072637,44.441331536814616,19.877618385181528,17.059835914860706,2.327733357101095,28.17782581212671,14.119540958312735
"Week 6, 2018",277.2296296072637,44.441331536814616,19.877618385181528,17.059835914860706,2.327733357101095,28.17782581212671,14.119540958312735
"Week 7, 2018",281.8345679411115,45.17952677045914,20.20779668184193,17.343209277530445,2.3663983027718603,28.645875170453124,14.354074386458127
"Week 8, 2018",237.96948739530782,38.14772937496869,17.062630226294026,14.643890746666049,1.9980891456913492,24.18739574815771,12.1199885050768
"Week 9, 2018",276.2691357803762,44.28735944999172,19.80875009798135,17.00073015799356,2.319668658088573,28.08020050495446,14.070622190329109
"Week 10, 2018",277.2296296072637,44.441331536814616,19.877618385181528,17.059835914860706,2.327733357101095,28.17782581212671,14.119540958312735
"Week 11, 2018",277.2296296072637,44.441331536814616,19.877618385181528,17.059835914860706,2.327733357101095,28.17782581212671,14.119540958312735
"Week 12, 2018",277.2296296072637,44.441331536814616,19.877618385181528,17.059835914860706,2.327733357101095,28.17782581212671,14.119540958312735
"Week 13, 2018",277.2296296072637,44.441331536814616,19.877618385181528,17.059835914860706,2.327733357101095,28.17782581212671,14.119540958312735
"Week 14, 2018",277.2296296072637,44.441331536814616,19.877618385181528,17.059835914860706,2.327733357101095,28.17782581212671,14.119540958312735
"Week 15, 2018",277.2296296072637,44.441331536814616,19.877618385181528,17.059835914860706,2.327733357101095,28.17782581212671,14.119540958312735
"Week 16, 2018",277.2296296072637,44.441331536814616,19.877618385181528,17.059835914860706,2.327733357101095,28.17782581212671,14.119540958312735
"Week 17, 2018",281.8345679411115,45.17952677045914,20.20779668184193,17.343209277530445,2.3663983027718603,28.645875170453124,14.354074386458127
"Week 18, 2018",237.96948739530782,38.14772937496869,17.062630226294026,14.643890746666049,1.9980891456913492,24.18739574815771,12.1199885050768
"Week 19, 2018",276.2691357803762,44.28735944999172,19.80875009798135,17.00073015799356,2.319668658088573,28.08020050495446,14.070622190329109
"Week 20, 2018",277.2296296072637,44.441331536814616,19.877618385181528,17.059835914860706,2.327733357101095,28.17782581212671,14.119540958312735
"Week 21, 2018",277.2296296072637,44.441331536814616,19.877618385181528,17.059835914860706,2.327733357101095,28.17782581212671,14.119540958312735
"Week 22, 2018",277.2296296072637,44.441331536814616,19.877618385181528,17.059835914860706,2.327733357101095,28.17782581212671,14.119540958312735
