Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",5121708.920434671,599356.4327092333,18361.561054026854,0.0,7310.673688736054
"Week 2, 2018",5928211.018758026,693735.5214338955,21252.908014312186,0.0,8461.866339805842
"Week 3, 2018",5948821.392305254,696147.4039047608,21326.797147434107,0.0,8491.285371216543
"Week 4, 2018",5948821.392305254,696147.4039047608,21326.797147434107,0.0,8491.285371216543
"Week 5, 2018",5948821.392305254,696147.4039047608,21326.797147434107,0.0,8491.285371216543
"Week 6, 2018",5948821.392305254,696147.4039047608,21326.797147434107,0.0,8491.285371216543
"Week 7, 2018",6047634.624171733,707710.7994580826,21681.04710932145,0.0,8632.330343808217
"Week 8, 2018",5106373.295446742,597561.8157895838,18306.582136073503,0.0,7288.783778192277
"Week 9, 2018",5928211.018758026,693735.5214338955,21252.908014312186,0.0,8461.866339805842
"Week 10, 2018",5948821.392305254,696147.4039047608,21326.797147434107,0.0,8491.285371216543
"Week 11, 2018",5948821.392305254,696147.4039047608,21326.797147434107,0.0,8491.285371216543
"Week 12, 2018",5948821.392305254,696147.4039047608,21326.797147434107,0.0,8491.285371216543
"Week 13, 2018",5948821.392305254,696147.4039047608,21326.797147434107,0.0,8491.285371216543
"Week 14, 2018",5948821.392305254,696147.4039047608,21326.797147434107,0.0,8491.285371216543
"Week 15, 2018",5948821.392305254,696147.4039047608,21326.797147434107,0.0,8491.285371216543
"Week 16, 2018",5948821.392305254,696147.4039047608,21326.797147434107,0.0,8491.285371216543
"Week 17, 2018",6047634.624171733,707710.7994580826,21681.04710932145,0.0,8632.330343808217
"Week 18, 2018",5106373.295446742,597561.8157895838,18306.582136073503,0.0,7288.783778192277
"Week 19, 2018",5928211.018758026,693735.5214338955,21252.908014312186,0.0,8461.866339805842
"Week 20, 2018",5948821.392305254,696147.4039047608,21326.797147434107,0.0,8491.285371216543
"Week 21, 2018",5948821.392305254,696147.4039047608,21326.797147434107,0.0,8491.285371216543
"Week 22, 2018",5948821.392305254,696147.4039047608,21326.797147434107,0.0,8491.285371216543
"Week 23, 2018",5948821.392305254,696147.4039047608,21326.797147434107,0.0,8491.285371216543
"Week 24, 2018",5948821.392305254,696147.4039047608,21326.797147434107,0.0,8491.285371216543
"Week 25, 2018",5948821.392305254,696147.4039047608,21326.797147434107,0.0,8491.285371216543
"Week 26, 2018",5948821.392305254,696147.4039047608,21326.797147434107,0.0,8491.285371216543
"Week 27, 2018",6047634.624171733,707710.7994580826,21681.04710932145,0.0,8632.330343808217
"Week 28, 2018",4784796.129147858,559929.9733268761,17153.71326665779,0.0,6829.767897930182
"Week 29, 2018",4800131.7541357875,561724.5902465255,17208.692184611136,0.0,6851.6578084739585
"Week 30, 2018",6347293.216007396,742777.6701888099,22755.336885415807,0.0,9060.059880368985
"Week 31, 2018",4795834.246956422,561221.684163306,17193.285424547288,0.0,6845.523591721032
"Week 32, 2018",4800131.7541357875,561724.5902465255,17208.692184611136,0.0,6851.6578084739585
"Week 33, 2018",5121708.920434671,599356.4327092333,18361.561054026854,0.0,7310.673688736054
"Week 34, 2018",5928211.018758026,693735.5214338955,21252.908014312186,0.0,8461.866339805842
"Week 35, 2018",5948821.392305254,696147.4039047608,21326.797147434107,0.0,8491.285371216543
"Week 36, 2018",5948821.392305254,696147.4039047608,21326.797147434107,0.0,8491.285371216543
"Week 37, 2018",5948821.392305254,696147.4039047608,21326.797147434107,0.0,8491.285371216543
"Week 38, 2018",5948821.392305254,696147.4039047608,21326.797147434107,0.0,8491.285371216543
"Week 39, 2018",5948821.392305254,696147.4039047608,21326.797147434107,0.0,8491.285371216543
"Week 40, 2018",5948821.392305254,696147.4039047608,21326.797147434107,0.0,8491.285371216543
"Week 41, 2018",6047634.624171733,707710.7994580826,21681.04710932145,0.0,8632.330343808217
"Week 42, 2018",5106373.295446742,597561.8157895838,18306.582136073503,0.0,7288.783778192277
"Week 43, 2018",5928211.018758026,693735.5214338955,21252.908014312186,0.0,8461.866339805842
"Week 44, 2018",5948821.392305254,696147.4039047608,21326.797147434107,0.0,8491.285371216543
"Week 45, 2018",5948821.392305254,696147.4039047608,21326.797147434107,0.0,8491.285371216543
"Week 46, 2018",5948821.392305254,696147.4039047608,21326.797147434107,0.0,8491.285371216543
"Week 47, 2018",5948821.392305254,696147.4039047608,21326.797147434107,0.0,8491.285371216543
"Week 48, 2018",5948821.392305254,696147.4039047608,21326.797147434107,0.0,8491.285371216543
"Week 49, 2018",5948821.392305254,696147.4039047608,21326.797147434107,0.0,8491.285371216543
"Week 50, 2018",6047634.624171733,707710.7994580826,21681.04710932145,0.0,8632.330343808217
"Week 51, 2018",4784796.129147858,559929.9733268761,17153.71326665779,0.0,6829.767897930182
"Week 52, 2018",4800131.7541357875,561724.5902465255,17208.692184611136,0.0,6851.6578084739585
"Week 1, 2019",758210.5753427866,88727.88218532741,2718.219638648241,0.0,1082.2618367795699
