Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",886441.6703573827,28725.733246170334,0.0,28966.54995928325,943.1739372602553
"Week 2, 2018",886441.6703573827,28725.733246170334,0.0,28966.54995928325,943.1739372602553
"Week 3, 2018",886441.6703573827,28725.733246170334,0.0,28966.54995928325,943.1739372602553
"Week 4, 2018",886441.6703573827,28725.733246170334,0.0,28966.54995928325,943.1739372602553
"Week 5, 2018",886441.6703573827,28725.733246170334,0.0,28966.54995928325,943.1739372602553
"Week 6, 2018",886441.6703573827,28725.733246170334,0.0,28966.54995928325,943.1739372602553
"Week 7, 2018",886441.6703573827,28725.733246170334,0.0,28966.54995928325,943.1739372602553
"Week 8, 2018",886441.6703573827,28725.733246170334,0.0,28966.54995928325,943.1739372602553
"Week 9, 2018",886441.6703573827,28725.733246170334,0.0,28966.54995928325,943.1739372602553
"Week 10, 2018",886441.6703573827,28725.733246170334,0.0,28966.54995928325,943.1739372602553
"Week 11, 2018",886441.6703573827,28725.733246170334,0.0,28966.54995928325,943.1739372602553
"Week 12, 2018",886441.6703573827,28725.733246170334,0.0,28966.54995928325,943.1739372602553
"Week 13, 2018",886441.6703573827,28725.733246170334,0.0,28966.54995928325,943.1739372602553
"Week 14, 2018",886441.6703573827,28725.733246170334,0.0,28966.54995928325,943.1739372602553
"Week 15, 2018",886441.6703573827,28725.733246170334,0.0,28966.54995928325,943.1739372602553
"Week 16, 2018",886441.6703573827,28725.733246170334,0.0,28966.54995928325,943.1739372602553
"Week 17, 2018",886441.6703573827,28725.733246170334,0.0,28966.54995928325,943.1739372602553
"Week 18, 2018",886441.6703573827,28725.733246170334,0.0,28966.54995928325,943.1739372602553
"Week 19, 2018",886441.6703573827,28725.733246170334,0.0,28966.54995928325,943.1739372602553
"Week 20, 2018",886441.6703573827,28725.733246170334,0.0,28966.54995928325,943.1739372602553
"Week 21, 2018",886441.6703573827,28725.733246170334,0.0,28966.54995928325,943.1739372602553
"Week 22, 2018",886441.6703573827,28725.733246170334,0.0,28966.54995928325,943.1739372602553
"Week 23, 2018",886441.6703573827,28725.733246170334,0.0,28966.54995928325,943.1739372602553
"Week 24, 2018",886441.6703573827,28725.733246170334,0.0,28966.54995928325,943.1739372602553
"Week 25, 2018",886441.6703573827,28725.733246170334,0.0,28966.54995928325,943.1739372602553
"Week 26, 2018",886441.6703573827,28725.733246170334,0.0,28966.54995928325,943.1739372602553
"Week 27, 2018",886441.6703573827,28725.733246170334,0.0,28966.54995928325,943.1739372602553
"Week 28, 2018",886441.6703573827,28725.733246170334,0.0,28966.54995928325,943.1739372602553
"Week 29, 2018",886441.6703573827,28725.733246170334,0.0,28966.54995928325,943.1739372602553
"Week 30, 2018",886441.6703573827,28725.733246170334,0.0,28966.54995928325,943.1739372602553
"Week 31, 2018",886441.6703573827,28725.733246170334,0.0,28966.54995928325,943.1739372602553
"Week 32, 2018",886441.6703573827,28725.733246170334,0.0,28966.54995928325,943.1739372602553
"Week 33, 2018",886441.6703573827,28725.733246170334,0.0,28966.54995928325,943.1739372602553
"Week 34, 2018",886441.6703573827,28725.733246170334,0.0,28966.54995928325,943.1739372602553
"Week 35, 2018",886441.6703573827,28725.733246170334,0.0,28966.54995928325,943.1739372602553
"Week 36, 2018",886441.6703573827,28725.733246170334,0.0,28966.54995928325,943.1739372602553
"Week 37, 2018",886441.6703573827,28725.733246170334,0.0,28966.54995928325,943.1739372602553
"Week 38, 2018",886441.6703573827,28725.733246170334,0.0,28966.54995928325,943.1739372602553
"Week 39, 2018",886441.6703573827,28725.733246170334,0.0,28966.54995928325,943.1739372602553
"Week 40, 2018",886441.6703573827,28725.733246170334,0.0,28966.54995928325,943.1739372602553
"Week 41, 2018",886441.6703573827,28725.733246170334,0.0,28966.54995928325,943.1739372602553
"Week 42, 2018",886441.6703573827,28725.733246170334,0.0,28966.54995928325,943.1739372602553
"Week 43, 2018",886441.6703573827,28725.733246170334,0.0,28966.54995928325,943.1739372602553
"Week 44, 2018",886441.6703573827,28725.733246170334,0.0,28966.54995928325,943.1739372602553
"Week 45, 2018",886441.6703573827,28725.733246170334,0.0,28966.54995928325,943.1739372602553
"Week 46, 2018",886441.6703573827,28725.733246170334,0.0,28966.54995928325,943.1739372602553
"Week 47, 2018",886441.6703573827,28725.733246170334,0.0,28966.54995928325,943.1739372602553
"Week 48, 2018",886441.6703573827,28725.733246170334,0.0,28966.54995928325,943.1739372602553
"Week 49, 2018",886441.6703573827,28725.733246170334,0.0,28966.54995928325,943.1739372602553
"Week 50, 2018",886441.6703573827,28725.733246170334,0.0,28966.54995928325,943.1739372602553
"Week 51, 2018",886441.6703573827,28725.733246170334,0.0,28966.54995928325,943.1739372602553
"Week 52, 2018",886441.6703573827,28725.733246170334,0.0,28966.54995928325,943.1739372602553
"Week 1, 2019",134309.34399354286,4352.383825177323,0.0,4388.871205952008,142.9051420091296
