Week number,Kilometers,electricity consumption kWh,gasoline consumption litres,diesel consumption litres,hydrogen consumption kg,CNG consumption kg,LNG consumption kg
"Week 1, 2018",1087.333333386,826.37333337336,369.5846000179014,317.17513334869625,43.2758666687628,262.591000012719,262.591000012719
"Week 2, 2018",1172.888888946,891.39555559896,398.6649333527454,342.13168890554823,46.6809777800508,283.252666680459,283.252666680459
"Week 3, 2018",1172.888888946,891.39555559896,398.6649333527454,342.13168890554823,46.6809777800508,283.252666680459,283.252666680459
"Week 4, 2018",1172.888888946,891.39555559896,398.6649333527454,342.13168890554823,46.6809777800508,283.252666680459,283.252666680459
"Week 5, 2018",1172.888888946,891.39555559896,398.6649333527454,342.13168890554823,46.6809777800508,283.252666680459,283.252666680459
"Week 6, 2018",1172.888888946,891.39555559896,398.6649333527454,342.13168890554823,46.6809777800508,283.252666680459,283.252666680459
"Week 7, 2018",1172.888888946,891.39555559896,398.6649333527454,342.13168890554823,46.6809777800508,283.252666680459,283.252666680459
"Week 8, 2018",1087.333333386,826.37333337336,369.5846000179014,317.17513334869625,43.2758666687628,262.591000012719,262.591000012719
"Week 9, 2018",1172.888888946,891.39555559896,398.6649333527454,342.13168890554823,46.6809777800508,283.252666680459,283.252666680459
"Week 10, 2018",1172.888888946,891.39555559896,398.6649333527454,342.13168890554823,46.6809777800508,283.252666680459,283.252666680459
"Week 11, 2018",1172.888888946,891.39555559896,398.6649333527454,342.13168890554823,46.6809777800508,283.252666680459,283.252666680459
"Week 12, 2018",1172.888888946,891.39555559896,398.6649333527454,342.13168890554823,46.6809777800508,283.252666680459,283.252666680459
"Week 13, 2018",1172.888888946,891.39555559896,398.6649333527454,342.13168890554823,46.6809777800508,283.252666680459,283.252666680459
"Week 14, 2018",1172.888888946,891.39555559896,398.6649333527454,342.13168890554823,46.6809777800508,283.252666680459,283.252666680459
"Week 15, 2018",1172.888888946,891.39555559896,398.6649333527454,342.13168890554823,46.6809777800508,283.252666680459,283.252666680459
"Week 16, 2018",1172.888888946,891.39555559896,398.6649333527454,342.13168890554823,46.6809777800508,283.252666680459,283.252666680459
"Week 17, 2018",1172.888888946,891.39555559896,398.6649333527454,342.13168890554823,46.6809777800508,283.252666680459,283.252666680459
"Week 18, 2018",1087.333333386,826.37333337336,369.5846000179014,317.17513334869625,43.2758666687628,262.591000012719,262.591000012719
"Week 19, 2018",1172.888888946,891.39555559896,398.6649333527454,342.13168890554823,46.6809777800508,283.252666680459,283.252666680459
"Week 20, 2018",1172.888888946,891.39555559896,398.6649333527454,342.13168890554823,46.6809777800508,283.252666680459,283.252666680459
"Week 21, 2018",1172.888888946,891.39555559896,398.6649333527454,342.13168890554823,46.6809777800508,283.252666680459,283.252666680459
"Week 22, 2018",1172.888888946,891.39555559896,398.6649333527454,342.13168890554823,46.6809777800508,283.252666680459,283.252666680459
"Week 23, 2018",1172.888888946,891.39555559896,398.6649333527454,342.13168890554823,46.6809777800508,283.252666680459,283.252666680459
"Week 24, 2018",1172.888888946,891.39555559896,398.6649333527454,342.13168890554823,46.6809777800508,283.252666680459,283.252666680459
"Week 25, 2018",1172.888888946,891.39555559896,398.6649333527454,342.13168890554823,46.6809777800508,283.252666680459,283.252666680459
"Week 26, 2018",1172.888888946,891.39555559896,398.6649333527454,342.13168890554823,46.6809777800508,283.252666680459,283.252666680459
"Week 27, 2018",1172.888888946,891.39555559896,398.6649333527454,342.13168890554823,46.6809777800508,283.252666680459,283.252666680459
"Week 28, 2018",1087.333333386,826.37333337336,369.5846000179014,317.17513334869625,43.2758666687628,262.591000012719,262.591000012719
"Week 29, 2018",1087.333333386,826.37333337336,369.5846000179014,317.17513334869625,43.2758666687628,262.591000012719,262.591000012719
"Week 30, 2018",1087.333333386,826.37333337336,369.5846000179014,317.17513334869625,43.2758666687628,262.591000012719,262.591000012719
"Week 31, 2018",1087.333333386,826.37333337336,369.5846000179014,317.17513334869625,43.2758666687628,262.591000012719,262.591000012719
"Week 32, 2018",1087.333333386,826.37333337336,369.5846000179014,317.17513334869625,43.2758666687628,262.591000012719,262.591000012719
"Week 33, 2018",1087.333333386,826.37333337336,369.5846000179014,317.17513334869625,43.2758666687628,262.591000012719,262.591000012719
"Week 34, 2018",1172.888888946,891.39555559896,398.6649333527454,342.13168890554823,46.6809777800508,283.252666680459,283.252666680459
"Week 35, 2018",1172.888888946,891.39555559896,398.6649333527454,342.13168890554823,46.6809777800508,283.252666680459,283.252666680459
"Week 36, 2018",1172.888888946,891.39555559896,398.6649333527454,342.13168890554823,46.6809777800508,283.252666680459,283.252666680459
"Week 37, 2018",1172.888888946,891.39555559896,398.6649333527454,342.13168890554823,46.6809777800508,283.252666680459,283.252666680459
"Week 38, 2018",1172.888888946,891.39555559896,398.6649333527454,342.13168890554823,46.6809777800508,283.252666680459,283.252666680459
"Week 39, 2018",1172.888888946,891.39555559896,398.6649333527454,342.13168890554823,46.6809777800508,283.252666680459,283.252666680459
"Week 40, 2018",1172.888888946,891.39555559896,398.6649333527454,342.13168890554823,46.6809777800508,283.252666680459,283.252666680459
"Week 41, 2018",1172.888888946,891.39555559896,398.6649333527454,342.13168890554823,46.6809777800508,283.252666680459,283.252666680459
"Week 42, 2018",1087.333333386,826.37333337336,369.5846000179014,317.17513334869625,43.2758666687628,262.591000012719,262.591000012719
"Week 43, 2018",1172.888888946,891.39555559896,398.6649333527454,342.13168890554823,46.6809777800508,283.252666680459,283.252666680459
"Week 44, 2018",1172.888888946,891.39555559896,398.6649333527454,342.13168890554823,46.6809777800508,283.252666680459,283.252666680459
"Week 45, 2018",1172.888888946,891.39555559896,398.6649333527454,342.13168890554823,46.6809777800508,283.252666680459,283.252666680459
"Week 46, 2018",1172.888888946,891.39555559896,398.6649333527454,342.13168890554823,46.6809777800508,283.252666680459,283.252666680459
"Week 47, 2018",1172.888888946,891.39555559896,398.6649333527454,342.13168890554823,46.6809777800508,283.252666680459,283.252666680459
"Week 48, 2018",1172.888888946,891.39555559896,398.6649333527454,342.13168890554823,46.6809777800508,283.252666680459,283.252666680459
"Week 49, 2018",1172.888888946,891.39555559896,398.6649333527454,342.13168890554823,46.6809777800508,283.252666680459,283.252666680459
"Week 50, 2018",1172.888888946,891.39555559896,398.6649333527454,342.13168890554823,46.6809777800508,283.252666680459,283.252666680459
"Week 51, 2018",1087.333333386,826.37333337336,369.5846000179014,317.17513334869625,43.2758666687628,262.591000012719,262.591000012719
"Week 52, 2018",1087.333333386,826.37333337336,369.5846000179014,317.17513334869625,43.2758666687628,262.591000012719,262.591000012719
"Week 1, 2019",160.22222223,121.7688888948,54.45953333597699,46.736822224491,6.376844444754,38.693666668545,38.693666668545
