Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",18810.8666675778,4288.877600207738,0.0,2606.3866582929113,93.58406167119956
"Week 2, 2018",20290.9777787658,4626.342933558602,0.0,2811.4671535813422,100.94761444935986
"Week 3, 2018",20290.9777787658,4626.342933558602,0.0,2811.4671535813422,100.94761444935986
"Week 4, 2018",20290.9777787658,4626.342933558602,0.0,2811.4671535813422,100.94761444935986
"Week 5, 2018",20290.9777787658,4626.342933558602,0.0,2811.4671535813422,100.94761444935986
"Week 6, 2018",20290.9777787658,4626.342933558602,0.0,2811.4671535813422,100.94761444935986
"Week 7, 2018",20290.9777787658,4626.342933558602,0.0,2811.4671535813422,100.94761444935986
"Week 8, 2018",18810.8666675778,4288.877600207738,0.0,2606.3866582929113,93.58406167119956
"Week 9, 2018",20290.9777787658,4626.342933558602,0.0,2811.4671535813422,100.94761444935986
"Week 10, 2018",20290.9777787658,4626.342933558602,0.0,2811.4671535813422,100.94761444935986
"Week 11, 2018",20290.9777787658,4626.342933558602,0.0,2811.4671535813422,100.94761444935986
"Week 12, 2018",20290.9777787658,4626.342933558602,0.0,2811.4671535813422,100.94761444935986
"Week 13, 2018",20290.9777787658,4626.342933558602,0.0,2811.4671535813422,100.94761444935986
"Week 14, 2018",20290.9777787658,4626.342933558602,0.0,2811.4671535813422,100.94761444935986
"Week 15, 2018",20290.9777787658,4626.342933558602,0.0,2811.4671535813422,100.94761444935986
"Week 16, 2018",20290.9777787658,4626.342933558602,0.0,2811.4671535813422,100.94761444935986
"Week 17, 2018",20290.9777787658,4626.342933558602,0.0,2811.4671535813422,100.94761444935986
"Week 18, 2018",18810.8666675778,4288.877600207738,0.0,2606.3866582929113,93.58406167119956
"Week 19, 2018",20290.9777787658,4626.342933558602,0.0,2811.4671535813422,100.94761444935986
"Week 20, 2018",20290.9777787658,4626.342933558602,0.0,2811.4671535813422,100.94761444935986
"Week 21, 2018",20290.9777787658,4626.342933558602,0.0,2811.4671535813422,100.94761444935986
"Week 22, 2018",20290.9777787658,4626.342933558602,0.0,2811.4671535813422,100.94761444935986
"Week 23, 2018",20290.9777787658,4626.342933558602,0.0,2811.4671535813422,100.94761444935986
"Week 24, 2018",20290.9777787658,4626.342933558602,0.0,2811.4671535813422,100.94761444935986
"Week 25, 2018",20290.9777787658,4626.342933558602,0.0,2811.4671535813422,100.94761444935986
"Week 26, 2018",20290.9777787658,4626.342933558602,0.0,2811.4671535813422,100.94761444935986
"Week 27, 2018",20290.9777787658,4626.342933558602,0.0,2811.4671535813422,100.94761444935986
"Week 28, 2018",18810.8666675778,4288.877600207738,0.0,2606.3866582929113,93.58406167119956
"Week 29, 2018",18810.8666675778,4288.877600207738,0.0,2606.3866582929113,93.58406167119956
"Week 30, 2018",18810.8666675778,4288.877600207738,0.0,2606.3866582929113,93.58406167119956
"Week 31, 2018",18810.8666675778,4288.877600207738,0.0,2606.3866582929113,93.58406167119956
"Week 32, 2018",18810.8666675778,4288.877600207738,0.0,2606.3866582929113,93.58406167119956
"Week 33, 2018",18810.8666675778,4288.877600207738,0.0,2606.3866582929113,93.58406167119956
"Week 34, 2018",20290.9777787658,4626.342933558602,0.0,2811.4671535813422,100.94761444935986
"Week 35, 2018",20290.9777787658,4626.342933558602,0.0,2811.4671535813422,100.94761444935986
"Week 36, 2018",20290.9777787658,4626.342933558602,0.0,2811.4671535813422,100.94761444935986
"Week 37, 2018",20290.9777787658,4626.342933558602,0.0,2811.4671535813422,100.94761444935986
"Week 38, 2018",20290.9777787658,4626.342933558602,0.0,2811.4671535813422,100.94761444935986
"Week 39, 2018",20290.9777787658,4626.342933558602,0.0,2811.4671535813422,100.94761444935986
"Week 40, 2018",20290.9777787658,4626.342933558602,0.0,2811.4671535813422,100.94761444935986
"Week 41, 2018",20290.9777787658,4626.342933558602,0.0,2811.4671535813422,100.94761444935986
"Week 42, 2018",18810.8666675778,4288.877600207738,0.0,2606.3866582929113,93.58406167119956
"Week 43, 2018",20290.9777787658,4626.342933558602,0.0,2811.4671535813422,100.94761444935986
"Week 44, 2018",20290.9777787658,4626.342933558602,0.0,2811.4671535813422,100.94761444935986
"Week 45, 2018",20290.9777787658,4626.342933558602,0.0,2811.4671535813422,100.94761444935986
"Week 46, 2018",20290.9777787658,4626.342933558602,0.0,2811.4671535813422,100.94761444935986
"Week 47, 2018",20290.9777787658,4626.342933558602,0.0,2811.4671535813422,100.94761444935986
"Week 48, 2018",20290.9777787658,4626.342933558602,0.0,2811.4671535813422,100.94761444935986
"Week 49, 2018",20290.9777787658,4626.342933558602,0.0,2811.4671535813422,100.94761444935986
"Week 50, 2018",20290.9777787658,4626.342933558602,0.0,2811.4671535813422,100.94761444935986
"Week 51, 2018",18810.8666675778,4288.877600207738,0.0,2606.3866582929113,93.58406167119956
"Week 52, 2018",18810.8666675778,4288.877600207738,0.0,2606.3866582929113,93.58406167119956
"Week 1, 2019",2771.844444579,631.9805333640121,0.0,384.0598366297548,13.789926111780526
