Week number,Kilometers,electricity consumption kWh,gasoline consumption litres,diesel consumption litres,hydrogen consumption kg,LPG consumption litres,CNG consumption kg
"Week 1, 2018",203.426351265824,28.762737212645682,12.864932058183712,11.04124370562748,1.5065251077395787,18.236883728988676,9.13826444015391
"Week 2, 2018",234.776543143758,33.19538482658597,14.847556659229694,12.742818288215028,1.738696853939972,21.047383944923183,10.54656942054342
"Week 3, 2018",235.73148141586074,33.33040488865698,14.907948127266732,12.7946488702439,1.7457688899584736,21.132992805959788,10.589466903589239
"Week 4, 2018",235.73148141586074,33.33040488865698,14.907948127266732,12.7946488702439,1.7457688899584736,21.132992805959788,10.589466903589239
"Week 5, 2018",235.73148141586074,33.33040488865698,14.907948127266732,12.7946488702439,1.7457688899584736,21.132992805959788,10.589466903589239
"Week 6, 2018",235.73148141586074,33.33040488865698,14.907948127266732,12.7946488702439,1.7457688899584736,21.132992805959788,10.589466903589239
"Week 7, 2018",239.8753086221787,33.916306431147845,15.17000884427026,13.019560764766252,1.776457046579317,21.504481034915386,10.775614807093417
"Week 8, 2018",202.7806036659375,28.671434053513845,12.824094187634584,11.006194870615175,1.501742861160224,18.178993372974695,9.10925633824067
"Week 9, 2018",234.776543143758,33.19538482658597,14.847556659229694,12.742818288215028,1.738696853939972,21.047383944923183,10.54656942054342
"Week 10, 2018",235.73148141586074,33.33040488865698,14.907948127266732,12.7946488702439,1.7457688899584736,21.132992805959788,10.589466903589239
"Week 11, 2018",235.73148141586074,33.33040488865698,14.907948127266732,12.7946488702439,1.7457688899584736,21.132992805959788,10.589466903589239
"Week 12, 2018",235.73148141586074,33.33040488865698,14.907948127266732,12.7946488702439,1.7457688899584736,21.132992805959788,10.589466903589239
"Week 13, 2018",235.73148141586074,33.33040488865698,14.907948127266732,12.7946488702439,1.7457688899584736,21.132992805959788,10.589466903589239
"Week 14, 2018",235.73148141586074,33.33040488865698,14.907948127266732,12.7946488702439,1.7457688899584736,21.132992805959788,10.589466903589239
