Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",1175516258.6030703,86428104.38766345,27506203.504427765,0.0,609390.7318227545
"Week 2, 2018",1356675975.7858298,99747606.20903128,31745205.73954372,0.0,703304.4074719503
"Week 3, 2018",1362194166.8059902,100153323.0896198,31874327.292789795,0.0,706165.0522648258
"Week 4, 2018",1362194166.8059902,100153323.0896198,31874327.292789795,0.0,706165.0522648258
"Week 5, 2018",1362194166.8059902,100153323.0896198,31874327.292789795,0.0,706165.0522648258
"Week 6, 2018",1362194166.8059902,100153323.0896198,31874327.292789795,0.0,706165.0522648258
"Week 7, 2018",1386139620.3991838,101913877.35470659,32434633.04332269,0.0,718578.4386235349
"Week 8, 2018",1171784751.8543277,86153750.84091893,27418889.030248538,0.0,607456.3088730285
"Week 9, 2018",1356675975.7858298,99747606.20903128,31745205.73954372,0.0,703304.4074719503
"Week 10, 2018",1362194166.8059902,100153323.0896198,31874327.292789795,0.0,706165.0522648258
"Week 11, 2018",1362194166.8059902,100153323.0896198,31874327.292789795,0.0,706165.0522648258
"Week 12, 2018",1362194166.8059902,100153323.0896198,31874327.292789795,0.0,706165.0522648258
"Week 13, 2018",1362194166.8059902,100153323.0896198,31874327.292789795,0.0,706165.0522648258
"Week 14, 2018",1362194166.8059902,100153323.0896198,31874327.292789795,0.0,706165.0522648258
"Week 15, 2018",1362194166.8059902,100153323.0896198,31874327.292789795,0.0,706165.0522648258
"Week 16, 2018",1362194166.8059902,100153323.0896198,31874327.292789795,0.0,706165.0522648258
"Week 17, 2018",1386139620.3991838,101913877.35470659,32434633.04332269,0.0,718578.4386235349
"Week 18, 2018",1171784751.8543277,86153750.84091893,27418889.030248538,0.0,607456.3088730285
"Week 19, 2018",1356675975.7858298,99747606.20903128,31745205.73954372,0.0,703304.4074719503
"Week 20, 2018",1362194166.8059902,100153323.0896198,31874327.292789795,0.0,706165.0522648258
"Week 21, 2018",1362194166.8059902,100153323.0896198,31874327.292789795,0.0,706165.0522648258
"Week 22, 2018",1362194166.8059902,100153323.0896198,31874327.292789795,0.0,706165.0522648258
"Week 23, 2018",1362194166.8059902,100153323.0896198,31874327.292789795,0.0,706165.0522648258
"Week 24, 2018",1362194166.8059902,100153323.0896198,31874327.292789795,0.0,706165.0522648258
"Week 25, 2018",1362194166.8059902,100153323.0896198,31874327.292789795,0.0,706165.0522648258
"Week 26, 2018",1362194166.8059902,100153323.0896198,31874327.292789795,0.0,706165.0522648258
"Week 27, 2018",1386139620.3991838,101913877.35470659,32434633.04332269,0.0,718578.4386235349
"Week 28, 2018",1095892285.4386864,80573868.84302723,25643061.932661403,0.0,568113.4539270487
"Week 29, 2018",1099623792.187429,80848222.38977174,25730376.40684063,0.0,570047.8768767747
"Week 30, 2018",1461704792.7324138,107469695.5364553,34202801.703546055,0.0,757751.6234531363
"Week 31, 2018",1101094200.047034,80956331.96550266,25764782.85381642,0.0,570810.1401930706
"Week 32, 2018",1099623792.187429,80848222.38977174,25730376.40684063,0.0,570047.8768767747
"Week 33, 2018",1175516258.6030703,86428104.38766345,27506203.504427765,0.0,609390.7318227545
"Week 34, 2018",1356675975.7858298,99747606.20903128,31745205.73954372,0.0,703304.4074719503
"Week 35, 2018",1362194166.8059902,100153323.0896198,31874327.292789795,0.0,706165.0522648258
"Week 36, 2018",1362194166.8059902,100153323.0896198,31874327.292789795,0.0,706165.0522648258
"Week 37, 2018",1362194166.8059902,100153323.0896198,31874327.292789795,0.0,706165.0522648258
"Week 38, 2018",1362194166.8059902,100153323.0896198,31874327.292789795,0.0,706165.0522648258
"Week 39, 2018",1362194166.8059902,100153323.0896198,31874327.292789795,0.0,706165.0522648258
"Week 40, 2018",1362194166.8059902,100153323.0896198,31874327.292789795,0.0,706165.0522648258
"Week 41, 2018",1386139620.3991838,101913877.35470659,32434633.04332269,0.0,718578.4386235349
"Week 42, 2018",1171784751.8543277,86153750.84091893,27418889.030248538,0.0,607456.3088730285
"Week 43, 2018",1356675975.7858298,99747606.20903128,31745205.73954372,0.0,703304.4074719503
"Week 44, 2018",1362194166.8059902,100153323.0896198,31874327.292789795,0.0,706165.0522648258
"Week 45, 2018",1362194166.8059902,100153323.0896198,31874327.292789795,0.0,706165.0522648258
"Week 46, 2018",1362194166.8059902,100153323.0896198,31874327.292789795,0.0,706165.0522648258
"Week 47, 2018",1362194166.8059902,100153323.0896198,31874327.292789795,0.0,706165.0522648258
"Week 48, 2018",1362194166.8059902,100153323.0896198,31874327.292789795,0.0,706165.0522648258
"Week 49, 2018",1362194166.8059902,100153323.0896198,31874327.292789795,0.0,706165.0522648258
"Week 50, 2018",1386139620.3991838,101913877.35470659,32434633.04332269,0.0,718578.4386235349
"Week 51, 2018",1095892285.4386864,80573868.84302723,25643061.932661403,0.0,568113.4539270487
"Week 52, 2018",1099623792.187429,80848222.38977174,25730376.40684063,0.0,570047.8768767747
"Week 1, 2019",173542132.3849629,12759430.100311253,4060756.4336419515,0.0,89964.69957959428
