Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",306973.3332996,31921.645322450513,0.0,569.9471497934525,466.599466615392
"Week 2, 2018",306973.3332996,31921.645322450513,0.0,569.9471497934525,466.599466615392
"Week 3, 2018",306973.3332996,31921.645322450513,0.0,569.9471497934525,466.599466615392
"Week 4, 2018",306973.3332996,31921.645322450513,0.0,569.9471497934525,466.599466615392
"Week 5, 2018",306973.3332996,31921.645322450513,0.0,569.9471497934525,466.599466615392
"Week 6, 2018",306973.3332996,31921.645322450513,0.0,569.9471497934525,466.599466615392
"Week 7, 2018",306973.3332996,31921.645322450513,0.0,569.9471497934525,466.599466615392
"Week 8, 2018",306973.3332996,31921.645322450513,0.0,569.9471497934525,466.599466615392
"Week 9, 2018",306973.3332996,31921.645322450513,0.0,569.9471497934525,466.599466615392
"Week 10, 2018",306973.3332996,31921.645322450513,0.0,569.9471497934525,466.599466615392
"Week 11, 2018",306973.3332996,31921.645322450513,0.0,569.9471497934525,466.599466615392
"Week 12, 2018",306973.3332996,31921.645322450513,0.0,569.9471497934525,466.599466615392
"Week 13, 2018",306973.3332996,31921.645322450513,0.0,569.9471497934525,466.599466615392
"Week 14, 2018",306973.3332996,31921.645322450513,0.0,569.9471497934525,466.599466615392
"Week 15, 2018",306973.3332996,31921.645322450513,0.0,569.9471497934525,466.599466615392
"Week 16, 2018",306973.3332996,31921.645322450513,0.0,569.9471497934525,466.599466615392
"Week 17, 2018",306973.3332996,31921.645322450513,0.0,569.9471497934525,466.599466615392
"Week 18, 2018",306973.3332996,31921.645322450513,0.0,569.9471497934525,466.599466615392
"Week 19, 2018",306973.3332996,31921.645322450513,0.0,569.9471497934525,466.599466615392
"Week 20, 2018",306973.3332996,31921.645322450513,0.0,569.9471497934525,466.599466615392
"Week 21, 2018",306973.3332996,31921.645322450513,0.0,569.9471497934525,466.599466615392
"Week 22, 2018",306973.3332996,31921.645322450513,0.0,569.9471497934525,466.599466615392
"Week 23, 2018",306973.3332996,31921.645322450513,0.0,569.9471497934525,466.599466615392
"Week 24, 2018",306973.3332996,31921.645322450513,0.0,569.9471497934525,466.599466615392
"Week 25, 2018",306973.3332996,31921.645322450513,0.0,569.9471497934525,466.599466615392
"Week 26, 2018",306973.3332996,31921.645322450513,0.0,569.9471497934525,466.599466615392
"Week 27, 2018",306973.3332996,31921.645322450513,0.0,569.9471497934525,466.599466615392
"Week 28, 2018",306973.3332996,31921.645322450513,0.0,569.9471497934525,466.599466615392
"Week 29, 2018",306973.3332996,31921.645322450513,0.0,569.9471497934525,466.599466615392
"Week 30, 2018",306973.3332996,31921.645322450513,0.0,569.9471497934525,466.599466615392
"Week 31, 2018",306973.3332996,31921.645322450513,0.0,569.9471497934525,466.599466615392
"Week 32, 2018",306973.3332996,31921.645322450513,0.0,569.9471497934525,466.599466615392
"Week 33, 2018",306973.3332996,31921.645322450513,0.0,569.9471497934525,466.599466615392
"Week 34, 2018",306973.3332996,31921.645322450513,0.0,569.9471497934525,466.599466615392
"Week 35, 2018",306973.3332996,31921.645322450513,0.0,569.9471497934525,466.599466615392
"Week 36, 2018",306973.3332996,31921.645322450513,0.0,569.9471497934525,466.599466615392
"Week 37, 2018",306973.3332996,31921.645322450513,0.0,569.9471497934525,466.599466615392
"Week 38, 2018",306973.3332996,31921.645322450513,0.0,569.9471497934525,466.599466615392
"Week 39, 2018",306973.3332996,31921.645322450513,0.0,569.9471497934525,466.599466615392
"Week 40, 2018",306973.3332996,31921.645322450513,0.0,569.9471497934525,466.599466615392
"Week 41, 2018",306973.3332996,31921.645322450513,0.0,569.9471497934525,466.599466615392
"Week 42, 2018",306973.3332996,31921.645322450513,0.0,569.9471497934525,466.599466615392
"Week 43, 2018",306973.3332996,31921.645322450513,0.0,569.9471497934525,466.599466615392
"Week 44, 2018",306973.3332996,31921.645322450513,0.0,569.9471497934525,466.599466615392
"Week 45, 2018",306973.3332996,31921.645322450513,0.0,569.9471497934525,466.599466615392
"Week 46, 2018",306973.3332996,31921.645322450513,0.0,569.9471497934525,466.599466615392
"Week 47, 2018",306973.3332996,31921.645322450513,0.0,569.9471497934525,466.599466615392
"Week 48, 2018",306973.3332996,31921.645322450513,0.0,569.9471497934525,466.599466615392
"Week 49, 2018",306973.3332996,31921.645322450513,0.0,569.9471497934525,466.599466615392
"Week 50, 2018",306973.3332996,31921.645322450513,0.0,569.9471497934525,466.599466615392
"Week 51, 2018",306973.3332996,31921.645322450513,0.0,569.9471497934525,466.599466615392
"Week 52, 2018",306973.3332996,31921.645322450513,0.0,569.9471497934525,466.599466615392
"Week 1, 2019",46511.111106,4836.612927644018,0.0,86.3556287565837,70.69688888112
