Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",75982698.0,23098740.192,0.0,3102981.4209240004,1209644.55216
"Week 2, 2018",81961308.0,24916237.632000007,0.0,3347135.8961040005,1304824.02336
"Week 3, 2018",81961308.0,24916237.632000007,0.0,3347135.8961040005,1304824.02336
"Week 4, 2018",81961308.0,24916237.632000007,0.0,3347135.8961040005,1304824.02336
"Week 5, 2018",81961308.0,24916237.632000007,0.0,3347135.8961040005,1304824.02336
"Week 6, 2018",81961308.0,24916237.632000007,0.0,3347135.8961040005,1304824.02336
"Week 7, 2018",81961308.0,24916237.632000007,0.0,3347135.8961040005,1304824.02336
"Week 8, 2018",75982698.0,23098740.192,0.0,3102981.4209240004,1209644.55216
"Week 9, 2018",81961308.0,24916237.632000007,0.0,3347135.8961040005,1304824.02336
"Week 10, 2018",81961308.0,24916237.632000007,0.0,3347135.8961040005,1304824.02336
"Week 11, 2018",81961308.0,24916237.632000007,0.0,3347135.8961040005,1304824.02336
"Week 12, 2018",81961308.0,24916237.632000007,0.0,3347135.8961040005,1304824.02336
"Week 13, 2018",81961308.0,24916237.632000007,0.0,3347135.8961040005,1304824.02336
"Week 14, 2018",81961308.0,24916237.632000007,0.0,3347135.8961040005,1304824.02336
"Week 15, 2018",81961308.0,24916237.632000007,0.0,3347135.8961040005,1304824.02336
"Week 16, 2018",81961308.0,24916237.632000007,0.0,3347135.8961040005,1304824.02336
"Week 17, 2018",81961308.0,24916237.632000007,0.0,3347135.8961040005,1304824.02336
"Week 18, 2018",75982698.0,23098740.192,0.0,3102981.4209240004,1209644.55216
"Week 19, 2018",81961308.0,24916237.632000007,0.0,3347135.8961040005,1304824.02336
"Week 20, 2018",81961308.0,24916237.632000007,0.0,3347135.8961040005,1304824.02336
"Week 21, 2018",81961308.0,24916237.632000007,0.0,3347135.8961040005,1304824.02336
"Week 22, 2018",81961308.0,24916237.632000007,0.0,3347135.8961040005,1304824.02336
"Week 23, 2018",81961308.0,24916237.632000007,0.0,3347135.8961040005,1304824.02336
"Week 24, 2018",81961308.0,24916237.632000007,0.0,3347135.8961040005,1304824.02336
"Week 25, 2018",81961308.0,24916237.632000007,0.0,3347135.8961040005,1304824.02336
"Week 26, 2018",81961308.0,24916237.632000007,0.0,3347135.8961040005,1304824.02336
"Week 27, 2018",81961308.0,24916237.632000007,0.0,3347135.8961040005,1304824.02336
"Week 28, 2018",75982698.0,23098740.192,0.0,3102981.4209240004,1209644.55216
"Week 29, 2018",75982698.0,23098740.192,0.0,3102981.4209240004,1209644.55216
"Week 30, 2018",75982698.0,23098740.192,0.0,3102981.4209240004,1209644.55216
"Week 31, 2018",75982698.0,23098740.192,0.0,3102981.4209240004,1209644.55216
"Week 32, 2018",75982698.0,23098740.192,0.0,3102981.4209240004,1209644.55216
"Week 33, 2018",75982698.0,23098740.192,0.0,3102981.4209240004,1209644.55216
"Week 34, 2018",81961308.0,24916237.632000007,0.0,3347135.8961040005,1304824.02336
"Week 35, 2018",81961308.0,24916237.632000007,0.0,3347135.8961040005,1304824.02336
"Week 36, 2018",81961308.0,24916237.632000007,0.0,3347135.8961040005,1304824.02336
"Week 37, 2018",81961308.0,24916237.632000007,0.0,3347135.8961040005,1304824.02336
"Week 38, 2018",81961308.0,24916237.632000007,0.0,3347135.8961040005,1304824.02336
"Week 39, 2018",81961308.0,24916237.632000007,0.0,3347135.8961040005,1304824.02336
"Week 40, 2018",81961308.0,24916237.632000007,0.0,3347135.8961040005,1304824.02336
"Week 41, 2018",81961308.0,24916237.632000007,0.0,3347135.8961040005,1304824.02336
"Week 42, 2018",75982698.0,23098740.192,0.0,3102981.4209240004,1209644.55216
"Week 43, 2018",81961308.0,24916237.632000007,0.0,3347135.8961040005,1304824.02336
"Week 44, 2018",81961308.0,24916237.632000007,0.0,3347135.8961040005,1304824.02336
"Week 45, 2018",81961308.0,24916237.632000007,0.0,3347135.8961040005,1304824.02336
"Week 46, 2018",81961308.0,24916237.632000007,0.0,3347135.8961040005,1304824.02336
"Week 47, 2018",81961308.0,24916237.632000007,0.0,3347135.8961040005,1304824.02336
"Week 48, 2018",81961308.0,24916237.632000007,0.0,3347135.8961040005,1304824.02336
"Week 49, 2018",81961308.0,24916237.632000007,0.0,3347135.8961040005,1304824.02336
"Week 50, 2018",81961308.0,24916237.632000007,0.0,3347135.8961040005,1304824.02336
"Week 51, 2018",75982698.0,23098740.192,0.0,3102981.4209240004,1209644.55216
"Week 52, 2018",75982698.0,23098740.192,0.0,3102981.4209240004,1209644.55216
"Week 1, 2019",11196306.0,3403677.024,0.0,457234.74442800006,178245.19152000002
