Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",2116555226.4566953,81143810.28268065,79944494.90784319,0.0,3273743.804355579
"Week 2, 2018",2455183352.5465717,94126025.94913249,92734831.84942383,0.0,3797510.780010232
"Week 3, 2018",2461672130.996572,94374790.64042506,92979919.76835452,0.0,3807547.1816041963
"Week 4, 2018",2461672130.996572,94374790.64042506,92979919.76835452,0.0,3807547.1816041963
"Week 5, 2018",2461672130.996572,94374790.64042506,92979919.76835452,0.0,3807547.1816041963
"Week 6, 2018",2461672130.996572,94374790.64042506,92979919.76835452,0.0,3807547.1816041963
"Week 7, 2018",2500408172.5386705,95859840.48306774,94443020.39389145,0.0,3867461.4585474916
"Week 8, 2018",2112513394.7622507,80988855.84534353,79791830.71591666,0.0,3267492.1737330756
"Week 9, 2018",2455183352.5465717,94126025.94913249,92734831.84942383,0.0,3797510.780010232
"Week 10, 2018",2461672130.996572,94374790.64042506,92979919.76835452,0.0,3807547.1816041963
"Week 11, 2018",2461672130.996572,94374790.64042506,92979919.76835452,0.0,3807547.1816041963
"Week 12, 2018",2461672130.996572,94374790.64042506,92979919.76835452,0.0,3807547.1816041963
"Week 13, 2018",2461672130.996572,94374790.64042506,92979919.76835452,0.0,3807547.1816041963
"Week 14, 2018",2461672130.996572,94374790.64042506,92979919.76835452,0.0,3807547.1816041963
"Week 15, 2018",2461672130.996572,94374790.64042506,92979919.76835452,0.0,3807547.1816041963
"Week 16, 2018",2461672130.996572,94374790.64042506,92979919.76835452,0.0,3807547.1816041963
"Week 17, 2018",2500408172.5386705,95859840.48306774,94443020.39389145,0.0,3867461.4585474916
"Week 18, 2018",2112513394.7622507,80988855.84534353,79791830.71591666,0.0,3267492.1737330756
"Week 19, 2018",2455183352.5465717,94126025.94913249,92734831.84942383,0.0,3797510.780010232
"Week 20, 2018",2461672130.996572,94374790.64042506,92979919.76835452,0.0,3807547.1816041963
"Week 21, 2018",2461672130.996572,94374790.64042506,92979919.76835452,0.0,3807547.1816041963
"Week 22, 2018",2461672130.996572,94374790.64042506,92979919.76835452,0.0,3807547.1816041963
"Week 23, 2018",2461672130.996572,94374790.64042506,92979919.76835452,0.0,3807547.1816041963
"Week 24, 2018",2461672130.996572,94374790.64042506,92979919.76835452,0.0,3807547.1816041963
"Week 25, 2018",2461672130.996572,94374790.64042506,92979919.76835452,0.0,3807547.1816041963
"Week 26, 2018",2461672130.996572,94374790.64042506,92979919.76835452,0.0,3807547.1816041963
"Week 27, 2018",2500408172.5386705,95859840.48306774,94443020.39389145,0.0,3867461.4585474916
"Week 28, 2018",1982191631.8919628,75992622.21540216,74869442.0260612,0.0,3065919.3262891015
"Week 29, 2018",1986233463.5864072,76147576.65273927,75022106.21798775,0.0,3072170.9569116044
"Week 30, 2018",2618288550.054448,100379100.30186497,98895485.00348315,0.0,4049790.816517244
"Week 31, 2018",1990384533.975296,76306719.04784225,75178896.46915552,0.0,3078591.5505239046
"Week 32, 2018",1986233463.5864072,76147576.65273927,75022106.21798775,0.0,3072170.9569116044
"Week 33, 2018",2116555226.4566953,81143810.28268065,79944494.90784319,0.0,3273743.804355579
"Week 34, 2018",2455183352.5465717,94126025.94913249,92734831.84942383,0.0,3797510.780010232
"Week 35, 2018",2461672130.996572,94374790.64042506,92979919.76835452,0.0,3807547.1816041963
"Week 36, 2018",2461672130.996572,94374790.64042506,92979919.76835452,0.0,3807547.1816041963
"Week 37, 2018",2461672130.996572,94374790.64042506,92979919.76835452,0.0,3807547.1816041963
"Week 38, 2018",2461672130.996572,94374790.64042506,92979919.76835452,0.0,3807547.1816041963
"Week 39, 2018",2461672130.996572,94374790.64042506,92979919.76835452,0.0,3807547.1816041963
"Week 40, 2018",2461672130.996572,94374790.64042506,92979919.76835452,0.0,3807547.1816041963
"Week 41, 2018",2500408172.5386705,95859840.48306774,94443020.39389145,0.0,3867461.4585474916
"Week 42, 2018",2112513394.7622507,80988855.84534353,79791830.71591666,0.0,3267492.1737330756
"Week 43, 2018",2455183352.5465717,94126025.94913249,92734831.84942383,0.0,3797510.780010232
"Week 44, 2018",2461672130.996572,94374790.64042506,92979919.76835452,0.0,3807547.1816041963
"Week 45, 2018",2461672130.996572,94374790.64042506,92979919.76835452,0.0,3807547.1816041963
"Week 46, 2018",2461672130.996572,94374790.64042506,92979919.76835452,0.0,3807547.1816041963
"Week 47, 2018",2461672130.996572,94374790.64042506,92979919.76835452,0.0,3807547.1816041963
"Week 48, 2018",2461672130.996572,94374790.64042506,92979919.76835452,0.0,3807547.1816041963
"Week 49, 2018",2461672130.996572,94374790.64042506,92979919.76835452,0.0,3807547.1816041963
"Week 50, 2018",2500408172.5386705,95859840.48306774,94443020.39389145,0.0,3867461.4585474916
"Week 51, 2018",1982191631.8919628,75992622.21540216,74869442.0260612,0.0,3065919.3262891015
"Week 52, 2018",1986233463.5864072,76147576.65273927,75022106.21798775,0.0,3072170.9569116044
"Week 1, 2019",314945492.28998893,12074278.505147807,11895819.201833775,0.0,487136.2869279538
