Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",257657.7432,4261.395856102415,0.678912693867408,10849.071489849997,234.9838617984
"Week 2, 2018",257657.7432,4261.395856102415,0.678912693867408,10849.071489849997,234.9838617984
"Week 3, 2018",257657.7432,4261.395856102415,0.678912693867408,10849.071489849997,234.9838617984
"Week 4, 2018",257657.7432,4261.395856102415,0.678912693867408,10849.071489849997,234.9838617984
"Week 5, 2018",257657.7432,4261.395856102415,0.678912693867408,10849.071489849997,234.9838617984
"Week 6, 2018",257657.7432,4261.395856102415,0.678912693867408,10849.071489849997,234.9838617984
"Week 7, 2018",257657.7432,4261.395856102415,0.678912693867408,10849.071489849997,234.9838617984
"Week 8, 2018",257657.7432,4261.395856102415,0.678912693867408,10849.071489849997,234.9838617984
"Week 9, 2018",257657.7432,4261.395856102415,0.678912693867408,10849.071489849997,234.9838617984
"Week 10, 2018",257657.7432,4261.395856102415,0.678912693867408,10849.071489849997,234.9838617984
"Week 11, 2018",257657.7432,4261.395856102415,0.678912693867408,10849.071489849997,234.9838617984
"Week 12, 2018",257657.7432,4261.395856102415,0.678912693867408,10849.071489849997,234.9838617984
"Week 13, 2018",257657.7432,4261.395856102415,0.678912693867408,10849.071489849997,234.9838617984
"Week 14, 2018",257657.7432,4261.395856102415,0.678912693867408,10849.071489849997,234.9838617984
"Week 15, 2018",257657.7432,4261.395856102415,0.678912693867408,10849.071489849997,234.9838617984
"Week 16, 2018",257657.7432,4261.395856102415,0.678912693867408,10849.071489849997,234.9838617984
"Week 17, 2018",257657.7432,4261.395856102415,0.678912693867408,10849.071489849997,234.9838617984
"Week 18, 2018",257657.7432,4261.395856102415,0.678912693867408,10849.071489849997,234.9838617984
"Week 19, 2018",257657.7432,4261.395856102415,0.678912693867408,10849.071489849997,234.9838617984
"Week 20, 2018",257657.7432,4261.395856102415,0.678912693867408,10849.071489849997,234.9838617984
"Week 21, 2018",257657.7432,4261.395856102415,0.678912693867408,10849.071489849997,234.9838617984
"Week 22, 2018",257657.7432,4261.395856102415,0.678912693867408,10849.071489849997,234.9838617984
"Week 23, 2018",257657.7432,4261.395856102415,0.678912693867408,10849.071489849997,234.9838617984
"Week 24, 2018",257657.7432,4261.395856102415,0.678912693867408,10849.071489849997,234.9838617984
"Week 25, 2018",257657.7432,4261.395856102415,0.678912693867408,10849.071489849997,234.9838617984
"Week 26, 2018",257657.7432,4261.395856102415,0.678912693867408,10849.071489849997,234.9838617984
"Week 27, 2018",257657.7432,4261.395856102415,0.678912693867408,10849.071489849997,234.9838617984
"Week 28, 2018",257657.7432,4261.395856102415,0.678912693867408,10849.071489849997,234.9838617984
"Week 29, 2018",257657.7432,4261.395856102415,0.678912693867408,10849.071489849997,234.9838617984
"Week 30, 2018",257657.7432,4261.395856102415,0.678912693867408,10849.071489849997,234.9838617984
"Week 31, 2018",257657.7432,4261.395856102415,0.678912693867408,10849.071489849997,234.9838617984
"Week 32, 2018",257657.7432,4261.395856102415,0.678912693867408,10849.071489849997,234.9838617984
"Week 33, 2018",257657.7432,4261.395856102415,0.678912693867408,10849.071489849997,234.9838617984
"Week 34, 2018",257657.7432,4261.395856102415,0.678912693867408,10849.071489849997,234.9838617984
"Week 35, 2018",257657.7432,4261.395856102415,0.678912693867408,10849.071489849997,234.9838617984
"Week 36, 2018",257657.7432,4261.395856102415,0.678912693867408,10849.071489849997,234.9838617984
"Week 37, 2018",257657.7432,4261.395856102415,0.678912693867408,10849.071489849997,234.9838617984
"Week 38, 2018",257657.7432,4261.395856102415,0.678912693867408,10849.071489849997,234.9838617984
"Week 39, 2018",257657.7432,4261.395856102415,0.678912693867408,10849.071489849997,234.9838617984
"Week 40, 2018",257657.7432,4261.395856102415,0.678912693867408,10849.071489849997,234.9838617984
"Week 41, 2018",257657.7432,4261.395856102415,0.678912693867408,10849.071489849997,234.9838617984
"Week 42, 2018",257657.7432,4261.395856102415,0.678912693867408,10849.071489849997,234.9838617984
"Week 43, 2018",257657.7432,4261.395856102415,0.678912693867408,10849.071489849997,234.9838617984
"Week 44, 2018",257657.7432,4261.395856102415,0.678912693867408,10849.071489849997,234.9838617984
"Week 45, 2018",257657.7432,4261.395856102415,0.678912693867408,10849.071489849997,234.9838617984
"Week 46, 2018",257657.7432,4261.395856102415,0.678912693867408,10849.071489849997,234.9838617984
"Week 47, 2018",257657.7432,4261.395856102415,0.678912693867408,10849.071489849997,234.9838617984
"Week 48, 2018",257657.7432,4261.395856102415,0.678912693867408,10849.071489849997,234.9838617984
"Week 49, 2018",257657.7432,4261.395856102415,0.678912693867408,10849.071489849997,234.9838617984
"Week 50, 2018",257657.7432,4261.395856102415,0.678912693867408,10849.071489849997,234.9838617984
"Week 51, 2018",257657.7432,4261.395856102415,0.678912693867408,10849.071489849997,234.9838617984
"Week 52, 2018",257657.7432,4261.395856102415,0.678912693867408,10849.071489849997,234.9838617984
"Week 1, 2019",39039.051999999996,645.6660388033961,0.10286555967687999,1643.7987105833329,35.603615424
