Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",18300.544884617353,1363.0245830063004,0.0,2412.8975621649824,291.34467456310824
"Week 2, 2018",19740.50192130195,1470.2725830985694,0.0,2602.7535935205888,314.2687905871271
"Week 3, 2018",19740.50192130195,1470.2725830985694,0.0,2602.7535935205888,314.2687905871271
"Week 4, 2018",19740.50192130195,1470.2725830985694,0.0,2602.7535935205888,314.2687905871271
"Week 5, 2018",19740.50192130195,1470.2725830985694,0.0,2602.7535935205888,314.2687905871271
"Week 6, 2018",19740.50192130195,1470.2725830985694,0.0,2602.7535935205888,314.2687905871271
"Week 7, 2018",19740.50192130195,1470.2725830985694,0.0,2602.7535935205888,314.2687905871271
"Week 8, 2018",18300.544884617353,1363.0245830063004,0.0,2412.8975621649824,291.34467456310824
"Week 9, 2018",19740.50192130195,1470.2725830985694,0.0,2602.7535935205888,314.2687905871271
"Week 10, 2018",19740.50192130195,1470.2725830985694,0.0,2602.7535935205888,314.2687905871271
"Week 11, 2018",19740.50192130195,1470.2725830985694,0.0,2602.7535935205888,314.2687905871271
"Week 12, 2018",19740.50192130195,1470.2725830985694,0.0,2602.7535935205888,314.2687905871271
"Week 13, 2018",19740.50192130195,1470.2725830985694,0.0,2602.7535935205888,314.2687905871271
"Week 14, 2018",19740.50192130195,1470.2725830985694,0.0,2602.7535935205888,314.2687905871271
"Week 15, 2018",19740.50192130195,1470.2725830985694,0.0,2602.7535935205888,314.2687905871271
"Week 16, 2018",19740.50192130195,1470.2725830985694,0.0,2602.7535935205888,314.2687905871271
"Week 17, 2018",19740.50192130195,1470.2725830985694,0.0,2602.7535935205888,314.2687905871271
"Week 18, 2018",18300.544884617353,1363.0245830063004,0.0,2412.8975621649824,291.34467456310824
"Week 19, 2018",19740.50192130195,1470.2725830985694,0.0,2602.7535935205888,314.2687905871271
"Week 20, 2018",19740.50192130195,1470.2725830985694,0.0,2602.7535935205888,314.2687905871271
"Week 21, 2018",19740.50192130195,1470.2725830985694,0.0,2602.7535935205888,314.2687905871271
"Week 22, 2018",19740.50192130195,1470.2725830985694,0.0,2602.7535935205888,314.2687905871271
"Week 23, 2018",19740.50192130195,1470.2725830985694,0.0,2602.7535935205888,314.2687905871271
"Week 24, 2018",19740.50192130195,1470.2725830985694,0.0,2602.7535935205888,314.2687905871271
"Week 25, 2018",19740.50192130195,1470.2725830985694,0.0,2602.7535935205888,314.2687905871271
"Week 26, 2018",19740.50192130195,1470.2725830985694,0.0,2602.7535935205888,314.2687905871271
"Week 27, 2018",19740.50192130195,1470.2725830985694,0.0,2602.7535935205888,314.2687905871271
"Week 28, 2018",18300.544884617353,1363.0245830063004,0.0,2412.8975621649824,291.34467456310824
"Week 29, 2018",18300.544884617353,1363.0245830063004,0.0,2412.8975621649824,291.34467456310824
"Week 30, 2018",18300.544884617353,1363.0245830063004,0.0,2412.8975621649824,291.34467456310824
"Week 31, 2018",18300.544884617353,1363.0245830063004,0.0,2412.8975621649824,291.34467456310824
"Week 32, 2018",18300.544884617353,1363.0245830063004,0.0,2412.8975621649824,291.34467456310824
"Week 33, 2018",18300.544884617353,1363.0245830063004,0.0,2412.8975621649824,291.34467456310824
"Week 34, 2018",19740.50192130195,1470.2725830985694,0.0,2602.7535935205888,314.2687905871271
"Week 35, 2018",19740.50192130195,1470.2725830985694,0.0,2602.7535935205888,314.2687905871271
"Week 36, 2018",19740.50192130195,1470.2725830985694,0.0,2602.7535935205888,314.2687905871271
"Week 37, 2018",19740.50192130195,1470.2725830985694,0.0,2602.7535935205888,314.2687905871271
"Week 38, 2018",19740.50192130195,1470.2725830985694,0.0,2602.7535935205888,314.2687905871271
"Week 39, 2018",19740.50192130195,1470.2725830985694,0.0,2602.7535935205888,314.2687905871271
"Week 40, 2018",19740.50192130195,1470.2725830985694,0.0,2602.7535935205888,314.2687905871271
"Week 41, 2018",19740.50192130195,1470.2725830985694,0.0,2602.7535935205888,314.2687905871271
"Week 42, 2018",18300.544884617353,1363.0245830063004,0.0,2412.8975621649824,291.34467456310824
"Week 43, 2018",19740.50192130195,1470.2725830985694,0.0,2602.7535935205888,314.2687905871271
"Week 44, 2018",19740.50192130195,1470.2725830985694,0.0,2602.7535935205888,314.2687905871271
"Week 45, 2018",19740.50192130195,1470.2725830985694,0.0,2602.7535935205888,314.2687905871271
"Week 46, 2018",19740.50192130195,1470.2725830985694,0.0,2602.7535935205888,314.2687905871271
"Week 47, 2018",19740.50192130195,1470.2725830985694,0.0,2602.7535935205888,314.2687905871271
"Week 48, 2018",19740.50192130195,1470.2725830985694,0.0,2602.7535935205888,314.2687905871271
"Week 49, 2018",19740.50192130195,1470.2725830985694,0.0,2602.7535935205888,314.2687905871271
"Week 50, 2018",19740.50192130195,1470.2725830985694,0.0,2602.7535935205888,314.2687905871271
"Week 51, 2018",18300.544884617353,1363.0245830063004,0.0,2412.8975621649824,291.34467456310824
"Week 52, 2018",18300.544884617353,1363.0245830063004,0.0,2412.8975621649824,291.34467456310824
"Week 1, 2019",2696.646814184456,200.84625472045826,0.0,355.5485678153178,42.93061728181654
