Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",1209944.2015488937,50667.26794992161,25177.969727055613,26740.611190349406,1037.4447556280509
"Week 2, 2018",1396789.4887124123,58491.54630736577,29066.07049882991,30870.022423026763,1197.6518652067125
"Week 3, 2018",1400634.6292703138,58652.56428381698,29146.084794066977,30955.002712613223,1200.948811381041
"Week 4, 2018",1400634.6292703138,58652.56428381698,29146.084794066977,30955.002712613223,1200.948811381041
"Week 5, 2018",1400634.6292703138,58652.56428381698,29146.084794066977,30955.002712613223,1200.948811381041
"Week 6, 2018",1400634.6292703138,58652.56428381698,29146.084794066977,30955.002712613223,1200.948811381041
"Week 7, 2018",1424140.604299369,59636.89358900039,29635.225307264904,31474.5011639446,1221.1035842115564
"Week 8, 2018",1208281.6247362315,50597.646371714414,25143.372835228263,26703.86708259255,1036.019209232674
"Week 9, 2018",1396789.4887124123,58491.54630736577,29066.07049882991,30870.022423026763,1197.6518652067125
"Week 10, 2018",1400634.6292703138,58652.56428381698,29146.084794066977,30955.002712613223,1200.948811381041
"Week 11, 2018",1400634.6292703138,58652.56428381698,29146.084794066977,30955.002712613223,1200.948811381041
"Week 12, 2018",1400634.6292703138,58652.56428381698,29146.084794066977,30955.002712613223,1200.948811381041
"Week 13, 2018",1400634.6292703138,58652.56428381698,29146.084794066977,30955.002712613223,1200.948811381041
"Week 14, 2018",1400634.6292703138,58652.56428381698,29146.084794066977,30955.002712613223,1200.948811381041
"Week 15, 2018",1400634.6292703138,58652.56428381698,29146.084794066977,30955.002712613223,1200.948811381041
"Week 16, 2018",1400634.6292703138,58652.56428381698,29146.084794066977,30955.002712613223,1200.948811381041
"Week 17, 2018",1424140.604299369,59636.89358900039,29635.225307264904,31474.5011639446,1221.1035842115564
"Week 18, 2018",1208281.6247362315,50597.646371714414,25143.372835228263,26703.86708259255,1036.019209232674
"Week 19, 2018",1396789.4887124123,58491.54630736577,29066.07049882991,30870.022423026763,1197.6518652067125
"Week 20, 2018",1400634.6292703138,58652.56428381698,29146.084794066977,30955.002712613223,1200.948811381041
"Week 21, 2018",1400634.6292703138,58652.56428381698,29146.084794066977,30955.002712613223,1200.948811381041
"Week 22, 2018",1400634.6292703138,58652.56428381698,29146.084794066977,30955.002712613223,1200.948811381041
"Week 23, 2018",1400634.6292703138,58652.56428381698,29146.084794066977,30955.002712613223,1200.948811381041
"Week 24, 2018",1400634.6292703138,58652.56428381698,29146.084794066977,30955.002712613223,1200.948811381041
"Week 25, 2018",1400634.6292703138,58652.56428381698,29146.084794066977,30955.002712613223,1200.948811381041
"Week 26, 2018",1400634.6292703138,58652.56428381698,29146.084794066977,30955.002712613223,1200.948811381041
"Week 27, 2018",1424140.604299369,59636.89358900039,29635.225307264904,31474.5011639446,1221.1035842115564
"Week 28, 2018",1129627.4341923145,47303.946594012894,23506.64212823725,24965.55458426901,968.5785971916414
"Week 29, 2018",1131290.011004977,47373.5681722201,23541.239020064597,25002.298692025863,970.0041435870182
"Week 30, 2018",1511590.8902363568,63298.936073434386,31454.9957141359,33407.21350863975,1296.086249038051
"Week 31, 2018",1138877.6761058476,47691.30700702581,23699.132253458498,25169.99138566019,976.5100496910215
"Week 32, 2018",1131290.011004977,47373.5681722201,23541.239020064597,25002.298692025863,970.0041435870182
"Week 33, 2018",1209944.2015488937,50667.26794992161,25177.969727055613,26740.611190349406,1037.4447556280509
"Week 34, 2018",1396789.4887124123,58491.54630736577,29066.07049882991,30870.022423026763,1197.6518652067125
"Week 35, 2018",1400634.6292703138,58652.56428381698,29146.084794066977,30955.002712613223,1200.948811381041
"Week 36, 2018",1400634.6292703138,58652.56428381698,29146.084794066977,30955.002712613223,1200.948811381041
"Week 37, 2018",1400634.6292703138,58652.56428381698,29146.084794066977,30955.002712613223,1200.948811381041
"Week 38, 2018",1400634.6292703138,58652.56428381698,29146.084794066977,30955.002712613223,1200.948811381041
"Week 39, 2018",1400634.6292703138,58652.56428381698,29146.084794066977,30955.002712613223,1200.948811381041
"Week 40, 2018",1400634.6292703138,58652.56428381698,29146.084794066977,30955.002712613223,1200.948811381041
"Week 41, 2018",1424140.604299369,59636.89358900039,29635.225307264904,31474.5011639446,1221.1035842115564
"Week 42, 2018",1208281.6247362315,50597.646371714414,25143.372835228263,26703.86708259255,1036.019209232674
"Week 43, 2018",1396789.4887124123,58491.54630736577,29066.07049882991,30870.022423026763,1197.6518652067125
"Week 44, 2018",1400634.6292703138,58652.56428381698,29146.084794066977,30955.002712613223,1200.948811381041
"Week 45, 2018",1400634.6292703138,58652.56428381698,29146.084794066977,30955.002712613223,1200.948811381041
"Week 46, 2018",1400634.6292703138,58652.56428381698,29146.084794066977,30955.002712613223,1200.948811381041
"Week 47, 2018",1400634.6292703138,58652.56428381698,29146.084794066977,30955.002712613223,1200.948811381041
"Week 48, 2018",1400634.6292703138,58652.56428381698,29146.084794066977,30955.002712613223,1200.948811381041
"Week 49, 2018",1400634.6292703138,58652.56428381698,29146.084794066977,30955.002712613223,1200.948811381041
"Week 50, 2018",1424140.604299369,59636.89358900039,29635.225307264904,31474.5011639446,1221.1035842115564
"Week 51, 2018",1129627.4341923145,47303.946594012894,23506.64212823725,24965.55458426901,968.5785971916414
"Week 52, 2018",1131290.011004977,47373.5681722201,23541.239020064597,25002.298692025863,970.0041435870182
"Week 1, 2019",177841.98812599567,7447.258851764888,3700.7493300134297,3930.4320411702984,152.4873937786499
