Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",200166544.3792439,19459590.944916956,0.0,0.0,502017.6933031437
"Week 2, 2018",200166544.3792439,19459590.944916956,0.0,0.0,502017.6933031437
"Week 3, 2018",200166544.3792439,19459590.944916956,0.0,0.0,502017.6933031437
"Week 4, 2018",200166544.3792439,19459590.944916956,0.0,0.0,502017.6933031437
"Week 5, 2018",200166544.3792439,19459590.944916956,0.0,0.0,502017.6933031437
"Week 6, 2018",200166544.3792439,19459590.944916956,0.0,0.0,502017.6933031437
"Week 7, 2018",200166544.3792439,19459590.944916956,0.0,0.0,502017.6933031437
"Week 8, 2018",200166544.3792439,19459590.944916956,0.0,0.0,502017.6933031437
"Week 9, 2018",200166544.3792439,19459590.944916956,0.0,0.0,502017.6933031437
"Week 10, 2018",200166544.3792439,19459590.944916956,0.0,0.0,502017.6933031437
"Week 11, 2018",200166544.3792439,19459590.944916956,0.0,0.0,502017.6933031437
"Week 12, 2018",200166544.3792439,19459590.944916956,0.0,0.0,502017.6933031437
"Week 13, 2018",200166544.3792439,19459590.944916956,0.0,0.0,502017.6933031437
"Week 14, 2018",200166544.3792439,19459590.944916956,0.0,0.0,502017.6933031437
"Week 15, 2018",200166544.3792439,19459590.944916956,0.0,0.0,502017.6933031437
"Week 16, 2018",200166544.3792439,19459590.944916956,0.0,0.0,502017.6933031437
"Week 17, 2018",200166544.3792439,19459590.944916956,0.0,0.0,502017.6933031437
"Week 18, 2018",200166544.3792439,19459590.944916956,0.0,0.0,502017.6933031437
"Week 19, 2018",200166544.3792439,19459590.944916956,0.0,0.0,502017.6933031437
"Week 20, 2018",200166544.3792439,19459590.944916956,0.0,0.0,502017.6933031437
"Week 21, 2018",200166544.3792439,19459590.944916956,0.0,0.0,502017.6933031437
"Week 22, 2018",200166544.3792439,19459590.944916956,0.0,0.0,502017.6933031437
"Week 23, 2018",200166544.3792439,19459590.944916956,0.0,0.0,502017.6933031437
"Week 24, 2018",200166544.3792439,19459590.944916956,0.0,0.0,502017.6933031437
"Week 25, 2018",200166544.3792439,19459590.944916956,0.0,0.0,502017.6933031437
"Week 26, 2018",200166544.3792439,19459590.944916956,0.0,0.0,502017.6933031437
"Week 27, 2018",200166544.3792439,19459590.944916956,0.0,0.0,502017.6933031437
"Week 28, 2018",200166544.3792439,19459590.944916956,0.0,0.0,502017.6933031437
"Week 29, 2018",200166544.3792439,19459590.944916956,0.0,0.0,502017.6933031437
"Week 30, 2018",200166544.3792439,19459590.944916956,0.0,0.0,502017.6933031437
"Week 31, 2018",200166544.3792439,19459590.944916956,0.0,0.0,502017.6933031437
"Week 32, 2018",200166544.3792439,19459590.944916956,0.0,0.0,502017.6933031437
"Week 33, 2018",200166544.3792439,19459590.944916956,0.0,0.0,502017.6933031437
"Week 34, 2018",200166544.3792439,19459590.944916956,0.0,0.0,502017.6933031437
"Week 35, 2018",200166544.3792439,19459590.944916956,0.0,0.0,502017.6933031437
"Week 36, 2018",200166544.3792439,19459590.944916956,0.0,0.0,502017.6933031437
"Week 37, 2018",200166544.3792439,19459590.944916956,0.0,0.0,502017.6933031437
"Week 38, 2018",200166544.3792439,19459590.944916956,0.0,0.0,502017.6933031437
"Week 39, 2018",200166544.3792439,19459590.944916956,0.0,0.0,502017.6933031437
"Week 40, 2018",200166544.3792439,19459590.944916956,0.0,0.0,502017.6933031437
"Week 41, 2018",200166544.3792439,19459590.944916956,0.0,0.0,502017.6933031437
"Week 42, 2018",200166544.3792439,19459590.944916956,0.0,0.0,502017.6933031437
"Week 43, 2018",200166544.3792439,19459590.944916956,0.0,0.0,502017.6933031437
"Week 44, 2018",200166544.3792439,19459590.944916956,0.0,0.0,502017.6933031437
"Week 45, 2018",200166544.3792439,19459590.944916956,0.0,0.0,502017.6933031437
"Week 46, 2018",200166544.3792439,19459590.944916956,0.0,0.0,502017.6933031437
"Week 47, 2018",200166544.3792439,19459590.944916956,0.0,0.0,502017.6933031437
"Week 48, 2018",200166544.3792439,19459590.944916956,0.0,0.0,502017.6933031437
"Week 49, 2018",200166544.3792439,19459590.944916956,0.0,0.0,502017.6933031437
"Week 50, 2018",200166544.3792439,19459590.944916956,0.0,0.0,502017.6933031437
"Week 51, 2018",200166544.3792439,19459590.944916956,0.0,0.0,502017.6933031437
"Week 52, 2018",200166544.3792439,19459590.944916956,0.0,0.0,502017.6933031437
"Week 1, 2019",30328264.299885437,2948422.870441963,0.0,0.0,76063.28686411268
