Week number,Kilometers,electricity consumption kWh,gasoline consumption litres,diesel consumption litres,hydrogen consumption kg,LPG consumption litres,CNG consumption kg
"Week 1, 2018",224.35058472979833,34.34296089925438,15.36084189274562,13.183342006630406,1.7988044000629493,21.77499930985331,10.911168192914479
"Week 2, 2018",259.06313436163003,39.65666104474405,17.73754167817671,15.223129040257813,2.077123652452439,25.14412689731526,12.599394091206513
"Week 3, 2018",260.056172771126,39.80867259091342,17.80553305881012,15.281482197633682,2.0850856636171717,25.240509131876745,12.647689972053382
"Week 4, 2018",260.056172771126,39.80867259091342,17.80553305881012,15.281482197633682,2.0850856636171717,25.240509131876745,12.647689972053382
"Week 5, 2018",260.056172771126,39.80867259091342,17.80553305881012,15.281482197633682,2.0850856636171717,25.240509131876745,12.647689972053382
"Week 6, 2018",260.056172771126,39.80867259091342,17.80553305881012,15.281482197633682,2.0850856636171717,25.240509131876745,12.647689972053382
"Week 7, 2018",264.5418038168985,40.495320463032755,18.11265536636411,15.545067907754289,2.121050681813635,25.675875115181793,12.865846188809973
"Week 8, 2018",223.58330458891098,34.22550779830077,15.30830773534278,13.138254909913469,1.7926524798654986,21.700528701459714,10.87385194219738
"Week 9, 2018",259.06313436163003,39.65666104474405,17.73754167817671,15.223129040257813,2.077123652452439,25.14412689731526,12.599394091206513
"Week 10, 2018",260.056172771126,39.80867259091342,17.80553305881012,15.281482197633682,2.0850856636171717,25.240509131876745,12.647689972053382
"Week 11, 2018",260.056172771126,39.80867259091342,17.80553305881012,15.281482197633682,2.0850856636171717,25.240509131876745,12.647689972053382
"Week 12, 2018",260.056172771126,39.80867259091342,17.80553305881012,15.281482197633682,2.0850856636171717,25.240509131876745,12.647689972053382
"Week 13, 2018",260.056172771126,39.80867259091342,17.80553305881012,15.281482197633682,2.0850856636171717,25.240509131876745,12.647689972053382
"Week 14, 2018",260.056172771126,39.80867259091342,17.80553305881012,15.281482197633682,2.0850856636171717,25.240509131876745,12.647689972053382
"Week 15, 2018",260.056172771126,39.80867259091342,17.80553305881012,15.281482197633682,2.0850856636171717,25.240509131876745,12.647689972053382
"Week 16, 2018",260.056172771126,39.80867259091342,17.80553305881012,15.281482197633682,2.0850856636171717,25.240509131876745,12.647689972053382
"Week 17, 2018",264.5418038168985,40.495320463032755,18.11265536636411,15.545067907754289,2.121050681813635,25.675875115181793,12.865846188809973
"Week 18, 2018",223.58330458891098,34.22550779830077,15.30830773534278,13.138254909913469,1.7926524798654986,21.700528701459714,10.87385194219738
"Week 19, 2018",259.06313436163003,39.65666104474405,17.73754167817671,15.223129040257813,2.077123652452439,25.14412689731526,12.599394091206513
"Week 20, 2018",260.056172771126,39.80867259091342,17.80553305881012,15.281482197633682,2.0850856636171717,25.240509131876745,12.647689972053382
