Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",270960540.4603376,6155788.489759783,7624903.21859649,5662139.218716207,152076.05057386192
"Week 2, 2018",312884795.84093046,7108240.268440006,8804663.154289179,6538211.322066164,175605.9533807387
"Week 3, 2018",314084142.94519126,7135487.50926368,8838413.107621705,6563273.533207136,176279.08449633702
"Week 4, 2018",314084142.94519126,7135487.50926368,8838413.107621705,6563273.533207136,176279.08449633702
"Week 5, 2018",314084142.94519126,7135487.50926368,8838413.107621705,6563273.533207136,176279.08449633702
"Week 6, 2018",314084142.94519126,7135487.50926368,8838413.107621705,6563273.533207136,176279.08449633702
"Week 7, 2018",319501686.2688782,7258565.396464782,8990864.248498114,6676481.472894693,179319.6696349679
"Week 8, 2018",270033854.03378016,6134735.661814697,7598826.010806444,5642774.673788932,151555.94970739688
"Week 9, 2018",312884795.84093046,7108240.268440006,8804663.154289179,6538211.322066164,175605.9533807387
"Week 10, 2018",314084142.94519126,7135487.50926368,8838413.107621705,6563273.533207136,176279.08449633702
"Week 11, 2018",314084142.94519126,7135487.50926368,8838413.107621705,6563273.533207136,176279.08449633702
"Week 12, 2018",314084142.94519126,7135487.50926368,8838413.107621705,6563273.533207136,176279.08449633702
"Week 13, 2018",314084142.94519126,7135487.50926368,8838413.107621705,6563273.533207136,176279.08449633702
"Week 14, 2018",314084142.94519126,7135487.50926368,8838413.107621705,6563273.533207136,176279.08449633702
"Week 15, 2018",314084142.94519126,7135487.50926368,8838413.107621705,6563273.533207136,176279.08449633702
"Week 16, 2018",314084142.94519126,7135487.50926368,8838413.107621705,6563273.533207136,176279.08449633702
"Week 17, 2018",319501686.2688782,7258565.396464782,8990864.248498114,6676481.472894693,179319.6696349679
"Week 18, 2018",270033854.03378016,6134735.661814697,7598826.010806444,5642774.673788932,151555.94970739688
"Week 19, 2018",312884795.84093046,7108240.268440006,8804663.154289179,6538211.322066164,175605.9533807387
"Week 20, 2018",314084142.94519126,7135487.50926368,8838413.107621705,6563273.533207136,176279.08449633702
"Week 21, 2018",314084142.94519126,7135487.50926368,8838413.107621705,6563273.533207136,176279.08449633702
"Week 22, 2018",314084142.94519126,7135487.50926368,8838413.107621705,6563273.533207136,176279.08449633702
"Week 23, 2018",314084142.94519126,7135487.50926368,8838413.107621705,6563273.533207136,176279.08449633702
"Week 24, 2018",314084142.94519126,7135487.50926368,8838413.107621705,6563273.533207136,176279.08449633702
"Week 25, 2018",314084142.94519126,7135487.50926368,8838413.107621705,6563273.533207136,176279.08449633702
"Week 26, 2018",314084142.94519126,7135487.50926368,8838413.107621705,6563273.533207136,176279.08449633702
"Week 27, 2018",319501686.2688782,7258565.396464782,8990864.248498114,6676481.472894693,179319.6696349679
"Week 28, 2018",252588757.10326642,5738411.065232637,7107916.243988672,5278232.414843202,141764.92464314378
"Week 29, 2018",253515443.52982387,5759463.8931777235,7133993.451778718,5297596.959770476,142285.02550960885
"Week 30, 2018",337226293.769882,7661240.024492991,9489639.518702248,7046864.537149303,189267.56943670698
"Week 31, 2018",253025374.06522617,5748330.301680496,7120202.763911037,5287356.200984419,142009.97502234508
"Week 32, 2018",253515443.52982387,5759463.8931777235,7133993.451778718,5297596.959770476,142285.02550960885
"Week 33, 2018",270960540.4603376,6155788.489759783,7624903.21859649,5662139.218716207,152076.05057386192
"Week 34, 2018",312884795.84093046,7108240.268440006,8804663.154289179,6538211.322066164,175605.9533807387
"Week 35, 2018",314084142.94519126,7135487.50926368,8838413.107621705,6563273.533207136,176279.08449633702
"Week 36, 2018",314084142.94519126,7135487.50926368,8838413.107621705,6563273.533207136,176279.08449633702
"Week 37, 2018",314084142.94519126,7135487.50926368,8838413.107621705,6563273.533207136,176279.08449633702
"Week 38, 2018",314084142.94519126,7135487.50926368,8838413.107621705,6563273.533207136,176279.08449633702
"Week 39, 2018",314084142.94519126,7135487.50926368,8838413.107621705,6563273.533207136,176279.08449633702
"Week 40, 2018",314084142.94519126,7135487.50926368,8838413.107621705,6563273.533207136,176279.08449633702
"Week 41, 2018",319501686.2688782,7258565.396464782,8990864.248498114,6676481.472894693,179319.6696349679
"Week 42, 2018",270033854.03378016,6134735.661814697,7598826.010806444,5642774.673788932,151555.94970739688
"Week 43, 2018",312884795.84093046,7108240.268440006,8804663.154289179,6538211.322066164,175605.9533807387
"Week 44, 2018",314084142.94519126,7135487.50926368,8838413.107621705,6563273.533207136,176279.08449633702
"Week 45, 2018",314084142.94519126,7135487.50926368,8838413.107621705,6563273.533207136,176279.08449633702
"Week 46, 2018",314084142.94519126,7135487.50926368,8838413.107621705,6563273.533207136,176279.08449633702
"Week 47, 2018",314084142.94519126,7135487.50926368,8838413.107621705,6563273.533207136,176279.08449633702
"Week 48, 2018",314084142.94519126,7135487.50926368,8838413.107621705,6563273.533207136,176279.08449633702
"Week 49, 2018",314084142.94519126,7135487.50926368,8838413.107621705,6563273.533207136,176279.08449633702
"Week 50, 2018",319501686.2688782,7258565.396464782,8990864.248498114,6676481.472894693,179319.6696349679
"Week 51, 2018",252588757.10326642,5738411.065232637,7107916.243988672,5278232.414843202,141764.92464314378
"Week 52, 2018",253515443.52982387,5759463.8931777235,7133993.451778718,5297596.959770476,142285.02550960885
"Week 1, 2019",39766177.80995166,903423.720768941,1119031.046584306,830975.7375507153,22318.686172832637
