Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",9862941.777356315,939144.8583847026,877.6250851172978,2148988.2541365027,24534.067671173838
"Week 2, 2018",10638995.851399716,1013040.3765697158,946.679991671813,2318078.8892980004,26464.502180356794
"Week 3, 2018",10638995.851399716,1013040.3765697158,946.679991671813,2318078.8892980004,26464.502180356794
"Week 4, 2018",10638995.851399716,1013040.3765697158,946.679991671813,2318078.8892980004,26464.502180356794
"Week 5, 2018",10638995.851399716,1013040.3765697158,946.679991671813,2318078.8892980004,26464.502180356794
"Week 6, 2018",10638995.851399716,1013040.3765697158,946.679991671813,2318078.8892980004,26464.502180356794
"Week 7, 2018",10638995.851399716,1013040.3765697158,946.679991671813,2318078.8892980004,26464.502180356794
"Week 8, 2018",9862941.777356315,939144.8583847026,877.6250851172978,2148988.2541365027,24534.067671173838
"Week 9, 2018",10638995.851399716,1013040.3765697158,946.679991671813,2318078.8892980004,26464.502180356794
"Week 10, 2018",10638995.851399716,1013040.3765697158,946.679991671813,2318078.8892980004,26464.502180356794
"Week 11, 2018",10638995.851399716,1013040.3765697158,946.679991671813,2318078.8892980004,26464.502180356794
"Week 12, 2018",10638995.851399716,1013040.3765697158,946.679991671813,2318078.8892980004,26464.502180356794
"Week 13, 2018",10638995.851399716,1013040.3765697158,946.679991671813,2318078.8892980004,26464.502180356794
"Week 14, 2018",10638995.851399716,1013040.3765697158,946.679991671813,2318078.8892980004,26464.502180356794
"Week 15, 2018",10638995.851399716,1013040.3765697158,946.679991671813,2318078.8892980004,26464.502180356794
"Week 16, 2018",10638995.851399716,1013040.3765697158,946.679991671813,2318078.8892980004,26464.502180356794
"Week 17, 2018",10638995.851399716,1013040.3765697158,946.679991671813,2318078.8892980004,26464.502180356794
"Week 18, 2018",9862941.777356315,939144.8583847026,877.6250851172978,2148988.2541365027,24534.067671173838
"Week 19, 2018",10638995.851399716,1013040.3765697158,946.679991671813,2318078.8892980004,26464.502180356794
"Week 20, 2018",10638995.851399716,1013040.3765697158,946.679991671813,2318078.8892980004,26464.502180356794
"Week 21, 2018",10638995.851399716,1013040.3765697158,946.679991671813,2318078.8892980004,26464.502180356794
"Week 22, 2018",10638995.851399716,1013040.3765697158,946.679991671813,2318078.8892980004,26464.502180356794
"Week 23, 2018",10638995.851399716,1013040.3765697158,946.679991671813,2318078.8892980004,26464.502180356794
"Week 24, 2018",10638995.851399716,1013040.3765697158,946.679991671813,2318078.8892980004,26464.502180356794
"Week 25, 2018",10638995.851399716,1013040.3765697158,946.679991671813,2318078.8892980004,26464.502180356794
"Week 26, 2018",10638995.851399716,1013040.3765697158,946.679991671813,2318078.8892980004,26464.502180356794
"Week 27, 2018",10638995.851399716,1013040.3765697158,946.679991671813,2318078.8892980004,26464.502180356794
"Week 28, 2018",9862941.777356315,939144.8583847026,877.6250851172978,2148988.2541365027,24534.067671173838
"Week 29, 2018",9862941.777356315,939144.8583847026,877.6250851172978,2148988.2541365027,24534.067671173838
"Week 30, 2018",9862941.777356315,939144.8583847026,877.6250851172978,2148988.2541365027,24534.067671173838
"Week 31, 2018",9862941.777356315,939144.8583847026,877.6250851172978,2148988.2541365027,24534.067671173838
"Week 32, 2018",9862941.777356315,939144.8583847026,877.6250851172978,2148988.2541365027,24534.067671173838
"Week 33, 2018",9862941.777356315,939144.8583847026,877.6250851172978,2148988.2541365027,24534.067671173838
"Week 34, 2018",10638995.851399716,1013040.3765697158,946.679991671813,2318078.8892980004,26464.502180356794
"Week 35, 2018",10638995.851399716,1013040.3765697158,946.679991671813,2318078.8892980004,26464.502180356794
"Week 36, 2018",10638995.851399716,1013040.3765697158,946.679991671813,2318078.8892980004,26464.502180356794
"Week 37, 2018",10638995.851399716,1013040.3765697158,946.679991671813,2318078.8892980004,26464.502180356794
"Week 38, 2018",10638995.851399716,1013040.3765697158,946.679991671813,2318078.8892980004,26464.502180356794
"Week 39, 2018",10638995.851399716,1013040.3765697158,946.679991671813,2318078.8892980004,26464.502180356794
"Week 40, 2018",10638995.851399716,1013040.3765697158,946.679991671813,2318078.8892980004,26464.502180356794
"Week 41, 2018",10638995.851399716,1013040.3765697158,946.679991671813,2318078.8892980004,26464.502180356794
"Week 42, 2018",9862941.777356315,939144.8583847026,877.6250851172978,2148988.2541365027,24534.067671173838
"Week 43, 2018",10638995.851399716,1013040.3765697158,946.679991671813,2318078.8892980004,26464.502180356794
"Week 44, 2018",10638995.851399716,1013040.3765697158,946.679991671813,2318078.8892980004,26464.502180356794
"Week 45, 2018",10638995.851399716,1013040.3765697158,946.679991671813,2318078.8892980004,26464.502180356794
"Week 46, 2018",10638995.851399716,1013040.3765697158,946.679991671813,2318078.8892980004,26464.502180356794
"Week 47, 2018",10638995.851399716,1013040.3765697158,946.679991671813,2318078.8892980004,26464.502180356794
"Week 48, 2018",10638995.851399716,1013040.3765697158,946.679991671813,2318078.8892980004,26464.502180356794
"Week 49, 2018",10638995.851399716,1013040.3765697158,946.679991671813,2318078.8892980004,26464.502180356794
"Week 50, 2018",10638995.851399716,1013040.3765697158,946.679991671813,2318078.8892980004,26464.502180356794
"Week 51, 2018",9862941.777356315,939144.8583847026,877.6250851172978,2148988.2541365027,24534.067671173838
"Week 52, 2018",9862941.777356315,939144.8583847026,877.6250851172978,2148988.2541365027,24534.067671173838
"Week 1, 2019",1453337.6295676678,138386.15223695827,129.32100681987197,316660.6440287289,3615.1773535495745
