Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",568565459.4580144,11155922.549088852,18744305.69156427,12091513.529989712,213168.59468151635
"Week 2, 2018",656047034.0045031,12872413.858714456,21628373.565194648,13951958.311953792,245967.4993571149
"Week 3, 2018",658584734.7226245,12922206.52936159,21712035.766657807,14005926.842855195,246918.94318263303
"Week 4, 2018",658584734.7226245,12922206.52936159,21712035.766657807,14005926.842855195,246918.94318263303
"Week 5, 2018",658584734.7226245,12922206.52936159,21712035.766657807,14005926.842855195,246918.94318263303
"Week 6, 2018",658584734.7226245,12922206.52936159,21712035.766657807,14005926.842855195,246918.94318263303
"Week 7, 2018",670047724.4894167,13147123.861028614,22089944.37991202,14249706.857194133,251216.68828618713
"Week 8, 2018",566604681.963498,11117449.790146243,18679663.33220359,12049814.254717443,212433.4529734927
"Week 9, 2018",656047034.0045031,12872413.858714456,21628373.565194648,13951958.311953792,245967.4993571149
"Week 10, 2018",658584734.7226245,12922206.52936159,21712035.766657807,14005926.842855195,246918.94318263303
"Week 11, 2018",658584734.7226245,12922206.52936159,21712035.766657807,14005926.842855195,246918.94318263303
"Week 12, 2018",658584734.7226245,12922206.52936159,21712035.766657807,14005926.842855195,246918.94318263303
"Week 13, 2018",658584734.7226245,12922206.52936159,21712035.766657807,14005926.842855195,246918.94318263303
"Week 14, 2018",658584734.7226245,12922206.52936159,21712035.766657807,14005926.842855195,246918.94318263303
"Week 15, 2018",658584734.7226245,12922206.52936159,21712035.766657807,14005926.842855195,246918.94318263303
"Week 16, 2018",658584734.7226245,12922206.52936159,21712035.766657807,14005926.842855195,246918.94318263303
"Week 17, 2018",670047724.4894167,13147123.861028614,22089944.37991202,14249706.857194133,251216.68828618713
"Week 18, 2018",566604681.963498,11117449.790146243,18679663.33220359,12049814.254717443,212433.4529734927
"Week 19, 2018",656047034.0045031,12872413.858714456,21628373.565194648,13951958.311953792,245967.4993571149
"Week 20, 2018",658584734.7226245,12922206.52936159,21712035.766657807,14005926.842855195,246918.94318263303
"Week 21, 2018",658584734.7226245,12922206.52936159,21712035.766657807,14005926.842855195,246918.94318263303
"Week 22, 2018",658584734.7226245,12922206.52936159,21712035.766657807,14005926.842855195,246918.94318263303
"Week 23, 2018",658584734.7226245,12922206.52936159,21712035.766657807,14005926.842855195,246918.94318263303
"Week 24, 2018",658584734.7226245,12922206.52936159,21712035.766657807,14005926.842855195,246918.94318263303
"Week 25, 2018",658584734.7226245,12922206.52936159,21712035.766657807,14005926.842855195,246918.94318263303
"Week 26, 2018",658584734.7226245,12922206.52936159,21712035.766657807,14005926.842855195,246918.94318263303
"Week 27, 2018",670047724.4894167,13147123.861028614,22089944.37991202,14249706.857194133,251216.68828618713
"Week 28, 2018",529692569.6559062,10393190.763895685,17462755.225484625,11264815.275333075,198594.2318663289
"Week 29, 2018",531653347.15042263,10431663.522838293,17527397.584845304,11306514.550605346,199329.37357435253
"Week 30, 2018",708777287.345923,13907043.40309703,23366769.683677442,15073357.02007325,265737.3144505357
"Week 31, 2018",530616408.27941465,10411317.563475704,17493212.076636333,11284462.27820646,198940.60074577777
"Week 32, 2018",531653347.15042263,10431663.522838293,17527397.584845304,11306514.550605346,199329.37357435253
"Week 33, 2018",568565459.4580144,11155922.549088852,18744305.69156427,12091513.529989712,213168.59468151635
"Week 34, 2018",656047034.0045031,12872413.858714456,21628373.565194648,13951958.311953792,245967.4993571149
"Week 35, 2018",658584734.7226245,12922206.52936159,21712035.766657807,14005926.842855195,246918.94318263303
"Week 36, 2018",658584734.7226245,12922206.52936159,21712035.766657807,14005926.842855195,246918.94318263303
"Week 37, 2018",658584734.7226245,12922206.52936159,21712035.766657807,14005926.842855195,246918.94318263303
"Week 38, 2018",658584734.7226245,12922206.52936159,21712035.766657807,14005926.842855195,246918.94318263303
"Week 39, 2018",658584734.7226245,12922206.52936159,21712035.766657807,14005926.842855195,246918.94318263303
"Week 40, 2018",658584734.7226245,12922206.52936159,21712035.766657807,14005926.842855195,246918.94318263303
"Week 41, 2018",670047724.4894167,13147123.861028614,22089944.37991202,14249706.857194133,251216.68828618713
"Week 42, 2018",566604681.963498,11117449.790146243,18679663.33220359,12049814.254717443,212433.4529734927
"Week 43, 2018",656047034.0045031,12872413.858714456,21628373.565194648,13951958.311953792,245967.4993571149
"Week 44, 2018",658584734.7226245,12922206.52936159,21712035.766657807,14005926.842855195,246918.94318263303
"Week 45, 2018",658584734.7226245,12922206.52936159,21712035.766657807,14005926.842855195,246918.94318263303
"Week 46, 2018",658584734.7226245,12922206.52936159,21712035.766657807,14005926.842855195,246918.94318263303
"Week 47, 2018",658584734.7226245,12922206.52936159,21712035.766657807,14005926.842855195,246918.94318263303
"Week 48, 2018",658584734.7226245,12922206.52936159,21712035.766657807,14005926.842855195,246918.94318263303
"Week 49, 2018",658584734.7226245,12922206.52936159,21712035.766657807,14005926.842855195,246918.94318263303
"Week 50, 2018",670047724.4894167,13147123.861028614,22089944.37991202,14249706.857194133,251216.68828618713
"Week 51, 2018",529692569.6559062,10393190.763895685,17462755.225484625,11264815.275333075,198594.2318663289
"Week 52, 2018",531653347.15042263,10431663.522838293,17527397.584845304,11306514.550605346,199329.37357435253
"Week 1, 2019",83189239.78370473,1632270.6568022233,2742559.3919142205,1769160.9675921644,31189.607181238807
