Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",125233.74267444515,908.5708031030997,0.0,4289.944472184456,161.80199553538316
"Week 2, 2018",125233.74267444515,908.5708031030997,0.0,4289.944472184456,161.80199553538316
"Week 3, 2018",125233.74267444515,908.5708031030997,0.0,4289.944472184456,161.80199553538316
"Week 4, 2018",125233.74267444515,908.5708031030997,0.0,4289.944472184456,161.80199553538316
"Week 5, 2018",125233.74267444515,908.5708031030997,0.0,4289.944472184456,161.80199553538316
"Week 6, 2018",125233.74267444515,908.5708031030997,0.0,4289.944472184456,161.80199553538316
"Week 7, 2018",125233.74267444515,908.5708031030997,0.0,4289.944472184456,161.80199553538316
"Week 8, 2018",125233.74267444515,908.5708031030997,0.0,4289.944472184456,161.80199553538316
"Week 9, 2018",125233.74267444515,908.5708031030997,0.0,4289.944472184456,161.80199553538316
"Week 10, 2018",125233.74267444515,908.5708031030997,0.0,4289.944472184456,161.80199553538316
"Week 11, 2018",125233.74267444515,908.5708031030997,0.0,4289.944472184456,161.80199553538316
"Week 12, 2018",125233.74267444515,908.5708031030997,0.0,4289.944472184456,161.80199553538316
"Week 13, 2018",125233.74267444515,908.5708031030997,0.0,4289.944472184456,161.80199553538316
"Week 14, 2018",125233.74267444515,908.5708031030997,0.0,4289.944472184456,161.80199553538316
"Week 15, 2018",125233.74267444515,908.5708031030997,0.0,4289.944472184456,161.80199553538316
"Week 16, 2018",125233.74267444515,908.5708031030997,0.0,4289.944472184456,161.80199553538316
"Week 17, 2018",125233.74267444515,908.5708031030997,0.0,4289.944472184456,161.80199553538316
"Week 18, 2018",125233.74267444515,908.5708031030997,0.0,4289.944472184456,161.80199553538316
"Week 19, 2018",125233.74267444515,908.5708031030997,0.0,4289.944472184456,161.80199553538316
"Week 20, 2018",125233.74267444515,908.5708031030997,0.0,4289.944472184456,161.80199553538316
"Week 21, 2018",125233.74267444515,908.5708031030997,0.0,4289.944472184456,161.80199553538316
"Week 22, 2018",125233.74267444515,908.5708031030997,0.0,4289.944472184456,161.80199553538316
"Week 23, 2018",125233.74267444515,908.5708031030997,0.0,4289.944472184456,161.80199553538316
"Week 24, 2018",125233.74267444515,908.5708031030997,0.0,4289.944472184456,161.80199553538316
"Week 25, 2018",125233.74267444515,908.5708031030997,0.0,4289.944472184456,161.80199553538316
"Week 26, 2018",125233.74267444515,908.5708031030997,0.0,4289.944472184456,161.80199553538316
"Week 27, 2018",125233.74267444515,908.5708031030997,0.0,4289.944472184456,161.80199553538316
"Week 28, 2018",125233.74267444515,908.5708031030997,0.0,4289.944472184456,161.80199553538316
"Week 29, 2018",125233.74267444515,908.5708031030997,0.0,4289.944472184456,161.80199553538316
"Week 30, 2018",125233.74267444515,908.5708031030997,0.0,4289.944472184456,161.80199553538316
"Week 31, 2018",125233.74267444515,908.5708031030997,0.0,4289.944472184456,161.80199553538316
"Week 32, 2018",125233.74267444515,908.5708031030997,0.0,4289.944472184456,161.80199553538316
"Week 33, 2018",125233.74267444515,908.5708031030997,0.0,4289.944472184456,161.80199553538316
"Week 34, 2018",125233.74267444515,908.5708031030997,0.0,4289.944472184456,161.80199553538316
"Week 35, 2018",125233.74267444515,908.5708031030997,0.0,4289.944472184456,161.80199553538316
"Week 36, 2018",125233.74267444515,908.5708031030997,0.0,4289.944472184456,161.80199553538316
"Week 37, 2018",125233.74267444515,908.5708031030997,0.0,4289.944472184456,161.80199553538316
"Week 38, 2018",125233.74267444515,908.5708031030997,0.0,4289.944472184456,161.80199553538316
"Week 39, 2018",125233.74267444515,908.5708031030997,0.0,4289.944472184456,161.80199553538316
"Week 40, 2018",125233.74267444515,908.5708031030997,0.0,4289.944472184456,161.80199553538316
"Week 41, 2018",125233.74267444515,908.5708031030997,0.0,4289.944472184456,161.80199553538316
"Week 42, 2018",125233.74267444515,908.5708031030997,0.0,4289.944472184456,161.80199553538316
"Week 43, 2018",125233.74267444515,908.5708031030997,0.0,4289.944472184456,161.80199553538316
"Week 44, 2018",125233.74267444515,908.5708031030997,0.0,4289.944472184456,161.80199553538316
"Week 45, 2018",125233.74267444515,908.5708031030997,0.0,4289.944472184456,161.80199553538316
"Week 46, 2018",125233.74267444515,908.5708031030997,0.0,4289.944472184456,161.80199553538316
"Week 47, 2018",125233.74267444515,908.5708031030997,0.0,4289.944472184456,161.80199553538316
"Week 48, 2018",125233.74267444515,908.5708031030997,0.0,4289.944472184456,161.80199553538316
"Week 49, 2018",125233.74267444515,908.5708031030997,0.0,4289.944472184456,161.80199553538316
"Week 50, 2018",125233.74267444515,908.5708031030997,0.0,4289.944472184456,161.80199553538316
"Week 51, 2018",125233.74267444515,908.5708031030997,0.0,4289.944472184456,161.80199553538316
"Week 52, 2018",125233.74267444515,908.5708031030997,0.0,4289.944472184456,161.80199553538316
"Week 1, 2019",17890.53466777788,129.7958290147285,0.0,612.8492103120651,23.114570790769022
