Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",83572.7591180988,2708.2309703526016,0.0,2777.484935668936,82.56988600868162
"Week 2, 2018",83572.7591180988,2708.2309703526016,0.0,2777.484935668936,82.56988600868162
"Week 3, 2018",83572.7591180988,2708.2309703526016,0.0,2777.484935668936,82.56988600868162
"Week 4, 2018",83572.7591180988,2708.2309703526016,0.0,2777.484935668936,82.56988600868162
"Week 5, 2018",83572.7591180988,2708.2309703526016,0.0,2777.484935668936,82.56988600868162
"Week 6, 2018",83572.7591180988,2708.2309703526016,0.0,2777.484935668936,82.56988600868162
"Week 7, 2018",83572.7591180988,2708.2309703526016,0.0,2777.484935668936,82.56988600868162
"Week 8, 2018",83572.7591180988,2708.2309703526016,0.0,2777.484935668936,82.56988600868162
"Week 9, 2018",83572.7591180988,2708.2309703526016,0.0,2777.484935668936,82.56988600868162
"Week 10, 2018",83572.7591180988,2708.2309703526016,0.0,2777.484935668936,82.56988600868162
"Week 11, 2018",83572.7591180988,2708.2309703526016,0.0,2777.484935668936,82.56988600868162
"Week 12, 2018",83572.7591180988,2708.2309703526016,0.0,2777.484935668936,82.56988600868162
"Week 13, 2018",83572.7591180988,2708.2309703526016,0.0,2777.484935668936,82.56988600868162
"Week 14, 2018",83572.7591180988,2708.2309703526016,0.0,2777.484935668936,82.56988600868162
"Week 15, 2018",83572.7591180988,2708.2309703526016,0.0,2777.484935668936,82.56988600868162
"Week 16, 2018",83572.7591180988,2708.2309703526016,0.0,2777.484935668936,82.56988600868162
"Week 17, 2018",83572.7591180988,2708.2309703526016,0.0,2777.484935668936,82.56988600868162
"Week 18, 2018",83572.7591180988,2708.2309703526016,0.0,2777.484935668936,82.56988600868162
"Week 19, 2018",83572.7591180988,2708.2309703526016,0.0,2777.484935668936,82.56988600868162
"Week 20, 2018",83572.7591180988,2708.2309703526016,0.0,2777.484935668936,82.56988600868162
"Week 21, 2018",83572.7591180988,2708.2309703526016,0.0,2777.484935668936,82.56988600868162
"Week 22, 2018",83572.7591180988,2708.2309703526016,0.0,2777.484935668936,82.56988600868162
"Week 23, 2018",83572.7591180988,2708.2309703526016,0.0,2777.484935668936,82.56988600868162
"Week 24, 2018",83572.7591180988,2708.2309703526016,0.0,2777.484935668936,82.56988600868162
"Week 25, 2018",83572.7591180988,2708.2309703526016,0.0,2777.484935668936,82.56988600868162
"Week 26, 2018",83572.7591180988,2708.2309703526016,0.0,2777.484935668936,82.56988600868162
"Week 27, 2018",83572.7591180988,2708.2309703526016,0.0,2777.484935668936,82.56988600868162
"Week 28, 2018",83572.7591180988,2708.2309703526016,0.0,2777.484935668936,82.56988600868162
"Week 29, 2018",83572.7591180988,2708.2309703526016,0.0,2777.484935668936,82.56988600868162
"Week 30, 2018",83572.7591180988,2708.2309703526016,0.0,2777.484935668936,82.56988600868162
"Week 31, 2018",83572.7591180988,2708.2309703526016,0.0,2777.484935668936,82.56988600868162
"Week 32, 2018",83572.7591180988,2708.2309703526016,0.0,2777.484935668936,82.56988600868162
"Week 33, 2018",83572.7591180988,2708.2309703526016,0.0,2777.484935668936,82.56988600868162
"Week 34, 2018",83572.7591180988,2708.2309703526016,0.0,2777.484935668936,82.56988600868162
"Week 35, 2018",83572.7591180988,2708.2309703526016,0.0,2777.484935668936,82.56988600868162
"Week 36, 2018",83572.7591180988,2708.2309703526016,0.0,2777.484935668936,82.56988600868162
"Week 37, 2018",83572.7591180988,2708.2309703526016,0.0,2777.484935668936,82.56988600868162
"Week 38, 2018",83572.7591180988,2708.2309703526016,0.0,2777.484935668936,82.56988600868162
"Week 39, 2018",83572.7591180988,2708.2309703526016,0.0,2777.484935668936,82.56988600868162
"Week 40, 2018",83572.7591180988,2708.2309703526016,0.0,2777.484935668936,82.56988600868162
"Week 41, 2018",83572.7591180988,2708.2309703526016,0.0,2777.484935668936,82.56988600868162
"Week 42, 2018",83572.7591180988,2708.2309703526016,0.0,2777.484935668936,82.56988600868162
"Week 43, 2018",83572.7591180988,2708.2309703526016,0.0,2777.484935668936,82.56988600868162
"Week 44, 2018",83572.7591180988,2708.2309703526016,0.0,2777.484935668936,82.56988600868162
"Week 45, 2018",83572.7591180988,2708.2309703526016,0.0,2777.484935668936,82.56988600868162
"Week 46, 2018",83572.7591180988,2708.2309703526016,0.0,2777.484935668936,82.56988600868162
"Week 47, 2018",83572.7591180988,2708.2309703526016,0.0,2777.484935668936,82.56988600868162
"Week 48, 2018",83572.7591180988,2708.2309703526016,0.0,2777.484935668936,82.56988600868162
"Week 49, 2018",83572.7591180988,2708.2309703526016,0.0,2777.484935668936,82.56988600868162
"Week 50, 2018",83572.7591180988,2708.2309703526016,0.0,2777.484935668936,82.56988600868162
"Week 51, 2018",83572.7591180988,2708.2309703526016,0.0,2777.484935668936,82.56988600868162
"Week 52, 2018",83572.7591180988,2708.2309703526016,0.0,2777.484935668936,82.56988600868162
"Week 1, 2019",12662.539260318,410.33802581100025,0.0,420.83105085892964,12.510588789194184
