Week number,Kilometers,electricity consumption kWh,gasoline consumption litres,diesel consumption litres,hydrogen consumption kg,CNG consumption kg,LNG consumption kg
"Week 1, 2018",1553.3333330560001,1180.5333331225602,527.9779999057344,453.10733325243524,61.82266665562881,375.129999933024,375.129999933024
"Week 2, 2018",1675.5555552560002,1273.42222199456,569.5213332315144,488.7595554681753,66.68711109918881,404.646666594324,404.646666594324
"Week 3, 2018",1675.5555552560002,1273.42222199456,569.5213332315144,488.7595554681753,66.68711109918881,404.646666594324,404.646666594324
"Week 4, 2018",1675.5555552560002,1273.42222199456,569.5213332315144,488.7595554681753,66.68711109918881,404.646666594324,404.646666594324
"Week 5, 2018",1675.5555552560002,1273.42222199456,569.5213332315144,488.7595554681753,66.68711109918881,404.646666594324,404.646666594324
"Week 6, 2018",1675.5555552560002,1273.42222199456,569.5213332315144,488.7595554681753,66.68711109918881,404.646666594324,404.646666594324
"Week 7, 2018",1675.5555552560002,1273.42222199456,569.5213332315144,488.7595554681753,66.68711109918881,404.646666594324,404.646666594324
"Week 8, 2018",1553.3333330560001,1180.5333331225602,527.9779999057344,453.10733325243524,61.82266665562881,375.129999933024,375.129999933024
"Week 9, 2018",1675.5555552560002,1273.42222199456,569.5213332315144,488.7595554681753,66.68711109918881,404.646666594324,404.646666594324
"Week 10, 2018",1675.5555552560002,1273.42222199456,569.5213332315144,488.7595554681753,66.68711109918881,404.646666594324,404.646666594324
"Week 11, 2018",1675.5555552560002,1273.42222199456,569.5213332315144,488.7595554681753,66.68711109918881,404.646666594324,404.646666594324
"Week 12, 2018",1675.5555552560002,1273.42222199456,569.5213332315144,488.7595554681753,66.68711109918881,404.646666594324,404.646666594324
"Week 13, 2018",1675.5555552560002,1273.42222199456,569.5213332315144,488.7595554681753,66.68711109918881,404.646666594324,404.646666594324
"Week 14, 2018",1675.5555552560002,1273.42222199456,569.5213332315144,488.7595554681753,66.68711109918881,404.646666594324,404.646666594324
"Week 15, 2018",1675.5555552560002,1273.42222199456,569.5213332315144,488.7595554681753,66.68711109918881,404.646666594324,404.646666594324
"Week 16, 2018",1675.5555552560002,1273.42222199456,569.5213332315144,488.7595554681753,66.68711109918881,404.646666594324,404.646666594324
"Week 17, 2018",1675.5555552560002,1273.42222199456,569.5213332315144,488.7595554681753,66.68711109918881,404.646666594324,404.646666594324
"Week 18, 2018",1553.3333330560001,1180.5333331225602,527.9779999057344,453.10733325243524,61.82266665562881,375.129999933024,375.129999933024
"Week 19, 2018",1675.5555552560002,1273.42222199456,569.5213332315144,488.7595554681753,66.68711109918881,404.646666594324,404.646666594324
"Week 20, 2018",1675.5555552560002,1273.42222199456,569.5213332315144,488.7595554681753,66.68711109918881,404.646666594324,404.646666594324
"Week 21, 2018",1675.5555552560002,1273.42222199456,569.5213332315144,488.7595554681753,66.68711109918881,404.646666594324,404.646666594324
"Week 22, 2018",1675.5555552560002,1273.42222199456,569.5213332315144,488.7595554681753,66.68711109918881,404.646666594324,404.646666594324
"Week 23, 2018",1675.5555552560002,1273.42222199456,569.5213332315144,488.7595554681753,66.68711109918881,404.646666594324,404.646666594324
"Week 24, 2018",1675.5555552560002,1273.42222199456,569.5213332315144,488.7595554681753,66.68711109918881,404.646666594324,404.646666594324
"Week 25, 2018",1675.5555552560002,1273.42222199456,569.5213332315144,488.7595554681753,66.68711109918881,404.646666594324,404.646666594324
"Week 26, 2018",1675.5555552560002,1273.42222199456,569.5213332315144,488.7595554681753,66.68711109918881,404.646666594324,404.646666594324
"Week 27, 2018",1675.5555552560002,1273.42222199456,569.5213332315144,488.7595554681753,66.68711109918881,404.646666594324,404.646666594324
"Week 28, 2018",1553.3333330560001,1180.5333331225602,527.9779999057344,453.10733325243524,61.82266665562881,375.129999933024,375.129999933024
"Week 29, 2018",1553.3333330560001,1180.5333331225602,527.9779999057344,453.10733325243524,61.82266665562881,375.129999933024,375.129999933024
"Week 30, 2018",1553.3333330560001,1180.5333331225602,527.9779999057344,453.10733325243524,61.82266665562881,375.129999933024,375.129999933024
