Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",126832773.31068853,34219482.23922376,86220.91929660604,17314652.148172628,630993.0472206754
"Week 2, 2018",136812462.19776294,36912002.300956436,93005.11180203923,18677035.364404924,680641.9994338707
"Week 3, 2018",136812462.19776294,36912002.300956436,93005.11180203923,18677035.364404924,680641.9994338707
"Week 4, 2018",136812462.19776294,36912002.300956436,93005.11180203923,18677035.364404924,680641.9994338707
"Week 5, 2018",136812462.19776294,36912002.300956436,93005.11180203923,18677035.364404924,680641.9994338707
"Week 6, 2018",136812462.19776294,36912002.300956436,93005.11180203923,18677035.364404924,680641.9994338707
"Week 7, 2018",136812462.19776294,36912002.300956436,93005.11180203923,18677035.364404924,680641.9994338707
"Week 8, 2018",126832773.31068853,34219482.23922376,86220.91929660604,17314652.148172628,630993.0472206754
"Week 9, 2018",136812462.19776294,36912002.300956436,93005.11180203923,18677035.364404924,680641.9994338707
"Week 10, 2018",136812462.19776294,36912002.300956436,93005.11180203923,18677035.364404924,680641.9994338707
"Week 11, 2018",136812462.19776294,36912002.300956436,93005.11180203923,18677035.364404924,680641.9994338707
"Week 12, 2018",136812462.19776294,36912002.300956436,93005.11180203923,18677035.364404924,680641.9994338707
"Week 13, 2018",136812462.19776294,36912002.300956436,93005.11180203923,18677035.364404924,680641.9994338707
"Week 14, 2018",136812462.19776294,36912002.300956436,93005.11180203923,18677035.364404924,680641.9994338707
"Week 15, 2018",136812462.19776294,36912002.300956436,93005.11180203923,18677035.364404924,680641.9994338707
"Week 16, 2018",136812462.19776294,36912002.300956436,93005.11180203923,18677035.364404924,680641.9994338707
"Week 17, 2018",136812462.19776294,36912002.300956436,93005.11180203923,18677035.364404924,680641.9994338707
"Week 18, 2018",126832773.31068853,34219482.23922376,86220.91929660604,17314652.148172628,630993.0472206754
"Week 19, 2018",136812462.19776294,36912002.300956436,93005.11180203923,18677035.364404924,680641.9994338707
"Week 20, 2018",136812462.19776294,36912002.300956436,93005.11180203923,18677035.364404924,680641.9994338707
"Week 21, 2018",136812462.19776294,36912002.300956436,93005.11180203923,18677035.364404924,680641.9994338707
"Week 22, 2018",136812462.19776294,36912002.300956436,93005.11180203923,18677035.364404924,680641.9994338707
"Week 23, 2018",136812462.19776294,36912002.300956436,93005.11180203923,18677035.364404924,680641.9994338707
"Week 24, 2018",136812462.19776294,36912002.300956436,93005.11180203923,18677035.364404924,680641.9994338707
"Week 25, 2018",136812462.19776294,36912002.300956436,93005.11180203923,18677035.364404924,680641.9994338707
"Week 26, 2018",136812462.19776294,36912002.300956436,93005.11180203923,18677035.364404924,680641.9994338707
"Week 27, 2018",136812462.19776294,36912002.300956436,93005.11180203923,18677035.364404924,680641.9994338707
"Week 28, 2018",126832773.31068853,34219482.23922376,86220.91929660604,17314652.148172628,630993.0472206754
"Week 29, 2018",126832773.31068853,34219482.23922376,86220.91929660604,17314652.148172628,630993.0472206754
"Week 30, 2018",126832773.31068853,34219482.23922376,86220.91929660604,17314652.148172628,630993.0472206754
"Week 31, 2018",126832773.31068853,34219482.23922376,86220.91929660604,17314652.148172628,630993.0472206754
"Week 32, 2018",126832773.31068853,34219482.23922376,86220.91929660604,17314652.148172628,630993.0472206754
"Week 33, 2018",126832773.31068853,34219482.23922376,86220.91929660604,17314652.148172628,630993.0472206754
"Week 34, 2018",136812462.19776294,36912002.300956436,93005.11180203923,18677035.364404924,680641.9994338707
"Week 35, 2018",136812462.19776294,36912002.300956436,93005.11180203923,18677035.364404924,680641.9994338707
"Week 36, 2018",136812462.19776294,36912002.300956436,93005.11180203923,18677035.364404924,680641.9994338707
"Week 37, 2018",136812462.19776294,36912002.300956436,93005.11180203923,18677035.364404924,680641.9994338707
"Week 38, 2018",136812462.19776294,36912002.300956436,93005.11180203923,18677035.364404924,680641.9994338707
"Week 39, 2018",136812462.19776294,36912002.300956436,93005.11180203923,18677035.364404924,680641.9994338707
"Week 40, 2018",136812462.19776294,36912002.300956436,93005.11180203923,18677035.364404924,680641.9994338707
"Week 41, 2018",136812462.19776294,36912002.300956436,93005.11180203923,18677035.364404924,680641.9994338707
"Week 42, 2018",126832773.31068853,34219482.23922376,86220.91929660604,17314652.148172628,630993.0472206754
"Week 43, 2018",136812462.19776294,36912002.300956436,93005.11180203923,18677035.364404924,680641.9994338707
"Week 44, 2018",136812462.19776294,36912002.300956436,93005.11180203923,18677035.364404924,680641.9994338707
"Week 45, 2018",136812462.19776294,36912002.300956436,93005.11180203923,18677035.364404924,680641.9994338707
"Week 46, 2018",136812462.19776294,36912002.300956436,93005.11180203923,18677035.364404924,680641.9994338707
"Week 47, 2018",136812462.19776294,36912002.300956436,93005.11180203923,18677035.364404924,680641.9994338707
"Week 48, 2018",136812462.19776294,36912002.300956436,93005.11180203923,18677035.364404924,680641.9994338707
"Week 49, 2018",136812462.19776294,36912002.300956436,93005.11180203923,18677035.364404924,680641.9994338707
"Week 50, 2018",136812462.19776294,36912002.300956436,93005.11180203923,18677035.364404924,680641.9994338707
"Week 51, 2018",126832773.31068853,34219482.23922376,86220.91929660604,17314652.148172628,630993.0472206754
"Week 52, 2018",126832773.31068853,34219482.23922376,86220.91929660604,17314652.148172628,630993.0472206754
"Week 1, 2019",18689235.5522169,5042355.7519881185,12704.942328397046,2551372.204952221,92978.94687227908
