Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",9145798695.023735,512740423.4870126,129225071.52150841,165771774.49664012,10714954.717919342
"Week 2, 2018",10600786909.097382,594311349.9779544,149783249.35773408,192144099.77534112,12419577.064066987
"Week 3, 2018",10617269034.75919,595235386.5081265,150016132.66716364,192442845.82361364,12438887.048466425
"Week 4, 2018",10617269034.75919,595235386.5081265,150016132.66716364,192442845.82361364,12438887.048466425
"Week 5, 2018",10617269034.75919,595235386.5081265,150016132.66716364,192442845.82361364,12438887.048466425
"Week 6, 2018",10617269034.75919,595235386.5081265,150016132.66716364,192442845.82361364,12438887.048466425
"Week 7, 2018",10780303075.072,604375555.1976334,152319713.38464946,195397912.19531468,12629893.041237917
"Week 8, 2018",9147232882.653826,512820828.2714753,129245335.79861026,165797769.801843,10716634.97089952
"Week 9, 2018",10600786909.097382,594311349.9779544,149783249.35773408,192144099.77534112,12419577.064066987
"Week 10, 2018",10617269034.75919,595235386.5081265,150016132.66716364,192442845.82361364,12438887.048466425
"Week 11, 2018",10617269034.75919,595235386.5081265,150016132.66716364,192442845.82361364,12438887.048466425
"Week 12, 2018",10617269034.75919,595235386.5081265,150016132.66716364,192442845.82361364,12438887.048466425
"Week 13, 2018",10617269034.75919,595235386.5081265,150016132.66716364,192442845.82361364,12438887.048466425
"Week 14, 2018",10617269034.75919,595235386.5081265,150016132.66716364,192442845.82361364,12438887.048466425
"Week 15, 2018",10617269034.75919,595235386.5081265,150016132.66716364,192442845.82361364,12438887.048466425
"Week 16, 2018",10617269034.75919,595235386.5081265,150016132.66716364,192442845.82361364,12438887.048466425
"Week 17, 2018",10780303075.072,604375555.1976334,152319713.38464946,195397912.19531468,12629893.041237917
"Week 18, 2018",9147232882.653826,512820828.2714753,129245335.79861026,165797769.801843,10716634.97089952
"Week 19, 2018",10600786909.097382,594311349.9779544,149783249.35773408,192144099.77534112,12419577.064066987
"Week 20, 2018",10617269034.75919,595235386.5081265,150016132.66716364,192442845.82361364,12438887.048466425
"Week 21, 2018",10617269034.75919,595235386.5081265,150016132.66716364,192442845.82361364,12438887.048466425
"Week 22, 2018",10617269034.75919,595235386.5081265,150016132.66716364,192442845.82361364,12438887.048466425
"Week 23, 2018",10617269034.75919,595235386.5081265,150016132.66716364,192442845.82361364,12438887.048466425
"Week 24, 2018",10617269034.75919,595235386.5081265,150016132.66716364,192442845.82361364,12438887.048466425
"Week 25, 2018",10617269034.75919,595235386.5081265,150016132.66716364,192442845.82361364,12438887.048466425
"Week 26, 2018",10617269034.75919,595235386.5081265,150016132.66716364,192442845.82361364,12438887.048466425
"Week 27, 2018",10780303075.072,604375555.1976334,152319713.38464946,195397912.19531468,12629893.041237917
"Week 28, 2018",8574771368.042883,480726948.97022426,121156771.56975171,155421643.64025095,10045955.5243745
"Week 29, 2018",8573337180.412794,480646544.18576163,121136507.29264988,155395648.33504808,10044275.271394322
"Week 30, 2018",11372209523.72108,637559574.7967261,160683023.76478472,206126486.65890425,13323353.613245718
"Week 31, 2018",8665787122.132462,485829560.3278601,122442773.77951051,157071345.7128308,10152586.964252759
"Week 32, 2018",8573337180.412794,480646544.18576163,121136507.29264988,155395648.33504808,10044275.271394322
"Week 33, 2018",9145798695.023735,512740423.4870126,129225071.52150841,165771774.49664012,10714954.717919342
"Week 34, 2018",10600786909.097382,594311349.9779544,149783249.35773408,192144099.77534112,12419577.064066987
"Week 35, 2018",10617269034.75919,595235386.5081265,150016132.66716364,192442845.82361364,12438887.048466425
"Week 36, 2018",10617269034.75919,595235386.5081265,150016132.66716364,192442845.82361364,12438887.048466425
"Week 37, 2018",10617269034.75919,595235386.5081265,150016132.66716364,192442845.82361364,12438887.048466425
"Week 38, 2018",10617269034.75919,595235386.5081265,150016132.66716364,192442845.82361364,12438887.048466425
"Week 39, 2018",10617269034.75919,595235386.5081265,150016132.66716364,192442845.82361364,12438887.048466425
"Week 40, 2018",10617269034.75919,595235386.5081265,150016132.66716364,192442845.82361364,12438887.048466425
"Week 41, 2018",10780303075.072,604375555.1976334,152319713.38464946,195397912.19531468,12629893.041237917
"Week 42, 2018",9147232882.653826,512820828.2714753,129245335.79861026,165797769.801843,10716634.97089952
"Week 43, 2018",10600786909.097382,594311349.9779544,149783249.35773408,192144099.77534112,12419577.064066987
"Week 44, 2018",10617269034.75919,595235386.5081265,150016132.66716364,192442845.82361364,12438887.048466425
"Week 45, 2018",10617269034.75919,595235386.5081265,150016132.66716364,192442845.82361364,12438887.048466425
"Week 46, 2018",10617269034.75919,595235386.5081265,150016132.66716364,192442845.82361364,12438887.048466425
"Week 47, 2018",10617269034.75919,595235386.5081265,150016132.66716364,192442845.82361364,12438887.048466425
"Week 48, 2018",10617269034.75919,595235386.5081265,150016132.66716364,192442845.82361364,12438887.048466425
"Week 49, 2018",10617269034.75919,595235386.5081265,150016132.66716364,192442845.82361364,12438887.048466425
"Week 50, 2018",10780303075.072,604375555.1976334,152319713.38464946,195397912.19531468,12629893.041237917
"Week 51, 2018",8574771368.042883,480726948.97022426,121156771.56975171,155421643.64025095,10045955.5243745
"Week 52, 2018",8573337180.412794,480646544.18576163,121136507.29264988,155395648.33504808,10044275.271394322
"Week 1, 2019",1356585112.9346542,76054158.69045502,19167796.503041152,24588724.17006757,1589336.1029263935
