Week number,Kilometers,electricity consumption kWh,gasoline consumption litres,diesel consumption litres,hydrogen consumption kg,LPG consumption litres,CNG consumption kg
"Week 1, 2018",284.296488255671,45.421971178481314,20.316236721989828,17.436277190305873,2.379097066238157,28.799595885432534,14.431101829038102
"Week 2, 2018",329.52469122711796,52.64806863901716,23.548309280169907,20.210182308403414,2.757583222225512,33.38127037671429,16.726919152108163
"Week 3, 2018",330.037036906363,52.72992596627039,23.584922240698884,20.241605142133736,2.761870718387953,33.433171645725515,16.75292620099652
"Week 4, 2018",330.037036906363,52.72992596627039,23.584922240698884,20.241605142133736,2.761870718387953,33.433171645725515,16.75292620099652
"Week 5, 2018",330.037036906363,52.72992596627039,23.584922240698884,20.241605142133736,2.761870718387953,33.433171645725515,16.75292620099652
"Week 6, 2018",330.037036906363,52.72992596627039,23.584922240698884,20.241605142133736,2.761870718387953,33.433171645725515,16.75292620099652
"Week 7, 2018",335.1049382097544,53.53962315370457,23.94708177068501,20.552426188293044,2.804280771346609,33.94655649412952,17.010176651811037
"Week 8, 2018",284.3410698739999,45.429093971292616,20.31942258867772,17.43901143953823,2.3794701415372055,28.80411206007707,14.433364825242363
"Week 9, 2018",329.52469122711796,52.64806863901716,23.548309280169907,20.210182308403414,2.757583222225512,33.38127037671429,16.726919152108163
"Week 10, 2018",330.037036906363,52.72992596627039,23.584922240698884,20.241605142133736,2.761870718387953,33.433171645725515,16.75292620099652
"Week 11, 2018",330.037036906363,52.72992596627039,23.584922240698884,20.241605142133736,2.761870718387953,33.433171645725515,16.75292620099652
"Week 12, 2018",330.037036906363,52.72992596627039,23.584922240698884,20.241605142133736,2.761870718387953,33.433171645725515,16.75292620099652
"Week 13, 2018",330.037036906363,52.72992596627039,23.584922240698884,20.241605142133736,2.761870718387953,33.433171645725515,16.75292620099652
"Week 14, 2018",330.037036906363,52.72992596627039,23.584922240698884,20.241605142133736,2.761870718387953,33.433171645725515,16.75292620099652
"Week 15, 2018",330.037036906363,52.72992596627039,23.584922240698884,20.241605142133736,2.761870718387953,33.433171645725515,16.75292620099652
"Week 16, 2018",330.037036906363,52.72992596627039,23.584922240698884,20.241605142133736,2.761870718387953,33.433171645725515,16.75292620099652
"Week 17, 2018",335.1049382097544,53.53962315370457,23.94708177068501,20.552426188293044,2.804280771346609,33.94655649412952,17.010176651811037
"Week 18, 2018",284.3410698739999,45.429093971292616,20.31942258867772,17.43901143953823,2.3794701415372055,28.80411206007707,14.433364825242363
"Week 19, 2018",329.52469122711796,52.64806863901716,23.548309280169907,20.210182308403414,2.757583222225512,33.38127037671429,16.726919152108163
"Week 20, 2018",330.037036906363,52.72992596627039,23.584922240698884,20.241605142133736,2.761870718387953,33.433171645725515,16.75292620099652
"Week 21, 2018",330.037036906363,52.72992596627039,23.584922240698884,20.241605142133736,2.761870718387953,33.433171645725515,16.75292620099652
"Week 22, 2018",330.037036906363,52.72992596627039,23.584922240698884,20.241605142133736,2.761870718387953,33.433171645725515,16.75292620099652
"Week 23, 2018",330.037036906363,52.72992596627039,23.584922240698884,20.241605142133736,2.761870718387953,33.433171645725515,16.75292620099652
"Week 24, 2018",330.037036906363,52.72992596627039,23.584922240698884,20.241605142133736,2.761870718387953,33.433171645725515,16.75292620099652
"Week 25, 2018",330.037036906363,52.72992596627039,23.584922240698884,20.241605142133736,2.761870718387953,33.433171645725515,16.75292620099652
"Week 26, 2018",330.037036906363,52.72992596627039,23.584922240698884,20.241605142133736,2.761870718387953,33.433171645725515,16.75292620099652
"Week 27, 2018",335.1049382097544,53.53962315370457,23.94708177068501,20.552426188293044,2.804280771346609,33.94655649412952,17.010176651811037
