Variant name,locations.bus_depot.charger_efficiency,locations.bus_route_start.charger_efficiency,locations.bus_route_end.charger_efficiency,locations.bus_depot.proportion_of_discharge_to_network,locations.bus_route_start.proportion_of_discharge_to_network,locations.bus_route_end.proportion_of_discharge_to_network,mobility_module.day_start_hour,run.start.hour,legs.bus_from_depot_to_route_start.distance,legs.bus_from_depot_to_route_start.duration,legs.bus_from_route_start_to_depot.distance,legs.bus_from_route_start_to_depot.duration,legs.bus_from_route_start_to_route_end.distance,legs.bus_from_route_start_to_route_end.duration,legs.bus_from_route_end_to_route_start.distance,legs.bus_from_route_end_to_route_start.duration
Austria_bus_2030,0.9,0.9,0.9,0.9,0.9,0.9,5,5,3.555555556,0.088888889,3.555555556,0.088888889,9.777777778,0.586666667,9.777777778,0.586666667
Belgium_bus_2030,0.9,0.9,0.9,0.9,0.9,0.9,5,5,4.148148148,0.103703704,4.148148148,0.103703704,11.40740741,0.684444444,11.40740741,0.684444444
Bulgaria_bus_2030,0.9,0.9,0.9,0.9,0.9,0.9,4,4,3.851851852,0.096296296,3.851851852,0.096296296,10.59259259,0.635555556,10.59259259,0.635555556
Croatia_bus_2030,0.9,0.9,0.9,0.9,0.9,0.9,4,4,3.555555556,0.088888889,3.555555556,0.088888889,9.777777778,0.586666667,9.777777778,0.586666667
Cyprus_bus_2030,0.9,0.9,0.9,0.9,0.9,0.9,4,4,2.814814815,0.07037037,2.814814815,0.07037037,7.740740741,0.464444444,7.740740741,0.464444444
Czechia_bus_2030,0.9,0.9,0.9,0.9,0.9,0.9,4,4,4,0.1,4,0.1,11,0.66,11,0.66
Denmark_bus_2030,0.9,0.9,0.9,0.9,0.9,0.9,5,5,3.851851852,0.096296296,3.851851852,0.096296296,10.59259259,0.635555556,10.59259259,0.635555556
Estonia_bus_2030,0.9,0.9,0.9,0.9,0.9,0.9,4,4,3.407407407,0.085185185,3.407407407,0.085185185,9.37037037,0.562222222,9.37037037,0.562222222
Finland_bus_2030,0.9,0.9,0.9,0.9,0.9,0.9,4,4,3.407407407,0.085185185,3.407407407,0.085185185,9.37037037,0.562222222,9.37037037,0.562222222
France_bus_2030,0.9,0.9,0.9,0.9,0.9,0.9,5,5,3.851851852,0.096296296,3.851851852,0.096296296,10.59259259,0.635555556,10.59259259,0.635555556
Germany_bus_2030,0.9,0.9,0.9,0.9,0.9,0.9,5,5,3.851851852,0.096296296,3.851851852,0.096296296,10.59259259,0.635555556,10.59259259,0.635555556
Greece_bus_2030,0.9,0.9,0.9,0.9,0.9,0.9,4,4,2.962962963,0.074074074,2.962962963,0.074074074,8.148148148,0.488888889,8.148148148,0.488888889
Hungary_bus_2030,0.9,0.9,0.9,0.9,0.9,0.9,4,4,4.296296296,0.107407407,4.296296296,0.107407407,11.81481481,0.708888889,11.81481481,0.708888889
Italy_bus_2030,0.9,0.9,0.9,0.9,0.9,0.9,5,5,4.148148148,0.103703704,4.148148148,0.103703704,11.40740741,0.684444444,11.40740741,0.684444444
Ireland_bus_2030,0.9,0.9,0.9,0.9,0.9,0.9,5,5,3.111111111,0.077777778,3.111111111,0.077777778,8.555555556,0.513333333,8.555555556,0.513333333
Latvia_bus_2030,0.9,0.9,0.9,0.9,0.9,0.9,4,4,4.888888889,0.122222222,4.888888889,0.122222222,13.44444444,0.806666667,13.44444444,0.806666667
Lithuania_bus_2030,0.9,0.9,0.9,0.9,0.9,0.9,4,4,3.407407407,0.085185185,3.407407407,0.085185185,9.37037037,0.562222222,9.37037037,0.562222222
Luxembourg_bus_2030,0.9,0.9,0.9,0.9,0.9,0.9,5,5,4.296296296,0.107407407,4.296296296,0.107407407,11.81481481,0.708888889,11.81481481,0.708888889
Malta_bus_2030,0.9,0.9,0.9,0.9,0.9,0.9,5,5,3.851851852,0.096296296,3.851851852,0.096296296,10.59259259,0.635555556,10.59259259,0.635555556
Netherlands_bus_2030,0.9,0.9,0.9,0.9,0.9,0.9,5,5,4,0.1,4,0.1,11,0.66,11,0.66
Norway_bus_2030,0.9,0.9,0.9,0.9,0.9,0.9,5,5,4,0.1,4,0.1,11,0.66,11,0.66
Poland_bus_2030,0.9,0.9,0.9,0.9,0.9,0.9,4,4,3.555555556,0.088888889,3.555555556,0.088888889,9.777777778,0.586666667,9.777777778,0.586666667
Portugal_bus_2030,0.9,0.9,0.9,0.9,0.9,0.9,5,5,3.111111111,0.077777778,3.111111111,0.077777778,8.555555556,0.513333333,8.555555556,0.513333333
Romania_bus_2030,0.9,0.9,0.9,0.9,0.9,0.9,4,4,4,0.1,4,0.1,11,0.66,11,0.66
Slovakia_bus_2030,0.9,0.9,0.9,0.9,0.9,0.9,4,4,3.407407407,0.085185185,3.407407407,0.085185185,9.37037037,0.562222222,9.37037037,0.562222222
Slovenia_bus_2030,0.9,0.9,0.9,0.9,0.9,0.9,4,4,3.407407407,0.085185185,3.407407407,0.085185185,9.37037037,0.562222222,9.37037037,0.562222222
Spain_bus_2030,0.9,0.9,0.9,0.9,0.9,0.9,5,5,3.703703704,0.092592593,3.703703704,0.092592593,10.18518519,0.611111111,10.18518519,0.611111111
Sweden_bus_2030,0.9,0.9,0.9,0.9,0.9,0.9,5,5,3.851851852,0.096296296,3.851851852,0.096296296,10.59259259,0.635555556,10.59259259,0.635555556
Switzerland_bus_2030,0.9,0.9,0.9,0.9,0.9,0.9,5,5,3.851851852,0.096296296,3.851851852,0.096296296,10.59259259,0.635555556,10.59259259,0.635555556
United_Kingdom_bus_2030,0.9,0.9,0.9,0.9,0.9,0.9,5,5,4.444444444,0.111111111,4.444444444,0.111111111,12.22222222,0.733333333,12.22222222,0.733333333
Austria_bus_2040,0.94,0.94,0.94,0.94,0.94,0.94,5,5,3.555555556,0.088888889,3.555555556,0.088888889,9.777777778,0.586666667,9.777777778,0.586666667
Belgium_bus_2040,0.94,0.94,0.94,0.94,0.94,0.94,5,5,4.148148148,0.103703704,4.148148148,0.103703704,11.40740741,0.684444444,11.40740741,0.684444444
Bulgaria_bus_2040,0.94,0.94,0.94,0.94,0.94,0.94,4,4,3.851851852,0.096296296,3.851851852,0.096296296,10.59259259,0.635555556,10.59259259,0.635555556
Croatia_bus_2040,0.94,0.94,0.94,0.94,0.94,0.94,4,4,3.555555556,0.088888889,3.555555556,0.088888889,9.777777778,0.586666667,9.777777778,0.586666667
Cyprus_bus_2040,0.94,0.94,0.94,0.94,0.94,0.94,4,4,2.814814815,0.07037037,2.814814815,0.07037037,7.740740741,0.464444444,7.740740741,0.464444444
Czechia_bus_2040,0.94,0.94,0.94,0.94,0.94,0.94,4,4,4,0.1,4,0.1,11,0.66,11,0.66
Denmark_bus_2040,0.94,0.94,0.94,0.94,0.94,0.94,5,5,3.851851852,0.096296296,3.851851852,0.096296296,10.59259259,0.635555556,10.59259259,0.635555556
Estonia_bus_2040,0.94,0.94,0.94,0.94,0.94,0.94,4,4,3.407407407,0.085185185,3.407407407,0.085185185,9.37037037,0.562222222,9.37037037,0.562222222
