Variant name,locations.home.charger_efficiency,locations.home.proportion_of_discharge_to_network,locations.work.charging_power,locations.work.charger_efficiency,locations.work.vehicle_discharge_power,locations.work.proportion_of_discharge_to_network,locations.leisure.charging_power,locations.leisure.charger_efficiency,locations.leisure.vehicle_discharge_power,locations.leisure.proportion_of_discharge_to_network,locations.weekend.charging_power,locations.weekend.charger_efficiency,locations.weekend.vehicle_discharge_power,locations.weekend.proportion_of_discharge_to_network,locations.holiday.charging_power,locations.holiday.charger_efficiency,locations.holiday.vehicle_discharge_power,locations.holiday.proportion_of_discharge_to_network,locations.work.connectivity,locations.leisure.connectivity,locations.weekend.connectivity,mobility_module.day_start_hour,run.start.hour,legs.go_to_work.distance,legs.go_to_work.duration,legs.come_from_work.distance,legs.come_from_work.duration,legs.home_to_leisure.distance,legs.home_to_leisure.duration,legs.leisure_to_home.distance,legs.leisure_to_home.duration,legs.home_to_weekend.distance,legs.home_to_weekend.duration,legs.weekend_to_home.distance,legs.weekend_to_home.duration,legs.home_to_holiday.distance,legs.home_to_holiday.duration,legs.holiday_to_home.distance,legs.holiday_to_home.duration,vehicle.yearly_kilometrage,vehicle.battery_capacity,vehicle.base_consumption_per_km.electricity_kWh,vehicle.base_consumption_per_km.gasoline_litres,vehicle.base_consumption_per_km.diesel_litres,vehicle.base_consumption_per_km.hydrogen_kg,vehicle.base_consumption_per_km.LPG_litres,vehicle.base_consumption_per_km.CNG_kg,mobility_module.hours_worked_per_work_week,mobility_module.worked_hours_per_year
Austria_car_own_driveway_2030,0.8,0.8,14.025,0.85,19.41176471,0.85,14.025,0.85,19.41176471,0.85,14.025,0.85,19.41176471,0.85,14.025,0.85,19.41176471,0.85,0.25,0.25,0.125,5,5,19.55555556,0.4,19.55555556,0.4,5.333333333,0.109090909,5.333333333,0.109090909,88.88888889,0.888888889,88.88888889,0.888888889,355.5555556,3.555555556,355.5555556,3.555555556,12390.22222,65.55939815,0.158544478,0.070913416,0.060860975,0.00830419,0.100524411,0.050371471,33.6,1462.956522
Belgium_car_own_driveway_2030,0.8,0.8,14.025,0.85,19.41176471,0.85,14.025,0.85,19.41176471,0.85,14.025,0.85,19.41176471,0.85,14.025,0.85,19.41176471,0.85,0.25,0.25,0.125,5,5,22.81481481,0.466666667,22.81481481,0.466666667,6.222222222,0.127272727,6.222222222,0.127272727,103.7037037,1.037037037,103.7037037,1.037037037,414.8148148,4.148148148,414.8148148,4.148148148,14455.25926,63.01021163,0.152379695,0.068156046,0.05849448,0.007981293,0.096615658,0.048412846,34.9,1519.559006
Bulgaria_car_own_driveway_2030,0.8,0.8,14.025,0.85,19.41176471,0.85,14.025,0.85,19.41176471,0.85,14.025,0.85,19.41176471,0.85,14.025,0.85,19.41176471,0.85,0.25,0.25,0.125,4,4,21.18518519,0.433333333,21.18518519,0.433333333,5.777777778,0.118181818,5.777777778,0.118181818,96.2962963,0.962962963,96.2962963,0.962962963,385.1851852,3.851851852,385.1851852,3.851851852,13422.74074,67.54505273,0.163346453,0.073061232,0.062704324,0.008555707,0.103569081,0.051897116,39,1698.074534
Croatia_car_own_driveway_2030,0.8,0.8,14.025,0.85,19.41176471,0.85,14.025,0.85,19.41176471,0.85,14.025,0.85,19.41176471,0.85,14.025,0.85,19.41176471,0.85,0.25,0.25,0.125,4,4,19.55555556,0.4,19.55555556,0.4,5.333333333,0.109090909,5.333333333,0.109090909,88.88888889,0.888888889,88.88888889,0.888888889,355.5555556,3.555555556,355.5555556,3.555555556,12390.22222,60.94752411,0.147391429,0.065924905,0.056579618,0.00772002,0.09345287,0.046828014,38.1,1658.888199
Cyprus_car_own_driveway_2030,0.8,0.8,14.025,0.85,19.41176471,0.85,14.025,0.85,19.41176471,0.85,14.025,0.85,19.41176471,0.85,14.025,0.85,19.41176471,0.85,0.25,0.25,0.125,4,4,15.48148148,0.316666667,15.48148148,0.316666667,4.222222222,0.086363636,4.222222222,0.086363636,70.37037037,0.703703704,70.37037037,0.703703704,281.4814815,2.814814815,281.4814815,2.814814815,9808.925926,67.14708591,0.162384036,0.072630765,0.062334878,0.008505298,0.102958865,0.051591344,38.5,1676.304348
Czechia_car_own_driveway_2030,0.8,0.8,14.025,0.85,19.41176471,0.85,14.025,0.85,19.41176471,0.85,14.025,0.85,19.41176471,0.85,14.025,0.85,19.41176471,0.85,0.25,0.25,0.125,4,4,22,0.45,22,0.45,6,0.122727273,6,0.122727273,100,1,100,1,400,4,400,4,13939,66.19025637,0.160070103,0.071595794,0.061446621,0.008384099,0.101491726,0.05085618,37.8,1645.826087
Denmark_car_own_driveway_2030,0.8,0.8,14.025,0.85,19.41176471,0.85,14.025,0.85,19.41176471,0.85,14.025,0.85,19.41176471,0.85,14.025,0.85,19.41176471,0.85,0.25,0.25,0.125,5,5,21.18518519,0.433333333,21.18518519,0.433333333,5.777777778,0.118181818,5.777777778,0.118181818,96.2962963,0.962962963,96.2962963,0.962962963,385.1851852,3.851851852,385.1851852,3.851851852,13422.74074,59.01566851,0.142719558,0.063835281,0.054786212,0.007475318,0.090490692,0.045343705,34.3,1493.434783
Estonia_car_own_driveway_2030,0.8,0.8,14.025,0.85,19.41176471,0.85,14.025,0.85,19.41176471,0.85,14.025,0.85,19.41176471,0.85,14.025,0.85,19.41176471,0.85,0.25,0.25,0.125,4,4,18.74074074,0.383333333,18.74074074,0.383333333,5.111111111,0.104545455,5.111111111,0.104545455,85.18518519,0.851851852,85.18518519,0.851851852,340.7407407,3.407407407,340.7407407,3.407407407,11873.96296,66.50893491,0.160840774,0.071940498,0.061742461,0.008424465,0.101980367,0.051101032,36.4,1584.869565
Finland_car_own_driveway_2030,0.8,0.8,14.025,0.85,19.41176471,0.85,14.025,0.85,19.41176471,0.85,14.025,0.85,19.41176471,0.85,14.025,0.85,19.41176471,0.85,0.25,0.25,0.125,4,4,18.74074074,0.383333333,18.74074074,0.383333333,5.111111111,0.104545455,5.111111111,0.104545455,85.18518519,0.851851852,85.18518519,0.851851852,340.7407407,3.407407407,340.7407407,3.407407407,11873.96296,62.08618699,0.150145096,0.067156559,0.057636677,0.00786425,0.09519882,0.047702887,34.8,1515.204969
France_car_own_driveway_2030,0.8,0.8,14.025,0.85,19.41176471,0.85,14.025,0.85,19.41176471,0.85,14.025,0.85,19.41176471,0.85,14.025,0.85,19.41176471,0.85,0.25,0.25,0.125,5,5,21.18518519,0.433333333,21.18518519,0.433333333,5.777777778,0.118181818,5.777777778,0.118181818,96.2962963,0.962962963,96.2962963,0.962962963,385.1851852,3.851851852,385.1851852,3.851851852,13422.74074,58.02303961,0.140319051,0.062761588,0.053864722,0.007349585,0.088968661,0.044581035,36,1567.453416
