Variant name,,locations.van_base.charger_efficiency,locations.van_customer.charger_efficiency,locations.van_base.proportion_of_discharge_to_network,locations.van_customer.proportion_of_discharge_to_network,locations.van_customer.connectivity,mobility_module.day_start_hour,run.start.hour,legs.truck_to_customer.distance,legs.truck_to_customer.duration,legs.truck_to_base.distance,legs.truck_to_base.duration
Austria_van_2030,,0.85,0.85,0.85,0.85,0.25,5,5,2.311111111,0.222222222,2.311111111,0.222222222
Belgium_van_2030,,0.85,0.85,0.85,0.85,0.25,5,5,2.696296296,0.259259259,2.696296296,0.259259259
Bulgaria_van_2030,,0.85,0.85,0.85,0.85,0.25,4,4,2.503703704,0.240740741,2.503703704,0.240740741
Croatia_van_2030,,0.85,0.85,0.85,0.85,0.25,4,4,2.311111111,0.222222222,2.311111111,0.222222222
Cyprus_van_2030,,0.85,0.85,0.85,0.85,0.25,4,4,1.82962963,0.175925926,1.82962963,0.175925926
Czechia_van_2030,,0.85,0.85,0.85,0.85,0.25,4,4,2.6,0.25,2.6,0.25
Denmark_van_2030,,0.85,0.85,0.85,0.85,0.25,5,5,2.503703704,0.240740741,2.503703704,0.240740741
Estonia_van_2030,,0.85,0.85,0.85,0.85,0.25,4,4,2.214814815,0.212962963,2.214814815,0.212962963
Finland_van_2030,,0.85,0.85,0.85,0.85,0.25,4,4,2.214814815,0.212962963,2.214814815,0.212962963
France_van_2030,,0.85,0.85,0.85,0.85,0.25,5,5,2.503703704,0.240740741,2.503703704,0.240740741
Germany_van_2030,,0.85,0.85,0.85,0.85,0.25,5,5,2.503703704,0.240740741,2.503703704,0.240740741
Greece_van_2030,,0.85,0.85,0.85,0.85,0.25,4,4,1.925925926,0.185185185,1.925925926,0.185185185
Hungary_van_2030,,0.85,0.85,0.85,0.85,0.25,4,4,2.792592593,0.268518519,2.792592593,0.268518519
Italy_van_2030,,0.85,0.85,0.85,0.85,0.25,5,5,2.696296296,0.259259259,2.696296296,0.259259259
Ireland_van_2030,,0.85,0.85,0.85,0.85,0.25,5,5,2.022222222,0.194444444,2.022222222,0.194444444
Latvia_van_2030,,0.85,0.85,0.85,0.85,0.25,4,4,3.177777778,0.305555556,3.177777778,0.305555556
Lithuania_van_2030,,0.85,0.85,0.85,0.85,0.25,4,4,2.214814815,0.212962963,2.214814815,0.212962963
