Variant name,locations.bus_depot.charger_efficiency,locations.bus_route_start.charger_efficiency,locations.bus_route_end.charger_efficiency,locations.bus_depot.proportion_of_discharge_to_network,locations.bus_route_start.proportion_of_discharge_to_network,locations.bus_route_end.proportion_of_discharge_to_network,mobility_module.day_start_hour,run.start.hour,legs.bus_from_depot_to_route_start.distance,legs.bus_from_depot_to_route_start.duration,legs.bus_from_route_start_to_depot.distance,legs.bus_from_route_start_to_depot.duration,legs.bus_from_route_start_to_route_end.distance,legs.bus_from_route_start_to_route_end.duration,legs.bus_from_route_end_to_route_start.distance,legs.bus_from_route_end_to_route_start.duration
BEALB_bus_2030,0.9,0.9,0.9,0.9,0.9,0.9,5,5,4.148148148,0.103703704,4.148148148,0.103703704,11.40740741,0.684444444,11.40740741,0.684444444
BEANT_bus_2030,0.9,0.9,0.9,0.9,0.9,0.9,5,5,4.148148148,0.103703704,4.148148148,0.103703704,11.40740741,0.684444444,11.40740741,0.684444444
BEBRU_bus_2030,0.9,0.9,0.9,0.9,0.9,0.9,5,5,4.148148148,0.103703704,4.148148148,0.103703704,11.40740741,0.684444444,11.40740741,0.684444444
BECHA_bus_2030,0.9,0.9,0.9,0.9,0.9,0.9,5,5,4.148148148,0.103703704,4.148148148,0.103703704,11.40740741,0.684444444,11.40740741,0.684444444
BEFLA_bus_2030,0.9,0.9,0.9,0.9,0.9,0.9,5,5,4.148148148,0.103703704,4.148148148,0.103703704,11.40740741,0.684444444,11.40740741,0.684444444
BEGHE_bus_2030,0.9,0.9,0.9,0.9,0.9,0.9,5,5,4.148148148,0.103703704,4.148148148,0.103703704,11.40740741,0.684444444,11.40740741,0.684444444
BEHAI_bus_2030,0.9,0.9,0.9,0.9,0.9,0.9,5,5,4.148148148,0.103703704,4.148148148,0.103703704,11.40740741,0.684444444,11.40740741,0.684444444
BELIE_bus_2030,0.9,0.9,0.9,0.9,0.9,0.9,5,5,4.148148148,0.103703704,4.148148148,0.103703704,11.40740741,0.684444444,11.40740741,0.684444444
NLCHE_bus_2030,0.9,0.9,0.9,0.9,0.9,0.9,5,5,3.529008484,0.088225212,3.529008484,0.088225212,9.704773331,0.5822864,9.704773331,0.5822864
NLEAS_bus_2030,0.9,0.9,0.9,0.9,0.9,0.9,5,5,4.392721456,0.109818036,4.392721456,0.109818036,12.079984,0.72479904,12.079984,0.72479904
NLEEM_bus_2030,0.9,0.9,0.9,0.9,0.9,0.9,5,5,4.263059527,0.106576488,4.263059527,0.106576488,11.7234137,0.703404822,11.7234137,0.703404822
NLNOO_bus_2030,0.9,0.9,0.9,0.9,0.9,0.9,5,5,3.582140715,0.089553518,3.582140715,0.089553518,9.850886965,0.591053218,9.850886965,0.591053218
NLNOR_bus_2030,0.9,0.9,0.9,0.9,0.9,0.9,5,5,4.436994246,0.110924856,4.436994246,0.110924856,12.20173418,0.732104051,12.20173418,0.732104051
NLROT_bus_2030,0.9,0.9,0.9,0.9,0.9,0.9,5,5,3.850099283,0.096252482,3.850099283,0.096252482,10.58777303,0.635266382,10.58777303,0.635266382
NLSOU_bus_2030,0.9,0.9,0.9,0.9,0.9,0.9,5,5,3.958705314,0.098967633,3.958705314,0.098967633,10.88643961,0.653186377,10.88643961,0.653186377
NLWES_bus_2030,0.9,0.9,0.9,0.9,0.9,0.9,5,5,4.029779946,0.100744499,4.029779946,0.100744499,11.08189485,0.664913691,11.08189485,0.664913691
NLZEE_bus_2030,0.9,0.9,0.9,0.9,0.9,0.9,5,5,4.219041906,0.105476048,4.219041906,0.105476048,11.60236524,0.696141914,11.60236524,0.696141914
BEALB_bus_2040,0.94,0.94,0.94,0.94,0.94,0.94,5,5,4.148148148,0.103703704,4.148148148,0.103703704,11.40740741,0.684444444,11.40740741,0.684444444
BEANT_bus_2040,0.94,0.94,0.94,0.94,0.94,0.94,5,5,4.148148148,0.103703704,4.148148148,0.103703704,11.40740741,0.684444444,11.40740741,0.684444444
BEBRU_bus_2040,0.94,0.94,0.94,0.94,0.94,0.94,5,5,4.148148148,0.103703704,4.148148148,0.103703704,11.40740741,0.684444444,11.40740741,0.684444444
BECHA_bus_2040,0.94,0.94,0.94,0.94,0.94,0.94,5,5,4.148148148,0.103703704,4.148148148,0.103703704,11.40740741,0.684444444,11.40740741,0.684444444
BEFLA_bus_2040,0.94,0.94,0.94,0.94,0.94,0.94,5,5,4.148148148,0.103703704,4.148148148,0.103703704,11.40740741,0.684444444,11.40740741,0.684444444
BEGHE_bus_2040,0.94,0.94,0.94,0.94,0.94,0.94,5,5,4.148148148,0.103703704,4.148148148,0.103703704,11.40740741,0.684444444,11.40740741,0.684444444
BEHAI_bus_2040,0.94,0.94,0.94,0.94,0.94,0.94,5,5,4.148148148,0.103703704,4.148148148,0.103703704,11.40740741,0.684444444,11.40740741,0.684444444
BELIE_bus_2040,0.94,0.94,0.94,0.94,0.94,0.94,5,5,4.148148148,0.103703704,4.148148148,0.103703704,11.40740741,0.684444444,11.40740741,0.684444444
NLCHE_bus_2040,0.94,0.94,0.94,0.94,0.94,0.94,5,5,3.529008484,0.088225212,3.529008484,0.088225212,9.704773331,0.5822864,9.704773331,0.5822864
NLEAS_bus_2040,0.94,0.94,0.94,0.94,0.94,0.94,5,5,4.392721456,0.109818036,4.392721456,0.109818036,12.079984,0.72479904,12.079984,0.72479904
NLEEM_bus_2040,0.94,0.94,0.94,0.94,0.94,0.94,5,5,4.263059527,0.106576488,4.263059527,0.106576488,11.7234137,0.703404822,11.7234137,0.703404822
NLNOO_bus_2040,0.94,0.94,0.94,0.94,0.94,0.94,5,5,3.582140715,0.089553518,3.582140715,0.089553518,9.850886965,0.591053218,9.850886965,0.591053218
NLNOR_bus_2040,0.94,0.94,0.94,0.94,0.94,0.94,5,5,4.436994246,0.110924856,4.436994246,0.110924856,12.20173418,0.732104051,12.20173418,0.732104051
NLROT_bus_2040,0.94,0.94,0.94,0.94,0.94,0.94,5,5,3.850099283,0.096252482,3.850099283,0.096252482,10.58777303,0.635266382,10.58777303,0.635266382
NLSOU_bus_2040,0.94,0.94,0.94,0.94,0.94,0.94,5,5,3.958705314,0.098967633,3.958705314,0.098967633,10.88643961,0.653186377,10.88643961,0.653186377
NLWES_bus_2040,0.94,0.94,0.94,0.94,0.94,0.94,5,5,4.029779946,0.100744499,4.029779946,0.100744499,11.08189485,0.664913691,11.08189485,0.664913691
NLZEE_bus_2040,0.94,0.94,0.94,0.94,0.94,0.94,5,5,4.219041906,0.105476048,4.219041906,0.105476048,11.60236524,0.696141914,11.60236524,0.696141914
BEALB_bus_2050,0.97,0.97,0.97,0.97,0.97,0.97,5,5,4.148148148,0.103703704,4.148148148,0.103703704,11.40740741,0.684444444,11.40740741,0.684444444
BEANT_bus_2050,0.97,0.97,0.97,0.97,0.97,0.97,5,5,4.148148148,0.103703704,4.148148148,0.103703704,11.40740741,0.684444444,11.40740741,0.684444444
BEBRU_bus_2050,0.97,0.97,0.97,0.97,0.97,0.97,5,5,4.148148148,0.103703704,4.148148148,0.103703704,11.40740741,0.684444444,11.40740741,0.684444444
BECHA_bus_2050,0.97,0.97,0.97,0.97,0.97,0.97,5,5,4.148148148,0.103703704,4.148148148,0.103703704,11.40740741,0.684444444,11.40740741,0.684444444
BEFLA_bus_2050,0.97,0.97,0.97,0.97,0.97,0.97,5,5,4.148148148,0.103703704,4.148148148,0.103703704,11.40740741,0.684444444,11.40740741,0.684444444
BEGHE_bus_2050,0.97,0.97,0.97,0.97,0.97,0.97,5,5,4.148148148,0.103703704,4.148148148,0.103703704,11.40740741,0.684444444,11.40740741,0.684444444
BEHAI_bus_2050,0.97,0.97,0.97,0.97,0.97,0.97,5,5,4.148148148,0.103703704,4.148148148,0.103703704,11.40740741,0.684444444,11.40740741,0.684444444
BELIE_bus_2050,0.97,0.97,0.97,0.97,0.97,0.97,5,5,4.148148148,0.103703704,4.148148148,0.103703704,11.40740741,0.684444444,11.40740741,0.684444444
NLCHE_bus_2050,0.97,0.97,0.97,0.97,0.97,0.97,5,5,3.529008484,0.088225212,3.529008484,0.088225212,9.704773331,0.5822864,9.704773331,0.5822864
NLEAS_bus_2050,0.97,0.97,0.97,0.97,0.97,0.97,5,5,4.392721456,0.109818036,4.392721456,0.109818036,12.079984,0.72479904,12.079984,0.72479904
NLEEM_bus_2050,0.97,0.97,0.97,0.97,0.97,0.97,5,5,4.263059527,0.106576488,4.263059527,0.106576488,11.7234137,0.703404822,11.7234137,0.703404822
NLNOO_bus_2050,0.97,0.97,0.97,0.97,0.97,0.97,5,5,3.582140715,0.089553518,3.582140715,0.089553518,9.850886965,0.591053218,9.850886965,0.591053218
NLNOR_bus_2050,0.97,0.97,0.97,0.97,0.97,0.97,5,5,4.436994246,0.110924856,4.436994246,0.110924856,12.20173418,0.732104051,12.20173418,0.732104051
NLROT_bus_2050,0.97,0.97,0.97,0.97,0.97,0.97,5,5,3.850099283,0.096252482,3.850099283,0.096252482,10.58777303,0.635266382,10.58777303,0.635266382
NLSOU_bus_2050,0.97,0.97,0.97,0.97,0.97,0.97,5,5,3.958705314,0.098967633,3.958705314,0.098967633,10.88643961,0.653186377,10.88643961,0.653186377
NLWES_bus_2050,0.97,0.97,0.97,0.97,0.97,0.97,5,5,4.029779946,0.100744499,4.029779946,0.100744499,11.08189485,0.664913691,11.08189485,0.664913691
NLZEE_bus_2050,0.97,0.97,0.97,0.97,0.97,0.97,5,5,4.219041906,0.105476048,4.219041906,0.105476048,11.60236524,0.696141914,11.60236524,0.696141914
