Variant name,locations.truck_hub.charger_efficiency,locations.truck_customer.charger_efficiency,locations.truck_hub.proportion_of_discharge_to_network,locations.truck_customer.proportion_of_discharge_to_network,locations.truck_customer.connectivity,mobility_module.day_start_hour,run.start.hour,legs.truck_to_hub.distance,legs.truck_to_hub.duration,legs.truck_to_customer.distance,legs.truck_to_customer.duration
BEALB_truck_2030,0.9,0.9,0.9,0.9,0.25,5,5,43.55555556,1.037037037,43.55555556,1.037037037
BEANT_truck_2030,0.9,0.9,0.9,0.9,0.25,5,5,43.55555556,1.037037037,43.55555556,1.037037037
BEBRU_truck_2030,0.9,0.9,0.9,0.9,0.25,5,5,43.55555556,1.037037037,43.55555556,1.037037037
BECHA_truck_2030,0.9,0.9,0.9,0.9,0.25,5,5,43.55555556,1.037037037,43.55555556,1.037037037
BEFLA_truck_2030,0.9,0.9,0.9,0.9,0.25,5,5,43.55555556,1.037037037,43.55555556,1.037037037
BEGHE_truck_2030,0.9,0.9,0.9,0.9,0.25,5,5,43.55555556,1.037037037,43.55555556,1.037037037
BEHAI_truck_2030,0.9,0.9,0.9,0.9,0.25,5,5,43.55555556,1.037037037,43.55555556,1.037037037
BELIE_truck_2030,0.9,0.9,0.9,0.9,0.25,5,5,43.55555556,1.037037037,43.55555556,1.037037037
NLCHE_truck_2030,0.9,0.9,0.9,0.9,0.25,5,5,37.05458908,0.882252121,37.05458908,0.882252121
NLEAS_truck_2030,0.9,0.9,0.9,0.9,0.25,5,5,46.12357528,1.098180364,46.12357528,1.098180364
NLEEM_truck_2030,0.9,0.9,0.9,0.9,0.25,5,5,44.76212503,1.065764882,44.76212503,1.065764882
NLNOO_truck_2030,0.9,0.9,0.9,0.9,0.25,5,5,37.6124775,0.895535179,37.6124775,0.895535179
NLNOR_truck_2030,0.9,0.9,0.9,0.9,0.25,5,5,46.58843958,1.109248562,46.58843958,1.109248562
NLROT_truck_2030,0.9,0.9,0.9,0.9,0.25,5,5,40.42604247,0.962524821,40.42604247,0.962524821
NLSOU_truck_2030,0.9,0.9,0.9,0.9,0.25,5,5,41.56640579,0.989676328,41.56640579,0.989676328
NLWES_truck_2030,0.9,0.9,0.9,0.9,0.25,5,5,42.31268943,1.007444986,42.31268943,1.007444986
NLZEE_truck_2030,0.9,0.9,0.9,0.9,0.25,5,5,44.29994001,1.054760476,44.29994001,1.054760476
BEALB_truck_2040,0.94,0.94,0.94,0.94,0.5,5,5,43.55555556,1.037037037,43.55555556,1.037037037
BEANT_truck_2040,0.94,0.94,0.94,0.94,0.5,5,5,43.55555556,1.037037037,43.55555556,1.037037037
BEBRU_truck_2040,0.94,0.94,0.94,0.94,0.5,5,5,43.55555556,1.037037037,43.55555556,1.037037037
BECHA_truck_2040,0.94,0.94,0.94,0.94,0.5,5,5,43.55555556,1.037037037,43.55555556,1.037037037
BEFLA_truck_2040,0.94,0.94,0.94,0.94,0.5,5,5,43.55555556,1.037037037,43.55555556,1.037037037
BEGHE_truck_2040,0.94,0.94,0.94,0.94,0.5,5,5,43.55555556,1.037037037,43.55555556,1.037037037
BEHAI_truck_2040,0.94,0.94,0.94,0.94,0.5,5,5,43.55555556,1.037037037,43.55555556,1.037037037
BELIE_truck_2040,0.94,0.94,0.94,0.94,0.5,5,5,43.55555556,1.037037037,43.55555556,1.037037037
NLCHE_truck_2040,0.94,0.94,0.94,0.94,0.5,5,5,37.05458908,0.882252121,37.05458908,0.882252121
NLEAS_truck_2040,0.94,0.94,0.94,0.94,0.5,5,5,46.12357528,1.098180364,46.12357528,1.098180364
NLEEM_truck_2040,0.94,0.94,0.94,0.94,0.5,5,5,44.76212503,1.065764882,44.76212503,1.065764882
NLNOO_truck_2040,0.94,0.94,0.94,0.94,0.5,5,5,37.6124775,0.895535179,37.6124775,0.895535179
NLNOR_truck_2040,0.94,0.94,0.94,0.94,0.5,5,5,46.58843958,1.109248562,46.58843958,1.109248562
NLROT_truck_2040,0.94,0.94,0.94,0.94,0.5,5,5,40.42604247,0.962524821,40.42604247,0.962524821
NLSOU_truck_2040,0.94,0.94,0.94,0.94,0.5,5,5,41.56640579,0.989676328,41.56640579,0.989676328
NLWES_truck_2040,0.94,0.94,0.94,0.94,0.5,5,5,42.31268943,1.007444986,42.31268943,1.007444986
NLZEE_truck_2040,0.94,0.94,0.94,0.94,0.5,5,5,44.29994001,1.054760476,44.29994001,1.054760476
BEALB_truck_2050,0.97,0.97,0.97,0.97,0.75,5,5,43.55555556,1.037037037,43.55555556,1.037037037
BEANT_truck_2050,0.97,0.97,0.97,0.97,0.75,5,5,43.55555556,1.037037037,43.55555556,1.037037037
BEBRU_truck_2050,0.97,0.97,0.97,0.97,0.75,5,5,43.55555556,1.037037037,43.55555556,1.037037037
BECHA_truck_2050,0.97,0.97,0.97,0.97,0.75,5,5,43.55555556,1.037037037,43.55555556,1.037037037
BEFLA_truck_2050,0.97,0.97,0.97,0.97,0.75,5,5,43.55555556,1.037037037,43.55555556,1.037037037
BEGHE_truck_2050,0.97,0.97,0.97,0.97,0.75,5,5,43.55555556,1.037037037,43.55555556,1.037037037
BEHAI_truck_2050,0.97,0.97,0.97,0.97,0.75,5,5,43.55555556,1.037037037,43.55555556,1.037037037
BELIE_truck_2050,0.97,0.97,0.97,0.97,0.75,5,5,43.55555556,1.037037037,43.55555556,1.037037037
NLCHE_truck_2050,0.97,0.97,0.97,0.97,0.75,5,5,37.05458908,0.882252121,37.05458908,0.882252121
NLEAS_truck_2050,0.97,0.97,0.97,0.97,0.75,5,5,46.12357528,1.098180364,46.12357528,1.098180364
NLEEM_truck_2050,0.97,0.97,0.97,0.97,0.75,5,5,44.76212503,1.065764882,44.76212503,1.065764882
NLNOO_truck_2050,0.97,0.97,0.97,0.97,0.75,5,5,37.6124775,0.895535179,37.6124775,0.895535179
NLNOR_truck_2050,0.97,0.97,0.97,0.97,0.75,5,5,46.58843958,1.109248562,46.58843958,1.109248562
NLROT_truck_2050,0.97,0.97,0.97,0.97,0.75,5,5,40.42604247,0.962524821,40.42604247,0.962524821
NLSOU_truck_2050,0.97,0.97,0.97,0.97,0.75,5,5,41.56640579,0.989676328,41.56640579,0.989676328
NLWES_truck_2050,0.97,0.97,0.97,0.97,0.75,5,5,42.31268943,1.007444986,42.31268943,1.007444986
NLZEE_truck_2050,0.97,0.97,0.97,0.97,0.75,5,5,44.29994001,1.054760476,44.29994001,1.054760476
