Variant name,,locations.van_base.charger_efficiency,locations.van_customer.charger_efficiency,locations.van_base.proportion_of_discharge_to_network,locations.van_customer.proportion_of_discharge_to_network,locations.van_customer.connectivity,mobility_module.day_start_hour,run.start.hour,legs.van_to_customer.distance,legs.van_to_customer.duration,legs.van_to_base.distance
BEALB_van_2030,0.85,0.85,0.85,0.85,0.25,5,5,2.696296296,0.259259259,2.696296296,0.259259259
BEANT_van_2030,0.85,0.85,0.85,0.85,0.25,5,5,2.696296296,0.259259259,2.696296296,0.259259259
BEBRU_van_2030,0.85,0.85,0.85,0.85,0.25,5,5,2.696296296,0.259259259,2.696296296,0.259259259
BECHA_van_2030,0.85,0.85,0.85,0.85,0.25,5,5,2.696296296,0.259259259,2.696296296,0.259259259
BEFLA_van_2030,0.85,0.85,0.85,0.85,0.25,5,5,2.696296296,0.259259259,2.696296296,0.259259259
BEGHE_van_2030,0.85,0.85,0.85,0.85,0.25,5,5,2.696296296,0.259259259,2.696296296,0.259259259
BEHAI_van_2030,0.85,0.85,0.85,0.85,0.25,5,5,2.696296296,0.259259259,2.696296296,0.259259259
BELIE_van_2030,0.85,0.85,0.85,0.85,0.25,5,5,2.696296296,0.259259259,2.696296296,0.259259259
NLCHE_van_2030,0.85,0.85,0.85,0.85,0.25,5,5,2.293855515,0.22056303,2.293855515,0.22056303
NLEAS_van_2030,0.85,0.85,0.85,0.85,0.25,5,5,2.855268946,0.274545091,2.855268946,0.274545091
NLEEM_van_2030,0.85,0.85,0.85,0.85,0.25,5,5,2.770988692,0.26644122,2.770988692,0.26644122
NLNOO_van_2030,0.85,0.85,0.85,0.85,0.25,5,5,2.328391465,0.223883795,2.328391465,0.223883795
NLNOR_van_2030,0.85,0.85,0.85,0.85,0.25,5,5,2.88404626,0.27731214,2.88404626,0.27731214
NLROT_van_2030,0.85,0.85,0.85,0.85,0.25,5,5,2.502564534,0.240631205,2.502564534,0.240631205
NLSOU_van_2030,0.85,0.85,0.85,0.85,0.25,5,5,2.573158454,0.247419082,2.573158454,0.247419082
NLWES_van_2030,0.85,0.85,0.85,0.85,0.25,5,5,2.619356965,0.251861247,2.619356965,0.251861247
NLZEE_van_2030,0.85,0.85,0.85,0.85,0.25,5,5,2.742377239,0.263690119,2.742377239,0.263690119
BEALB_van_2040,0.87,0.87,0.87,0.87,0.5,5,5,2.696296296,0.259259259,2.696296296,0.259259259
BEANT_van_2040,0.87,0.87,0.87,0.87,0.5,5,5,2.696296296,0.259259259,2.696296296,0.259259259
BEBRU_van_2040,0.87,0.87,0.87,0.87,0.5,5,5,2.696296296,0.259259259,2.696296296,0.259259259
BECHA_van_2040,0.87,0.87,0.87,0.87,0.5,5,5,2.696296296,0.259259259,2.696296296,0.259259259
BEFLA_van_2040,0.87,0.87,0.87,0.87,0.5,5,5,2.696296296,0.259259259,2.696296296,0.259259259
BEGHE_van_2040,0.87,0.87,0.87,0.87,0.5,5,5,2.696296296,0.259259259,2.696296296,0.259259259
BEHAI_van_2040,0.87,0.87,0.87,0.87,0.5,5,5,2.696296296,0.259259259,2.696296296,0.259259259
BELIE_van_2040,0.87,0.87,0.87,0.87,0.5,5,5,2.696296296,0.259259259,2.696296296,0.259259259
NLCHE_van_2040,0.87,0.87,0.87,0.87,0.5,5,5,2.293855515,0.22056303,2.293855515,0.22056303
NLEAS_van_2040,0.87,0.87,0.87,0.87,0.5,5,5,2.855268946,0.274545091,2.855268946,0.274545091
NLEEM_van_2040,0.87,0.87,0.87,0.87,0.5,5,5,2.770988692,0.26644122,2.770988692,0.26644122
NLNOO_van_2040,0.87,0.87,0.87,0.87,0.5,5,5,2.328391465,0.223883795,2.328391465,0.223883795
NLNOR_van_2040,0.87,0.87,0.87,0.87,0.5,5,5,2.88404626,0.27731214,2.88404626,0.27731214
NLROT_van_2040,0.87,0.87,0.87,0.87,0.5,5,5,2.502564534,0.240631205,2.502564534,0.240631205
NLSOU_van_2040,0.87,0.87,0.87,0.87,0.5,5,5,2.573158454,0.247419082,2.573158454,0.247419082
NLWES_van_2040,0.87,0.87,0.87,0.87,0.5,5,5,2.619356965,0.251861247,2.619356965,0.251861247
NLZEE_van_2040,0.87,0.87,0.87,0.87,0.5,5,5,2.742377239,0.263690119,2.742377239,0.263690119
BEALB_van_2050,0.92,0.92,0.92,0.92,0.75,5,5,2.696296296,0.259259259,2.696296296,0.259259259
BEANT_van_2050,0.92,0.92,0.92,0.92,0.75,5,5,2.696296296,0.259259259,2.696296296,0.259259259
BEBRU_van_2050,0.92,0.92,0.92,0.92,0.75,5,5,2.696296296,0.259259259,2.696296296,0.259259259
BECHA_van_2050,0.92,0.92,0.92,0.92,0.75,5,5,2.696296296,0.259259259,2.696296296,0.259259259
BEFLA_van_2050,0.92,0.92,0.92,0.92,0.75,5,5,2.696296296,0.259259259,2.696296296,0.259259259
BEGHE_van_2050,0.92,0.92,0.92,0.92,0.75,5,5,2.696296296,0.259259259,2.696296296,0.259259259
BEHAI_van_2050,0.92,0.92,0.92,0.92,0.75,5,5,2.696296296,0.259259259,2.696296296,0.259259259
BELIE_van_2050,0.92,0.92,0.92,0.92,0.75,5,5,2.696296296,0.259259259,2.696296296,0.259259259
NLCHE_van_2050,0.92,0.92,0.92,0.92,0.75,5,5,2.293855515,0.22056303,2.293855515,0.22056303
NLEAS_van_2050,0.92,0.92,0.92,0.92,0.75,5,5,2.855268946,0.274545091,2.855268946,0.274545091
NLEEM_van_2050,0.92,0.92,0.92,0.92,0.75,5,5,2.770988692,0.26644122,2.770988692,0.26644122
NLNOO_van_2050,0.92,0.92,0.92,0.92,0.75,5,5,2.328391465,0.223883795,2.328391465,0.223883795
NLNOR_van_2050,0.92,0.92,0.92,0.92,0.75,5,5,2.88404626,0.27731214,2.88404626,0.27731214
NLROT_van_2050,0.92,0.92,0.92,0.92,0.75,5,5,2.502564534,0.240631205,2.502564534,0.240631205
NLSOU_van_2050,0.92,0.92,0.92,0.92,0.75,5,5,2.573158454,0.247419082,2.573158454,0.247419082
NLWES_van_2050,0.92,0.92,0.92,0.92,0.75,5,5,2.619356965,0.251861247,2.619356965,0.251861247
NLZEE_van_2050,0.92,0.92,0.92,0.92,0.75,5,5,2.742377239,0.263690119,2.742377239,0.263690119
