Variant name,locations.bus_depot.charger_efficiency,locations.bus_route_start.charger_efficiency,locations.bus_route_end.charger_efficiency,locations.bus_depot.proportion_of_discharge_to_network,locations.bus_route_start.proportion_of_discharge_to_network,locations.bus_route_end.proportion_of_discharge_to_network,mobility_module.day_start_hour,run.start.hour,legs.bus_from_depot_to_route_start.distance,legs.bus_from_depot_to_route_start.duration,legs.bus_from_route_start_to_depot.distance,legs.bus_from_route_start_to_depot.duration,legs.bus_from_route_start_to_route_end.distance,legs.bus_from_route_start_to_route_end.duration,legs.bus_from_route_end_to_route_start.distance,legs.bus_from_route_end_to_route_start.duration
BEALB_bus_2030,0.9,0.9,0.9,0.9,0.9,0.9,5,5,4.148148148,0.103703704,4.148148148,0.103703704,11.40740741,0.684444444,11.40740741,0.684444444
BEANT_bus_2030,0.9,0.9,0.9,0.9,0.9,0.9,5,5,4.148148148,0.103703704,4.148148148,0.103703704,11.40740741,0.684444444,11.40740741,0.684444444
BEBRU_bus_2030,0.9,0.9,0.9,0.9,0.9,0.9,5,5,4.148148148,0.103703704,4.148148148,0.103703704,11.40740741,0.684444444,11.40740741,0.684444444
BECHA_bus_2030,0.9,0.9,0.9,0.9,0.9,0.9,5,5,4.148148148,0.103703704,4.148148148,0.103703704,11.40740741,0.684444444,11.40740741,0.684444444
BEFLA_bus_2030,0.9,0.9,0.9,0.9,0.9,0.9,5,5,4.148148148,0.103703704,4.148148148,0.103703704,11.40740741,0.684444444,11.40740741,0.684444444
BEGHE_bus_2030,0.9,0.9,0.9,0.9,0.9,0.9,5,5,4.148148148,0.103703704,4.148148148,0.103703704,11.40740741,0.684444444,11.40740741,0.684444444
BEHAI_bus_2030,0.9,0.9,0.9,0.9,0.9,0.9,5,5,4.148148148,0.103703704,4.148148148,0.103703704,11.40740741,0.684444444,11.40740741,0.684444444
BELIE_bus_2030,0.9,0.9,0.9,0.9,0.9,0.9,5,5,4.148148148,0.103703704,4.148148148,0.103703704,11.40740741,0.684444444,11.40740741,0.684444444
NLCHE_bus_2030,0.9,0.9,0.9,0.9,0.9,0.9,5,5,4,0.1,4,0.1,11,0.66,11,0.66
NLEAS_bus_2030,0.9,0.9,0.9,0.9,0.9,0.9,5,5,4,0.1,4,0.1,11,0.66,11,0.66
NLEEM_bus_2030,0.9,0.9,0.9,0.9,0.9,0.9,5,5,4,0.1,4,0.1,11,0.66,11,0.66
NLNOO_bus_2030,0.9,0.9,0.9,0.9,0.9,0.9,5,5,4,0.1,4,0.1,11,0.66,11,0.66
NLNOR_bus_2030,0.9,0.9,0.9,0.9,0.9,0.9,5,5,4,0.1,4,0.1,11,0.66,11,0.66
NLROT_bus_2030,0.9,0.9,0.9,0.9,0.9,0.9,5,5,4,0.1,4,0.1,11,0.66,11,0.66
NLSOU_bus_2030,0.9,0.9,0.9,0.9,0.9,0.9,5,5,4,0.1,4,0.1,11,0.66,11,0.66
NLWES_bus_2030,0.9,0.9,0.9,0.9,0.9,0.9,5,5,4,0.1,4,0.1,11,0.66,11,0.66
NLZEE_bus_2030,0.9,0.9,0.9,0.9,0.9,0.9,5,5,4,0.1,4,0.1,11,0.66,11,0.66
BEALB_bus_2040,0.94,0.94,0.94,0.94,0.94,0.94,5,5,4.148148148,0.103703704,4.148148148,0.103703704,11.40740741,0.684444444,11.40740741,0.684444444
BEANT_bus_2040,0.94,0.94,0.94,0.94,0.94,0.94,5,5,4.148148148,0.103703704,4.148148148,0.103703704,11.40740741,0.684444444,11.40740741,0.684444444
BEBRU_bus_2040,0.94,0.94,0.94,0.94,0.94,0.94,5,5,4.148148148,0.103703704,4.148148148,0.103703704,11.40740741,0.684444444,11.40740741,0.684444444
BECHA_bus_2040,0.94,0.94,0.94,0.94,0.94,0.94,5,5,4.148148148,0.103703704,4.148148148,0.103703704,11.40740741,0.684444444,11.40740741,0.684444444
BEFLA_bus_2040,0.94,0.94,0.94,0.94,0.94,0.94,5,5,4.148148148,0.103703704,4.148148148,0.103703704,11.40740741,0.684444444,11.40740741,0.684444444
BEGHE_bus_2040,0.94,0.94,0.94,0.94,0.94,0.94,5,5,4.148148148,0.103703704,4.148148148,0.103703704,11.40740741,0.684444444,11.40740741,0.684444444
BEHAI_bus_2040,0.94,0.94,0.94,0.94,0.94,0.94,5,5,4.148148148,0.103703704,4.148148148,0.103703704,11.40740741,0.684444444,11.40740741,0.684444444
BELIE_bus_2040,0.94,0.94,0.94,0.94,0.94,0.94,5,5,4.148148148,0.103703704,4.148148148,0.103703704,11.40740741,0.684444444,11.40740741,0.684444444
NLCHE_bus_2040,0.94,0.94,0.94,0.94,0.94,0.94,5,5,4,0.1,4,0.1,11,0.66,11,0.66
NLEAS_bus_2040,0.94,0.94,0.94,0.94,0.94,0.94,5,5,4,0.1,4,0.1,11,0.66,11,0.66
NLEEM_bus_2040,0.94,0.94,0.94,0.94,0.94,0.94,5,5,4,0.1,4,0.1,11,0.66,11,0.66
NLNOO_bus_2040,0.94,0.94,0.94,0.94,0.94,0.94,5,5,4,0.1,4,0.1,11,0.66,11,0.66
NLNOR_bus_2040,0.94,0.94,0.94,0.94,0.94,0.94,5,5,4,0.1,4,0.1,11,0.66,11,0.66
NLROT_bus_2040,0.94,0.94,0.94,0.94,0.94,0.94,5,5,4,0.1,4,0.1,11,0.66,11,0.66
NLSOU_bus_2040,0.94,0.94,0.94,0.94,0.94,0.94,5,5,4,0.1,4,0.1,11,0.66,11,0.66
NLWES_bus_2040,0.94,0.94,0.94,0.94,0.94,0.94,5,5,4,0.1,4,0.1,11,0.66,11,0.66
NLZEE_bus_2040,0.94,0.94,0.94,0.94,0.94,0.94,5,5,4,0.1,4,0.1,11,0.66,11,0.66
BEALB_bus_2050,0.97,0.97,0.97,0.97,0.97,0.97,5,5,4.148148148,0.103703704,4.148148148,0.103703704,11.40740741,0.684444444,11.40740741,0.684444444
BEANT_bus_2050,0.97,0.97,0.97,0.97,0.97,0.97,5,5,4.148148148,0.103703704,4.148148148,0.103703704,11.40740741,0.684444444,11.40740741,0.684444444
BEBRU_bus_2050,0.97,0.97,0.97,0.97,0.97,0.97,5,5,4.148148148,0.103703704,4.148148148,0.103703704,11.40740741,0.684444444,11.40740741,0.684444444
BECHA_bus_2050,0.97,0.97,0.97,0.97,0.97,0.97,5,5,4.148148148,0.103703704,4.148148148,0.103703704,11.40740741,0.684444444,11.40740741,0.684444444
BEFLA_bus_2050,0.97,0.97,0.97,0.97,0.97,0.97,5,5,4.148148148,0.103703704,4.148148148,0.103703704,11.40740741,0.684444444,11.40740741,0.684444444
BEGHE_bus_2050,0.97,0.97,0.97,0.97,0.97,0.97,5,5,4.148148148,0.103703704,4.148148148,0.103703704,11.40740741,0.684444444,11.40740741,0.684444444
BEHAI_bus_2050,0.97,0.97,0.97,0.97,0.97,0.97,5,5,4.148148148,0.103703704,4.148148148,0.103703704,11.40740741,0.684444444,11.40740741,0.684444444
BELIE_bus_2050,0.97,0.97,0.97,0.97,0.97,0.97,5,5,4.148148148,0.103703704,4.148148148,0.103703704,11.40740741,0.684444444,11.40740741,0.684444444
NLCHE_bus_2050,0.97,0.97,0.97,0.97,0.97,0.97,5,5,4,0.1,4,0.1,11,0.66,11,0.66
NLEAS_bus_2050,0.97,0.97,0.97,0.97,0.97,0.97,5,5,4,0.1,4,0.1,11,0.66,11,0.66
NLEEM_bus_2050,0.97,0.97,0.97,0.97,0.97,0.97,5,5,4,0.1,4,0.1,11,0.66,11,0.66
NLNOO_bus_2050,0.97,0.97,0.97,0.97,0.97,0.97,5,5,4,0.1,4,0.1,11,0.66,11,0.66
NLNOR_bus_2050,0.97,0.97,0.97,0.97,0.97,0.97,5,5,4,0.1,4,0.1,11,0.66,11,0.66
NLROT_bus_2050,0.97,0.97,0.97,0.97,0.97,0.97,5,5,4,0.1,4,0.1,11,0.66,11,0.66
NLSOU_bus_2050,0.97,0.97,0.97,0.97,0.97,0.97,5,5,4,0.1,4,0.1,11,0.66,11,0.66
NLWES_bus_2050,0.97,0.97,0.97,0.97,0.97,0.97,5,5,4,0.1,4,0.1,11,0.66,11,0.66
NLZEE_bus_2050,0.97,0.97,0.97,0.97,0.97,0.97,5,5,4,0.1,4,0.1,11,0.66,11,0.66
